Data Table for Total Deaths - Louisiana
Date generated: Mon Dec 05 2022 13:35:26 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Louisiana,Nov 30 2022,18277
Louisiana,Nov 23 2022,18261
Louisiana,Nov 16 2022,18234
Louisiana,Nov  9 2022,18217
Louisiana,Nov  2 2022,18192
Louisiana,Oct 26 2022,18167
Louisiana,Oct 19 2022,18137
Louisiana,Oct 12 2022,18126
Louisiana,Oct  5 2022,18087
Louisiana,Sep 28 2022,18045
Louisiana,Sep 21 2022,17992
Louisiana,Sep 14 2022,17954
Louisiana,Sep  7 2022,17898
Louisiana,Aug 31 2022,17870
Louisiana,Aug 24 2022,17822
Louisiana,Aug 17 2022,17743
Louisiana,Aug 10 2022,17676
Louisiana,Aug  3 2022,17616
Louisiana,Jul 27 2022,17550
Louisiana,Jul 20 2022,17492
Louisiana,Jul 13 2022,17459
Louisiana,Jul  6 2022,17421
Louisiana,Jun 29 2022,17405
Louisiana,Jun 22 2022,17378
Louisiana,Jun 15 2022,17363
Louisiana,Jun  8 2022,17346
Louisiana,Jun  1 2022,17324
Louisiana,May 25 2022,17313
Louisiana,May 18 2022,17298
Louisiana,May 11 2022,17281
Louisiana,May  4 2022,17261
Louisiana,Apr 27 2022,17229
Louisiana,Apr 20 2022,17203
Louisiana,Apr 13 2022,17183
Louisiana,Apr  6 2022,17153
Louisiana,Mar 30 2022,17116
Louisiana,Mar 23 2022,17042
Louisiana,Mar 16 2022,16960
Louisiana,Mar  9 2022,16831
Louisiana,Mar  2 2022,16674
Louisiana,Feb 23 2022,16556
Louisiana,Feb 16 2022,16303
Louisiana,Feb  9 2022,16065
Louisiana,Feb  2 2022,15781
Louisiana,Jan 26 2022,15521
Louisiana,Jan 19 2022,15247
Louisiana,Jan 12 2022,15116
Louisiana,Jan  5 2022,15024
Louisiana,Dec 29 2021,14981
Louisiana,Dec 22 2021,14943
Louisiana,Dec 15 2021,14909
Louisiana,Dec  8 2021,14854
Louisiana,Dec  1 2021,14801
Louisiana,Nov 24 2021,14770
Louisiana,Nov 17 2021,14720
Louisiana,Nov 10 2021,14659
Louisiana,Nov  3 2021,14582
Louisiana,Oct 27 2021,14504
Louisiana,Oct 20 2021,14422
Louisiana,Oct 13 2021,14266
Louisiana,Oct  6 2021,14101
Louisiana,Sep 29 2021,13900
Louisiana,Sep 22 2021,13659
Louisiana,Sep 15 2021,13318
Louisiana,Sep  8 2021,12915
Louisiana,Sep  1 2021,12582
Louisiana,Aug 25 2021,12225
Louisiana,Aug 18 2021,11790
Louisiana,Aug 11 2021,11407
Louisiana,Aug  4 2021,11130
Louisiana,Jul 28 2021,10948
Louisiana,Jul 21 2021,10874
Louisiana,Jul 14 2021,10809
Louisiana,Jul  7 2021,10765
Louisiana,Jun 30 2021,10735
Louisiana,Jun 23 2021,10708
Louisiana,Jun 16 2021,10670
Louisiana,Jun  9 2021,10632
Louisiana,Jun  2 2021,10594
Louisiana,May 26 2021,10561
Louisiana,May 19 2021,10507
Louisiana,May 12 2021,10461
Louisiana,May  5 2021,10417
Louisiana,Apr 28 2021,10366
Louisiana,Apr 21 2021,10316
Louisiana,Apr 14 2021,10264
Louisiana,Apr  7 2021,10185
Louisiana,Mar 31 2021,10141
Louisiana,Mar 24 2021,10055
Louisiana,Mar 17 2021,9955
Louisiana,Mar 10 2021,9812
Louisiana,Mar  3 2021,9668
Louisiana,Feb 24 2021,9527
Louisiana,Feb 17 2021,9390
Louisiana,Feb 10 2021,9212
Louisiana,Feb  3 2021,9006
Louisiana,Jan 27 2021,8688
Louisiana,Jan 20 2021,8383
Louisiana,Jan 13 2021,8022
Louisiana,Jan  6 2021,7681
Louisiana,Dec 30 2020,7448
Louisiana,Dec 23 2020,7226
Louisiana,Dec 16 2020,6932
Louisiana,Dec  9 2020,6683
Louisiana,Dec  2 2020,6501
Louisiana,Nov 25 2020,6350
Louisiana,Nov 18 2020,6184
Louisiana,Nov 11 2020,6058
Louisiana,Nov  4 2020,5975
Louisiana,Oct 28 2020,5890
Louisiana,Oct 21 2020,5784
Louisiana,Oct 14 2020,5695
Louisiana,Oct  7 2020,5603
Louisiana,Sep 30 2020,5511
Louisiana,Sep 23 2020,5408
Louisiana,Sep 16 2020,5296
Louisiana,Sep  9 2020,5139
Louisiana,Sep  2 2020,5005
Louisiana,Aug 26 2020,4851
Louisiana,Aug 19 2020,4608
Louisiana,Aug 12 2020,4355
Louisiana,Aug  5 2020,4096
Louisiana,Jul 29 2020,3882
Louisiana,Jul 22 2020,3667
Louisiana,Jul 15 2020,3460
Louisiana,Jul  8 2020,3339
Louisiana,Jul  1 2020,3238
Louisiana,Jun 24 2020,3151
Louisiana,Jun 17 2020,3059
Louisiana,Jun 10 2020,2967
Louisiana,Jun  3 2020,2868
Louisiana,May 27 2020,2721
Louisiana,May 20 2020,2609
Louisiana,May 13 2020,2381
Louisiana,May  6 2020,2162
Louisiana,Apr 29 2020,1841
Louisiana,Apr 22 2020,1475
Louisiana,Apr 15 2020,1104
Louisiana,Apr  8 2020,655
Louisiana,Apr  1 2020,273
Louisiana,Mar 25 2020,65
Louisiana,Mar 18 2020,6
Louisiana,Mar 11 2020,0
Louisiana,Mar  4 2020,0
Louisiana,Feb 26 2020,0
Louisiana,Feb 19 2020,0
Louisiana,Feb 12 2020,0
Louisiana,Feb  5 2020,0
Louisiana,Jan 29 2020,0
