Data Table for Total Deaths - Massachusetts
Date generated: Mon Dec 05 2022 12:42:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Massachusetts,Nov 30 2022,22488
Massachusetts,Nov 23 2022,22397
Massachusetts,Nov 16 2022,22303
Massachusetts,Nov  9 2022,22209
Massachusetts,Nov  2 2022,22106
Massachusetts,Oct 26 2022,22023
Massachusetts,Oct 19 2022,21922
Massachusetts,Oct 12 2022,21841
Massachusetts,Oct  5 2022,21771
Massachusetts,Sep 28 2022,21646
Massachusetts,Sep 21 2022,21587
Massachusetts,Sep 14 2022,21535
Massachusetts,Sep  7 2022,21463
Massachusetts,Aug 31 2022,21389
Massachusetts,Aug 24 2022,21342
Massachusetts,Aug 17 2022,21284
Massachusetts,Aug 10 2022,21223
Massachusetts,Aug  3 2022,21175
Massachusetts,Jul 27 2022,21127
Massachusetts,Jul 20 2022,21068
Massachusetts,Jul 13 2022,21035
Massachusetts,Jul  6 2022,20997
Massachusetts,Jun 29 2022,20932
Massachusetts,Jun 22 2022,20874
Massachusetts,Jun 15 2022,20800
Massachusetts,Jun  8 2022,20709
Massachusetts,Jun  1 2022,20627
Massachusetts,May 25 2022,20544
Massachusetts,May 18 2022,20453
Massachusetts,May 11 2022,20365
Massachusetts,May  4 2022,20305
Massachusetts,Apr 27 2022,20247
Massachusetts,Apr 20 2022,20208
Massachusetts,Apr 13 2022,20166
Massachusetts,Apr  6 2022,20136
Massachusetts,Mar 30 2022,20098
Massachusetts,Mar 23 2022,20060
Massachusetts,Mar 16 2022,20013
Massachusetts,Mar  9 2022,19981
Massachusetts,Mar  2 2022,19981
Massachusetts,Feb 23 2022,19981
Massachusetts,Feb 16 2022,19978
Massachusetts,Feb  9 2022,19978
Massachusetts,Feb  2 2022,19977
Massachusetts,Jan 26 2022,19977
Massachusetts,Jan 19 2022,19969
Massachusetts,Jan 12 2022,19960
Massachusetts,Jan  5 2022,19925
Massachusetts,Dec 29 2021,19853
Massachusetts,Dec 22 2021,19725
Massachusetts,Dec 15 2021,19576
Massachusetts,Dec  8 2021,19453
Massachusetts,Dec  1 2021,19350
Massachusetts,Nov 24 2021,19265
Massachusetts,Nov 17 2021,19195
Massachusetts,Nov 10 2021,19112
Massachusetts,Nov  3 2021,19041
Massachusetts,Oct 27 2021,18970
Massachusetts,Oct 20 2021,18875
Massachusetts,Oct 13 2021,18802
Massachusetts,Oct  6 2021,18707
Massachusetts,Sep 29 2021,18600
Massachusetts,Sep 22 2021,18505
Massachusetts,Sep 15 2021,18407
Massachusetts,Sep  8 2021,18314
Massachusetts,Sep  1 2021,18257
Massachusetts,Aug 25 2021,18199
Massachusetts,Aug 18 2021,18164
Massachusetts,Aug 11 2021,18121
Massachusetts,Aug  4 2021,18087
Massachusetts,Jul 28 2021,18071
Massachusetts,Jul 21 2021,18036
Massachusetts,Jul 14 2021,18013
Massachusetts,Jul  7 2021,18006
Massachusetts,Jun 30 2021,17992
Massachusetts,Jun 23 2021,17980
Massachusetts,Jun 16 2021,17953
Massachusetts,Jun  9 2021,17917
Massachusetts,Jun  2 2021,17886
Massachusetts,May 26 2021,17839
Massachusetts,May 19 2021,17793
Massachusetts,May 12 2021,17712
Massachusetts,May  5 2021,17658
Massachusetts,Apr 28 2021,17578
Massachusetts,Apr 21 2021,17498
Massachusetts,Apr 14 2021,17427
Massachusetts,Apr  7 2021,17358
Massachusetts,Mar 31 2021,17185
Massachusetts,Mar 24 2021,16970
Massachusetts,Mar 17 2021,16732
Massachusetts,Mar 10 2021,16509
Massachusetts,Mar  3 2021,16252
Massachusetts,Feb 24 2021,15945
Massachusetts,Feb 17 2021,15623
Massachusetts,Feb 10 2021,15207
Massachusetts,Feb  3 2021,14708
Massachusetts,Jan 27 2021,14304
Massachusetts,Jan 20 2021,13829
Massachusetts,Jan 13 2021,13359
Massachusetts,Jan  6 2021,12836
Massachusetts,Dec 30 2020,12338
Massachusetts,Dec 23 2020,11887
Massachusetts,Dec 16 2020,11513
Massachusetts,Dec  9 2020,11166
Massachusetts,Dec  2 2020,10824
Massachusetts,Nov 25 2020,10604
Massachusetts,Nov 18 2020,10407
Massachusetts,Nov 11 2020,10222
Massachusetts,Nov  4 2020,10062
Massachusetts,Oct 28 2020,9924
Massachusetts,Oct 21 2020,9780
Massachusetts,Oct 14 2020,9647
Massachusetts,Oct  7 2020,9557
Massachusetts,Sep 30 2020,9456
Massachusetts,Sep 23 2020,9347
Massachusetts,Sep 16 2020,9245
Massachusetts,Sep  9 2020,9146
Massachusetts,Sep  2 2020,9066
Massachusetts,Aug 26 2020,8987
Massachusetts,Aug 19 2020,8876
Massachusetts,Aug 12 2020,8769
Massachusetts,Aug  5 2020,8659
Massachusetts,Jul 29 2020,8580
Massachusetts,Jul 22 2020,8468
Massachusetts,Jul 15 2020,8364
Massachusetts,Jul  8 2020,8243
Massachusetts,Jul  1 2020,8090
Massachusetts,Jun 24 2020,7938
Massachusetts,Jun 17 2020,7734
Massachusetts,Jun 10 2020,7454
Massachusetts,Jun  3 2020,7152
Massachusetts,May 27 2020,6547
Massachusetts,May 20 2020,6066
Massachusetts,May 13 2020,5315
Massachusetts,May  6 2020,4420
Massachusetts,Apr 29 2020,3406
Massachusetts,Apr 22 2020,2182
Massachusetts,Apr 15 2020,1108
Massachusetts,Apr  8 2020,433
Massachusetts,Apr  1 2020,122
Massachusetts,Mar 25 2020,15
Massachusetts,Mar 18 2020,0
Massachusetts,Mar 11 2020,0
Massachusetts,Mar  4 2020,0
Massachusetts,Feb 26 2020,0
Massachusetts,Feb 19 2020,0
Massachusetts,Feb 12 2020,0
Massachusetts,Feb  5 2020,0
