Data Table for Total Deaths - Minnesota
Date generated: Mon Dec 05 2022 12:45:50 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Minnesota,Nov 30 2022,13714
Minnesota,Nov 23 2022,13662
Minnesota,Nov 16 2022,13610
Minnesota,Nov  9 2022,13558
Minnesota,Nov  2 2022,13499
Minnesota,Oct 26 2022,13463
Minnesota,Oct 19 2022,13422
Minnesota,Oct 12 2022,13373
Minnesota,Oct  5 2022,13333
Minnesota,Sep 28 2022,13292
Minnesota,Sep 21 2022,13259
Minnesota,Sep 14 2022,13210
Minnesota,Sep  7 2022,13166
Minnesota,Aug 31 2022,13124
Minnesota,Aug 24 2022,13085
Minnesota,Aug 17 2022,13047
Minnesota,Aug 10 2022,13019
Minnesota,Aug  3 2022,12984
Minnesota,Jul 27 2022,12957
Minnesota,Jul 20 2022,12914
Minnesota,Jul 13 2022,12877
Minnesota,Jul  6 2022,12843
Minnesota,Jun 29 2022,12841
Minnesota,Jun 22 2022,12820
Minnesota,Jun 15 2022,12807
Minnesota,Jun  8 2022,12786
Minnesota,Jun  1 2022,12754
Minnesota,May 25 2022,12731
Minnesota,May 18 2022,12694
Minnesota,May 11 2022,12659
Minnesota,May  4 2022,12633
Minnesota,Apr 27 2022,12611
Minnesota,Apr 20 2022,12592
Minnesota,Apr 13 2022,12573
Minnesota,Apr  6 2022,12561
Minnesota,Mar 30 2022,12554
Minnesota,Mar 23 2022,12544
Minnesota,Mar 16 2022,12532
Minnesota,Mar  9 2022,12511
Minnesota,Mar  2 2022,12492
Minnesota,Feb 23 2022,12448
Minnesota,Feb 16 2022,12403
Minnesota,Feb  9 2022,12325
Minnesota,Feb  2 2022,12177
Minnesota,Jan 26 2022,11945
Minnesota,Jan 19 2022,11744
Minnesota,Jan 12 2022,11530
Minnesota,Jan  5 2022,11290
Minnesota,Dec 29 2021,11198
Minnesota,Dec 22 2021,11039
Minnesota,Dec 15 2021,10868
Minnesota,Dec  8 2021,10623
Minnesota,Dec  1 2021,10356
Minnesota,Nov 24 2021,10091
Minnesota,Nov 17 2021,9849
Minnesota,Nov 10 2021,9576
Minnesota,Nov  3 2021,9368
Minnesota,Oct 27 2021,9104
Minnesota,Oct 20 2021,8944
Minnesota,Oct 13 2021,8796
Minnesota,Oct  6 2021,8629
Minnesota,Sep 29 2021,8485
Minnesota,Sep 22 2021,8355
Minnesota,Sep 15 2021,8240
Minnesota,Sep  8 2021,8107
Minnesota,Sep  1 2021,8028
Minnesota,Aug 25 2021,7948
Minnesota,Aug 18 2021,7881
Minnesota,Aug 11 2021,7820
Minnesota,Aug  4 2021,7787
Minnesota,Jul 28 2021,7752
Minnesota,Jul 21 2021,7739
Minnesota,Jul 14 2021,7723
Minnesota,Jul  7 2021,7717
Minnesota,Jun 30 2021,7713
Minnesota,Jun 23 2021,7708
Minnesota,Jun 16 2021,7706
Minnesota,Jun  9 2021,7701
Minnesota,Jun  2 2021,7684
Minnesota,May 26 2021,7671
Minnesota,May 19 2021,7645
Minnesota,May 12 2021,7611
Minnesota,May  5 2021,7576
Minnesota,Apr 28 2021,7523
Minnesota,Apr 21 2021,7464
Minnesota,Apr 14 2021,7387
Minnesota,Apr  7 2021,7320
Minnesota,Mar 31 2021,7269
Minnesota,Mar 24 2021,7218
Minnesota,Mar 17 2021,7180
Minnesota,Mar 10 2021,7148
Minnesota,Mar  3 2021,6979
Minnesota,Feb 24 2021,6954
Minnesota,Feb 17 2021,6923
Minnesota,Feb 10 2021,6889
Minnesota,Feb  3 2021,6855
Minnesota,Jan 27 2021,6798
Minnesota,Jan 20 2021,6728
Minnesota,Jan 13 2021,6631
Minnesota,Jan  6 2021,6517
Minnesota,Dec 30 2020,6342
Minnesota,Dec 23 2020,6163
Minnesota,Dec 16 2020,5944
Minnesota,Dec  9 2020,5611
Minnesota,Dec  2 2020,5145
Minnesota,Nov 25 2020,4644
Minnesota,Nov 18 2020,4068
Minnesota,Nov 11 2020,3538
Minnesota,Nov  4 2020,3141
Minnesota,Oct 28 2020,2842
Minnesota,Oct 21 2020,2645
Minnesota,Oct 14 2020,2493
Minnesota,Oct  7 2020,2372
Minnesota,Sep 30 2020,2296
Minnesota,Sep 23 2020,2195
Minnesota,Sep 16 2020,2108
Minnesota,Sep  9 2020,2067
Minnesota,Sep  2 2020,2015
Minnesota,Aug 26 2020,1969
Minnesota,Aug 19 2020,1910
Minnesota,Aug 12 2020,1849
Minnesota,Aug  5 2020,1792
Minnesota,Jul 29 2020,1740
Minnesota,Jul 22 2020,1698
Minnesota,Jul 15 2020,1662
Minnesota,Jul  8 2020,1633
Minnesota,Jul  1 2020,1608
Minnesota,Jun 24 2020,1579
Minnesota,Jun 17 2020,1548
Minnesota,Jun 10 2020,1503
Minnesota,Jun  3 2020,1445
Minnesota,May 27 2020,1328
Minnesota,May 20 2020,1124
Minnesota,May 13 2020,929
Minnesota,May  6 2020,724
Minnesota,Apr 29 2020,552
Minnesota,Apr 22 2020,366
Minnesota,Apr 15 2020,205
Minnesota,Apr  8 2020,88
Minnesota,Apr  1 2020,38
Minnesota,Mar 25 2020,10
Minnesota,Mar 18 2020,0
Minnesota,Mar 11 2020,0
Minnesota,Mar  4 2020,0
Minnesota,Feb 26 2020,0
Minnesota,Feb 19 2020,0
Minnesota,Feb 12 2020,0
Minnesota,Feb  5 2020,0
Minnesota,Jan 29 2020,0
