Data Table for Total Deaths - New Mexico
Date generated: Mon Dec 05 2022 12:48:09 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
New Mexico,Nov 30 2022,8702
New Mexico,Nov 23 2022,8702
New Mexico,Nov 16 2022,8689
New Mexico,Nov  9 2022,8675
New Mexico,Nov  2 2022,8645
New Mexico,Oct 26 2022,8631
New Mexico,Oct 19 2022,8607
New Mexico,Oct 12 2022,8599
New Mexico,Oct  5 2022,8586
New Mexico,Sep 28 2022,8563
New Mexico,Sep 21 2022,8534
New Mexico,Sep 14 2022,8497
New Mexico,Sep  7 2022,8475
New Mexico,Aug 31 2022,8447
New Mexico,Aug 24 2022,8386
New Mexico,Aug 17 2022,8334
New Mexico,Aug 10 2022,8303
New Mexico,Aug  3 2022,8267
New Mexico,Jul 27 2022,8224
New Mexico,Jul 20 2022,8138
New Mexico,Jul 13 2022,8006
New Mexico,Jul  6 2022,7957
New Mexico,Jun 29 2022,7928
New Mexico,Jun 22 2022,7891
New Mexico,Jun 15 2022,7869
New Mexico,Jun  8 2022,7856
New Mexico,Jun  1 2022,7796
New Mexico,May 25 2022,7731
New Mexico,May 18 2022,7650
New Mexico,May 11 2022,7594
New Mexico,May  4 2022,7536
New Mexico,Apr 27 2022,7465
New Mexico,Apr 20 2022,7434
New Mexico,Apr 13 2022,7391
New Mexico,Apr  6 2022,7333
New Mexico,Mar 30 2022,7255
New Mexico,Mar 23 2022,7180
New Mexico,Mar 16 2022,7116
New Mexico,Mar  9 2022,7026
New Mexico,Mar  2 2022,6940
New Mexico,Feb 23 2022,6851
New Mexico,Feb 16 2022,6729
New Mexico,Feb  9 2022,6597
New Mexico,Feb  2 2022,6488
New Mexico,Jan 26 2022,6357
New Mexico,Jan 19 2022,6205
New Mexico,Jan 12 2022,6073
New Mexico,Jan  5 2022,5933
New Mexico,Dec 29 2021,5829
New Mexico,Dec 22 2021,5701
New Mexico,Dec 15 2021,5516
New Mexico,Dec  8 2021,5445
New Mexico,Dec  1 2021,5379
New Mexico,Nov 24 2021,5310
New Mexico,Nov 17 2021,5215
New Mexico,Nov 10 2021,5148
New Mexico,Nov  3 2021,5085
New Mexico,Oct 27 2021,5027
New Mexico,Oct 20 2021,4966
New Mexico,Oct 13 2021,4899
New Mexico,Oct  6 2021,4840
New Mexico,Sep 29 2021,4788
New Mexico,Sep 22 2021,4719
New Mexico,Sep 15 2021,4649
New Mexico,Sep  8 2021,4577
New Mexico,Sep  1 2021,4529
New Mexico,Aug 25 2021,4488
New Mexico,Aug 18 2021,4459
New Mexico,Aug 11 2021,4437
New Mexico,Aug  4 2021,4417
New Mexico,Jul 28 2021,4407
New Mexico,Jul 21 2021,4392
New Mexico,Jul 14 2021,4362
New Mexico,Jul  7 2021,4347
New Mexico,Jun 30 2021,4340
New Mexico,Jun 23 2021,4332
New Mexico,Jun 16 2021,4305
New Mexico,Jun  9 2021,4292
New Mexico,Jun  2 2021,4268
New Mexico,May 26 2021,4254
New Mexico,May 19 2021,4112
New Mexico,May 12 2021,4104
New Mexico,May  5 2021,4079
New Mexico,Apr 28 2021,4048
New Mexico,Apr 21 2021,4017
New Mexico,Apr 14 2021,3993
New Mexico,Apr  7 2021,3961
New Mexico,Mar 31 2021,3935
New Mexico,Mar 24 2021,3907
New Mexico,Mar 17 2021,3870
New Mexico,Mar 10 2021,3836
New Mexico,Mar  3 2021,3751
New Mexico,Feb 24 2021,3657
New Mexico,Feb 17 2021,3561
New Mexico,Feb 10 2021,3461
New Mexico,Feb  3 2021,3338
New Mexico,Jan 27 2021,3198
New Mexico,Jan 20 2021,3010
New Mexico,Jan 13 2021,2807
New Mexico,Jan  6 2021,2641
New Mexico,Dec 30 2020,2436
New Mexico,Dec 23 2020,2243
New Mexico,Dec 16 2020,2049
New Mexico,Dec  9 2020,1823
New Mexico,Dec  2 2020,1629
New Mexico,Nov 25 2020,1451
New Mexico,Nov 18 2020,1290
New Mexico,Nov 11 2020,1158
New Mexico,Nov  4 2020,1059
New Mexico,Oct 28 2020,991
New Mexico,Oct 21 2020,950
New Mexico,Oct 14 2020,921
New Mexico,Oct  7 2020,896
New Mexico,Sep 30 2020,877
New Mexico,Sep 23 2020,857
New Mexico,Sep 16 2020,832
New Mexico,Sep  9 2020,813
New Mexico,Sep  2 2020,790
New Mexico,Aug 26 2020,755
New Mexico,Aug 19 2020,729
New Mexico,Aug 12 2020,695
New Mexico,Aug  5 2020,667
New Mexico,Jul 29 2020,632
New Mexico,Jul 22 2020,591
New Mexico,Jul 15 2020,557
New Mexico,Jul  8 2020,527
New Mexico,Jul  1 2020,500
New Mexico,Jun 24 2020,480
New Mexico,Jun 17 2020,452
New Mexico,Jun 10 2020,410
New Mexico,Jun  3 2020,375
New Mexico,May 27 2020,329
New Mexico,May 20 2020,283
New Mexico,May 13 2020,231
New Mexico,May  6 2020,169
New Mexico,Apr 29 2020,112
New Mexico,Apr 22 2020,71
New Mexico,Apr 15 2020,36
New Mexico,Apr  8 2020,13
New Mexico,Apr  1 2020,5
New Mexico,Mar 25 2020,1
New Mexico,Mar 18 2020,0
New Mexico,Mar 11 2020,0
New Mexico,Mar  4 2020,0
New Mexico,Feb 26 2020,0
New Mexico,Feb 19 2020,0
New Mexico,Feb 12 2020,0
New Mexico,Feb  5 2020,0
New Mexico,Jan 29 2020,0
