Data Table for Total Deaths - Ohio
Date generated: Mon Dec 05 2022 12:58:58 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Ohio,Nov 30 2022,40466
Ohio,Nov 23 2022,40466
Ohio,Nov 16 2022,40257
Ohio,Nov  9 2022,40208
Ohio,Nov  2 2022,40139
Ohio,Oct 26 2022,40075
Ohio,Oct 19 2022,40004
Ohio,Oct 12 2022,39919
Ohio,Oct  5 2022,39828
Ohio,Sep 28 2022,39742
Ohio,Sep 21 2022,39653
Ohio,Sep 14 2022,39556
Ohio,Sep  7 2022,39471
Ohio,Aug 31 2022,39388
Ohio,Aug 24 2022,39294
Ohio,Aug 17 2022,39204
Ohio,Aug 10 2022,39121
Ohio,Aug  3 2022,39024
Ohio,Jul 27 2022,38970
Ohio,Jul 20 2022,38922
Ohio,Jul 13 2022,38889
Ohio,Jul  6 2022,38830
Ohio,Jun 29 2022,38767
Ohio,Jun 22 2022,38634
Ohio,Jun 15 2022,38634
Ohio,Jun  8 2022,38634
Ohio,Jun  1 2022,38608
Ohio,May 25 2022,38574
Ohio,May 18 2022,38536
Ohio,May 11 2022,38484
Ohio,May  4 2022,38425
Ohio,Apr 27 2022,38357
Ohio,Apr 20 2022,38262
Ohio,Apr 13 2022,38162
Ohio,Apr  6 2022,38036
Ohio,Mar 30 2022,37789
Ohio,Mar 23 2022,37605
Ohio,Mar 16 2022,37409
Ohio,Mar  9 2022,37409
Ohio,Mar  2 2022,37272
Ohio,Feb 23 2022,36992
Ohio,Feb 16 2022,36738
Ohio,Feb  9 2022,36446
Ohio,Feb  2 2022,36052
Ohio,Jan 26 2022,35433
Ohio,Jan 19 2022,34541
Ohio,Jan 12 2022,33493
Ohio,Jan  5 2022,32466
Ohio,Dec 29 2021,31498
Ohio,Dec 22 2021,30617
Ohio,Dec 15 2021,29776
Ohio,Dec  8 2021,28932
Ohio,Dec  1 2021,28172
Ohio,Nov 24 2021,27574
Ohio,Nov 17 2021,27042
Ohio,Nov 10 2021,26634
Ohio,Nov  3 2021,26240
Ohio,Oct 27 2021,25804
Ohio,Oct 20 2021,25284
Ohio,Oct 13 2021,24695
Ohio,Oct  6 2021,24114
Ohio,Sep 29 2021,23513
Ohio,Sep 22 2021,22900
Ohio,Sep 15 2021,22356
Ohio,Sep  8 2021,21869
Ohio,Sep  1 2021,21496
Ohio,Aug 25 2021,21224
Ohio,Aug 18 2021,20996
Ohio,Aug 11 2021,20839
Ohio,Aug  4 2021,20746
Ohio,Jul 28 2021,20683
Ohio,Jul 21 2021,20646
Ohio,Jul 14 2021,20603
Ohio,Jul  7 2021,20578
Ohio,Jun 30 2021,20542
Ohio,Jun 23 2021,20511
Ohio,Jun 16 2021,20466
Ohio,Jun  9 2021,20400
Ohio,Jun  2 2021,20330
Ohio,May 26 2021,20249
Ohio,May 19 2021,20148
Ohio,May 12 2021,20039
Ohio,May  5 2021,19943
Ohio,Apr 28 2021,19806
Ohio,Apr 21 2021,19671
Ohio,Apr 14 2021,19535
Ohio,Apr  7 2021,19421
Ohio,Mar 31 2021,19292
Ohio,Mar 24 2021,19190
Ohio,Mar 17 2021,19081
Ohio,Mar 10 2021,18950
Ohio,Mar  3 2021,18781
Ohio,Feb 24 2021,18573
Ohio,Feb 17 2021,18323
Ohio,Feb 10 2021,17991
Ohio,Feb  3 2021,17558
Ohio,Jan 27 2021,17004
Ohio,Jan 20 2021,16308
Ohio,Jan 13 2021,15481
Ohio,Jan  6 2021,14507
Ohio,Dec 30 2020,13469
Ohio,Dec 23 2020,12320
Ohio,Dec 16 2020,10979
Ohio,Dec  9 2020,9654
Ohio,Dec  2 2020,8408
Ohio,Nov 25 2020,7375
Ohio,Nov 18 2020,6518
Ohio,Nov 11 2020,5982
Ohio,Nov  4 2020,5532
Ohio,Oct 28 2020,5207
Ohio,Oct 21 2020,4954
Ohio,Oct 14 2020,4750
Ohio,Oct  7 2020,4595
Ohio,Sep 30 2020,4471
Ohio,Sep 23 2020,4342
Ohio,Sep 16 2020,4218
Ohio,Sep  9 2020,4095
Ohio,Sep  2 2020,3963
Ohio,Aug 26 2020,3801
Ohio,Aug 19 2020,3621
Ohio,Aug 12 2020,3465
Ohio,Aug  5 2020,3305
Ohio,Jul 29 2020,3159
Ohio,Jul 22 2020,2969
Ohio,Jul 15 2020,2818
Ohio,Jul  8 2020,2709
Ohio,Jul  1 2020,2618
Ohio,Jun 24 2020,2525
Ohio,Jun 17 2020,2443
Ohio,Jun 10 2020,2330
Ohio,Jun  3 2020,2214
Ohio,May 27 2020,2035
Ohio,May 20 2020,1823
Ohio,May 13 2020,1581
Ohio,May  6 2020,1326
Ohio,Apr 29 2020,1053
Ohio,Apr 22 2020,742
Ohio,Apr 15 2020,470
Ohio,Apr  8 2020,261
Ohio,Apr  1 2020,108
Ohio,Mar 25 2020,26
Ohio,Mar 18 2020,4
Ohio,Mar 11 2020,0
Ohio,Mar  4 2020,0
Ohio,Feb 26 2020,0
Ohio,Feb 19 2020,0
Ohio,Feb 12 2020,0
Ohio,Feb  5 2020,0
Ohio,Jan 29 2020,0
