Data Table for Total Deaths - Oklahoma
Date generated: Mon Dec 05 2022 12:59:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Oklahoma,Nov 30 2022,15049
Oklahoma,Nov 23 2022,15017
Oklahoma,Nov 16 2022,15012
Oklahoma,Nov  9 2022,14991
Oklahoma,Nov  2 2022,14960
Oklahoma,Oct 26 2022,14941
Oklahoma,Oct 19 2022,14923
Oklahoma,Oct 12 2022,14883
Oklahoma,Oct  5 2022,14805
Oklahoma,Sep 28 2022,14786
Oklahoma,Sep 21 2022,14784
Oklahoma,Sep 14 2022,14765
Oklahoma,Sep  7 2022,14741
Oklahoma,Aug 31 2022,14669
Oklahoma,Aug 24 2022,14643
Oklahoma,Aug 17 2022,14623
Oklahoma,Aug 10 2022,14593
Oklahoma,Aug  3 2022,14576
Oklahoma,Jul 27 2022,14555
Oklahoma,Jul 20 2022,14525
Oklahoma,Jul 13 2022,14473
Oklahoma,Jul  6 2022,14471
Oklahoma,Jun 29 2022,14468
Oklahoma,Jun 22 2022,14468
Oklahoma,Jun 15 2022,14455
Oklahoma,Jun  8 2022,14435
Oklahoma,Jun  1 2022,14418
Oklahoma,May 25 2022,14417
Oklahoma,May 18 2022,14379
Oklahoma,May 11 2022,14345
Oklahoma,May  4 2022,14260
Oklahoma,Apr 27 2022,14211
Oklahoma,Apr 20 2022,14156
Oklahoma,Apr 13 2022,14079
Oklahoma,Apr  6 2022,14005
Oklahoma,Mar 30 2022,13888
Oklahoma,Mar 23 2022,13728
Oklahoma,Mar 16 2022,13512
Oklahoma,Mar  9 2022,13277
Oklahoma,Mar  2 2022,13276
Oklahoma,Feb 23 2022,12990
Oklahoma,Feb 16 2022,12763
Oklahoma,Feb  9 2022,12425
Oklahoma,Feb  2 2022,12189
Oklahoma,Jan 26 2022,12041
Oklahoma,Jan 19 2022,11870
Oklahoma,Jan 12 2022,11738
Oklahoma,Jan  5 2022,11643
Oklahoma,Dec 29 2021,11543
Oklahoma,Dec 22 2021,10877
Oklahoma,Dec 15 2021,10877
Oklahoma,Dec  8 2021,10877
Oklahoma,Dec  1 2021,10877
Oklahoma,Nov 24 2021,10877
Oklahoma,Nov 17 2021,10877
Oklahoma,Nov 10 2021,10877
Oklahoma,Nov  3 2021,10877
Oklahoma,Oct 27 2021,10708
Oklahoma,Oct 20 2021,10529
Oklahoma,Oct 13 2021,9400
Oklahoma,Oct  6 2021,9211
Oklahoma,Sep 29 2021,8947
Oklahoma,Sep 22 2021,8713
Oklahoma,Sep 15 2021,8437
Oklahoma,Sep  8 2021,8206
Oklahoma,Sep  1 2021,7999
Oklahoma,Aug 25 2021,7810
Oklahoma,Aug 18 2021,7674
Oklahoma,Aug 11 2021,7592
Oklahoma,Aug  4 2021,7529
Oklahoma,Jul 28 2021,7483
Oklahoma,Jul 21 2021,7452
Oklahoma,Jul 14 2021,7415
Oklahoma,Jul  7 2021,7404
Oklahoma,Jun 30 2021,7386
Oklahoma,Jun 23 2021,7381
Oklahoma,Jun 16 2021,7352
Oklahoma,Jun  9 2021,7323
Oklahoma,Jun  2 2021,7313
Oklahoma,May 26 2021,7288
Oklahoma,May 19 2021,6917
Oklahoma,May 12 2021,6877
Oklahoma,May  5 2021,6830
Oklahoma,Apr 28 2021,6780
Oklahoma,Apr 21 2021,6709
Oklahoma,Apr 14 2021,6690
Oklahoma,Apr  7 2021,6662
Oklahoma,Mar 31 2021,4951
Oklahoma,Mar 24 2021,4848
Oklahoma,Mar 17 2021,4786
Oklahoma,Mar 10 2021,4699
Oklahoma,Mar  3 2021,4532
Oklahoma,Feb 24 2021,4262
Oklahoma,Feb 17 2021,4087
Oklahoma,Feb 10 2021,3898
Oklahoma,Feb  3 2021,3653
Oklahoma,Jan 27 2021,3387
Oklahoma,Jan 20 2021,3084
Oklahoma,Jan 13 2021,2847
Oklahoma,Jan  6 2021,2632
Oklahoma,Dec 30 2020,2452
Oklahoma,Dec 23 2020,2282
Oklahoma,Dec 16 2020,2128
Oklahoma,Dec  9 2020,1945
Oklahoma,Dec  2 2020,1812
Oklahoma,Nov 25 2020,1680
Oklahoma,Nov 18 2020,1570
Oklahoma,Nov 11 2020,1470
Oklahoma,Nov  4 2020,1392
Oklahoma,Oct 28 2020,1286
Oklahoma,Oct 21 2020,1209
Oklahoma,Oct 14 2020,1132
Oklahoma,Oct  7 2020,1075
Oklahoma,Sep 30 2020,1031
Oklahoma,Sep 23 2020,970
Oklahoma,Sep 16 2020,924
Oklahoma,Sep  9 2020,863
Oklahoma,Sep  2 2020,821
Oklahoma,Aug 26 2020,763
Oklahoma,Aug 19 2020,699
Oklahoma,Aug 12 2020,627
Oklahoma,Aug  5 2020,582
Oklahoma,Jul 29 2020,523
Oklahoma,Jul 22 2020,474
Oklahoma,Jul 15 2020,432
Oklahoma,Jul  8 2020,407
Oklahoma,Jul  1 2020,389
Oklahoma,Jun 24 2020,372
Oklahoma,Jun 17 2020,364
Oklahoma,Jun 10 2020,355
Oklahoma,Jun  3 2020,341
Oklahoma,May 27 2020,322
Oklahoma,May 20 2020,299
Oklahoma,May 13 2020,279
Oklahoma,May  6 2020,253
Oklahoma,Apr 29 2020,214
Oklahoma,Apr 22 2020,170
Oklahoma,Apr 15 2020,123
Oklahoma,Apr  8 2020,79
Oklahoma,Apr  1 2020,29
Oklahoma,Mar 25 2020,5
Oklahoma,Mar 18 2020,0
Oklahoma,Mar 11 2020,0
Oklahoma,Mar  4 2020,0
Oklahoma,Feb 26 2020,0
Oklahoma,Feb 19 2020,0
Oklahoma,Feb 12 2020,0
Oklahoma,Feb  5 2020,0
Oklahoma,Jan 29 2020,0
