Data Table for Total Deaths - South Dakota
Date generated: Mon Dec 05 2022 13:00:54 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
South Dakota,Nov 30 2022,3099
South Dakota,Nov 23 2022,3096
South Dakota,Nov 16 2022,3088
South Dakota,Nov  9 2022,3078
South Dakota,Nov  2 2022,3065
South Dakota,Oct 26 2022,3059
South Dakota,Oct 19 2022,3049
South Dakota,Oct 12 2022,3046
South Dakota,Oct  5 2022,3033
South Dakota,Sep 28 2022,3021
South Dakota,Sep 21 2022,3017
South Dakota,Sep 14 2022,3014
South Dakota,Sep  7 2022,3002
South Dakota,Aug 31 2022,2993
South Dakota,Aug 24 2022,2984
South Dakota,Aug 17 2022,2979
South Dakota,Aug 10 2022,2973
South Dakota,Aug  3 2022,2963
South Dakota,Jul 27 2022,2956
South Dakota,Jul 20 2022,2947
South Dakota,Jul 13 2022,2945
South Dakota,Jul  6 2022,2940
South Dakota,Jun 29 2022,2938
South Dakota,Jun 22 2022,2936
South Dakota,Jun 15 2022,2931
South Dakota,Jun  8 2022,2928
South Dakota,Jun  1 2022,2928
South Dakota,May 25 2022,2925
South Dakota,May 18 2022,2917
South Dakota,May 11 2022,2915
South Dakota,May  4 2022,2913
South Dakota,Apr 27 2022,2910
South Dakota,Apr 20 2022,2899
South Dakota,Apr 13 2022,2896
South Dakota,Apr  6 2022,2892
South Dakota,Mar 30 2022,2882
South Dakota,Mar 23 2022,2879
South Dakota,Mar 16 2022,2868
South Dakota,Mar  9 2022,2843
South Dakota,Mar  2 2022,2813
South Dakota,Feb 23 2022,2783
South Dakota,Feb 16 2022,2757
South Dakota,Feb  9 2022,2696
South Dakota,Feb  2 2022,2659
South Dakota,Jan 26 2022,2622
South Dakota,Jan 19 2022,2572
South Dakota,Jan 12 2022,2534
South Dakota,Jan  5 2022,2507
South Dakota,Dec 29 2021,2474
South Dakota,Dec 22 2021,2450
South Dakota,Dec 15 2021,2418
South Dakota,Dec  8 2021,2382
South Dakota,Dec  1 2021,2349
South Dakota,Nov 24 2021,2320
South Dakota,Nov 17 2021,2297
South Dakota,Nov 10 2021,2276
South Dakota,Nov  3 2021,2252
South Dakota,Oct 27 2021,2230
South Dakota,Oct 20 2021,2204
South Dakota,Oct 13 2021,2176
South Dakota,Oct  6 2021,2167
South Dakota,Sep 29 2021,2134
South Dakota,Sep 22 2021,2110
South Dakota,Sep 15 2021,2094
South Dakota,Sep  8 2021,2077
South Dakota,Sep  1 2021,2070
South Dakota,Aug 25 2021,2060
South Dakota,Aug 18 2021,2057
South Dakota,Aug 11 2021,2052
South Dakota,Aug  4 2021,2051
South Dakota,Jul 28 2021,2044
South Dakota,Jul 21 2021,2042
South Dakota,Jul 14 2021,2040
South Dakota,Jul  7 2021,2038
South Dakota,Jun 30 2021,2034
South Dakota,Jun 23 2021,2029
South Dakota,Jun 16 2021,2026
South Dakota,Jun  9 2021,2023
South Dakota,Jun  2 2021,2019
South Dakota,May 26 2021,2003
South Dakota,May 19 2021,1994
South Dakota,May 12 2021,1988
South Dakota,May  5 2021,1975
South Dakota,Apr 28 2021,1961
South Dakota,Apr 21 2021,1953
South Dakota,Apr 14 2021,1946
South Dakota,Apr  7 2021,1936
South Dakota,Mar 31 2021,1933
South Dakota,Mar 24 2021,1922
South Dakota,Mar 17 2021,1914
South Dakota,Mar 10 2021,1903
South Dakota,Mar  3 2021,1892
South Dakota,Feb 24 2021,1862
South Dakota,Feb 17 2021,1842
South Dakota,Feb 10 2021,1813
South Dakota,Feb  3 2021,1778
South Dakota,Jan 27 2021,1738
South Dakota,Jan 20 2021,1666
South Dakota,Jan 13 2021,1604
South Dakota,Jan  6 2021,1518
South Dakota,Dec 30 2020,1464
South Dakota,Dec 23 2020,1389
South Dakota,Dec 16 2020,1300
South Dakota,Dec  9 2020,1147
South Dakota,Dec  2 2020,994
South Dakota,Nov 25 2020,849
South Dakota,Nov 18 2020,674
South Dakota,Nov 11 2020,567
South Dakota,Nov  4 2020,460
South Dakota,Oct 28 2020,384
South Dakota,Oct 21 2020,333
South Dakota,Oct 14 2020,291
South Dakota,Oct  7 2020,258
South Dakota,Sep 30 2020,223
South Dakota,Sep 23 2020,202
South Dakota,Sep 16 2020,192
South Dakota,Sep  9 2020,173
South Dakota,Sep  2 2020,169
South Dakota,Aug 26 2020,162
South Dakota,Aug 19 2020,155
South Dakota,Aug 12 2020,147
South Dakota,Aug  5 2020,137
South Dakota,Jul 29 2020,129
South Dakota,Jul 22 2020,119
South Dakota,Jul 15 2020,111
South Dakota,Jul  8 2020,98
South Dakota,Jul  1 2020,93
South Dakota,Jun 24 2020,84
South Dakota,Jun 17 2020,78
South Dakota,Jun 10 2020,69
South Dakota,Jun  3 2020,62
South Dakota,May 27 2020,54
South Dakota,May 20 2020,46
South Dakota,May 13 2020,39
South Dakota,May  6 2020,29
South Dakota,Apr 29 2020,13
South Dakota,Apr 22 2020,9
South Dakota,Apr 15 2020,6
South Dakota,Apr  8 2020,6
South Dakota,Apr  1 2020,2
South Dakota,Mar 25 2020,1
South Dakota,Mar 18 2020,1
South Dakota,Mar 11 2020,1
South Dakota,Mar  4 2020,0
South Dakota,Feb 26 2020,0
South Dakota,Feb 19 2020,0
South Dakota,Feb 12 2020,0
South Dakota,Feb  5 2020,0
South Dakota,Jan 29 2020,0
