Data Table for Total Deaths - Tennessee
Date generated: Mon Dec 05 2022 13:01:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Tennessee,Nov 30 2022,28297
Tennessee,Nov 23 2022,28285
Tennessee,Nov 16 2022,28210
Tennessee,Nov  9 2022,28176
Tennessee,Nov  2 2022,28107
Tennessee,Oct 26 2022,28060
Tennessee,Oct 19 2022,28000
Tennessee,Oct 12 2022,27942
Tennessee,Oct  5 2022,27864
Tennessee,Sep 28 2022,27750
Tennessee,Sep 21 2022,27625
Tennessee,Sep 14 2022,27531
Tennessee,Sep  7 2022,27515
Tennessee,Aug 31 2022,27424
Tennessee,Aug 24 2022,27311
Tennessee,Aug 17 2022,27216
Tennessee,Aug 10 2022,27116
Tennessee,Aug  3 2022,27026
Tennessee,Jul 27 2022,26945
Tennessee,Jul 20 2022,26847
Tennessee,Jul 13 2022,26768
Tennessee,Jul  6 2022,26712
Tennessee,Jun 29 2022,26621
Tennessee,Jun 22 2022,26608
Tennessee,Jun 15 2022,26531
Tennessee,Jun  8 2022,26485
Tennessee,Jun  1 2022,26468
Tennessee,May 25 2022,26371
Tennessee,May 18 2022,26256
Tennessee,May 11 2022,26198
Tennessee,May  4 2022,26162
Tennessee,Apr 27 2022,26140
Tennessee,Apr 20 2022,26102
Tennessee,Apr 13 2022,26021
Tennessee,Apr  6 2022,25664
Tennessee,Mar 30 2022,25514
Tennessee,Mar 23 2022,25440
Tennessee,Mar 16 2022,25246
Tennessee,Mar  9 2022,24706
Tennessee,Mar  2 2022,24487
Tennessee,Feb 23 2022,24356
Tennessee,Feb 16 2022,23902
Tennessee,Feb  9 2022,23182
Tennessee,Feb  2 2022,22838
Tennessee,Jan 26 2022,22304
Tennessee,Jan 19 2022,21822
Tennessee,Jan 12 2022,21226
Tennessee,Jan  5 2022,20959
Tennessee,Dec 29 2021,20774
Tennessee,Dec 22 2021,20305
Tennessee,Dec 15 2021,17912
Tennessee,Dec  8 2021,17675
Tennessee,Dec  1 2021,17272
Tennessee,Nov 24 2021,16957
Tennessee,Nov 17 2021,16771
Tennessee,Nov 10 2021,16633
Tennessee,Nov  3 2021,16458
Tennessee,Oct 27 2021,16299
Tennessee,Oct 20 2021,16081
Tennessee,Oct 13 2021,15745
Tennessee,Oct  6 2021,15477
Tennessee,Sep 29 2021,15121
Tennessee,Sep 22 2021,14713
Tennessee,Sep 15 2021,14265
Tennessee,Sep  8 2021,13853
Tennessee,Sep  1 2021,13529
Tennessee,Aug 25 2021,13276
Tennessee,Aug 18 2021,13064
Tennessee,Aug 11 2021,12880
Tennessee,Aug  4 2021,12767
Tennessee,Jul 28 2021,12697
Tennessee,Jul 21 2021,12630
Tennessee,Jul 14 2021,12592
Tennessee,Jul  7 2021,12554
Tennessee,Jun 30 2021,12528
Tennessee,Jun 23 2021,12502
Tennessee,Jun 16 2021,12471
Tennessee,Jun  9 2021,12428
Tennessee,Jun  2 2021,12406
Tennessee,May 26 2021,12371
Tennessee,May 19 2021,12312
Tennessee,May 12 2021,12258
Tennessee,May  5 2021,12196
Tennessee,Apr 28 2021,12137
Tennessee,Apr 21 2021,12082
Tennessee,Apr 14 2021,11993
Tennessee,Apr  7 2021,11937
Tennessee,Mar 31 2021,11861
Tennessee,Mar 24 2021,11751
Tennessee,Mar 17 2021,11635
Tennessee,Mar 10 2021,11574
Tennessee,Mar  3 2021,11444
Tennessee,Feb 24 2021,11259
Tennessee,Feb 17 2021,10982
Tennessee,Feb 10 2021,10728
Tennessee,Feb  3 2021,10028
Tennessee,Jan 27 2021,9314
Tennessee,Jan 20 2021,8555
Tennessee,Jan 13 2021,8148
Tennessee,Jan  6 2021,7385
Tennessee,Dec 30 2020,6809
Tennessee,Dec 23 2020,6379
Tennessee,Dec 16 2020,5668
Tennessee,Dec  9 2020,5172
Tennessee,Dec  2 2020,4690
Tennessee,Nov 25 2020,4464
Tennessee,Nov 18 2020,4047
Tennessee,Nov 11 2020,3757
Tennessee,Nov  4 2020,3480
Tennessee,Oct 28 2020,3241
Tennessee,Oct 21 2020,2967
Tennessee,Oct 14 2020,2827
Tennessee,Oct  7 2020,2640
Tennessee,Sep 30 2020,2452
Tennessee,Sep 23 2020,2272
Tennessee,Sep 16 2020,2144
Tennessee,Sep  9 2020,1931
Tennessee,Sep  2 2020,1794
Tennessee,Aug 26 2020,1646
Tennessee,Aug 19 2020,1453
Tennessee,Aug 12 2020,1290
Tennessee,Aug  5 2020,1144
Tennessee,Jul 29 2020,1019
Tennessee,Jul 22 2020,888
Tennessee,Jul 15 2020,783
Tennessee,Jul  8 2020,685
Tennessee,Jul  1 2020,609
Tennessee,Jun 24 2020,556
Tennessee,Jun 17 2020,498
Tennessee,Jun 10 2020,437
Tennessee,Jun  3 2020,386
Tennessee,May 27 2020,353
Tennessee,May 20 2020,309
Tennessee,May 13 2020,272
Tennessee,May  6 2020,238
Tennessee,Apr 29 2020,195
Tennessee,Apr 22 2020,166
Tennessee,Apr 15 2020,134
Tennessee,Apr  8 2020,79
Tennessee,Apr  1 2020,24
Tennessee,Mar 25 2020,3
Tennessee,Mar 18 2020,0
Tennessee,Mar 11 2020,0
Tennessee,Mar  4 2020,0
Tennessee,Feb 26 2020,0
Tennessee,Feb 19 2020,0
Tennessee,Feb 12 2020,0
Tennessee,Feb  5 2020,0
Tennessee,Jan 29 2020,0
