Data Table for Total Deaths - Virginia
Date generated: Mon Dec 05 2022 13:02:48 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Virginia,Nov 30 2022,22420
Virginia,Nov 23 2022,22338
Virginia,Nov 16 2022,22248
Virginia,Nov  9 2022,22217
Virginia,Nov  2 2022,22185
Virginia,Oct 26 2022,22129
Virginia,Oct 19 2022,22050
Virginia,Oct 12 2022,21969
Virginia,Oct  5 2022,21876
Virginia,Sep 28 2022,21796
Virginia,Sep 21 2022,21700
Virginia,Sep 14 2022,21620
Virginia,Sep  7 2022,21509
Virginia,Aug 31 2022,21395
Virginia,Aug 24 2022,21296
Virginia,Aug 17 2022,21175
Virginia,Aug 10 2022,21072
Virginia,Aug  3 2022,20966
Virginia,Jul 27 2022,20860
Virginia,Jul 20 2022,20808
Virginia,Jul 13 2022,20742
Virginia,Jul  6 2022,20663
Virginia,Jun 29 2022,20547
Virginia,Jun 22 2022,20443
Virginia,Jun 15 2022,20412
Virginia,Jun  8 2022,20398
Virginia,Jun  1 2022,20358
Virginia,May 25 2022,20320
Virginia,May 18 2022,20288
Virginia,May 11 2022,20259
Virginia,May  4 2022,20216
Virginia,Apr 27 2022,20162
Virginia,Apr 20 2022,20053
Virginia,Apr 13 2022,19911
Virginia,Apr  6 2022,19750
Virginia,Mar 30 2022,19632
Virginia,Mar 23 2022,19516
Virginia,Mar 16 2022,19361
Virginia,Mar  9 2022,19115
Virginia,Mar  2 2022,18840
Virginia,Feb 23 2022,18320
Virginia,Feb 16 2022,17866
Virginia,Feb  9 2022,17297
Virginia,Feb  2 2022,16404
Virginia,Jan 26 2022,16040
Virginia,Jan 19 2022,15826
Virginia,Jan 12 2022,15731
Virginia,Jan  5 2022,15619
Virginia,Dec 29 2021,15528
Virginia,Dec 22 2021,15217
Virginia,Dec 15 2021,15020
Virginia,Dec  8 2021,14834
Virginia,Dec  1 2021,14725
Virginia,Nov 24 2021,14594
Virginia,Nov 17 2021,14439
Virginia,Nov 10 2021,14250
Virginia,Nov  3 2021,14026
Virginia,Oct 27 2021,13796
Virginia,Oct 20 2021,13565
Virginia,Oct 13 2021,13277
Virginia,Oct  6 2021,12985
Virginia,Sep 29 2021,12693
Virginia,Sep 22 2021,12403
Virginia,Sep 15 2021,12167
Virginia,Sep  8 2021,11970
Virginia,Sep  1 2021,11855
Virginia,Aug 25 2021,11709
Virginia,Aug 18 2021,11627
Virginia,Aug 11 2021,11576
Virginia,Aug  4 2021,11531
Virginia,Jul 28 2021,11512
Virginia,Jul 21 2021,11465
Virginia,Jul 14 2021,11437
Virginia,Jul  7 2021,11396
Virginia,Jun 30 2021,11369
Virginia,Jun 23 2021,11319
Virginia,Jun 16 2021,11277
Virginia,Jun  9 2021,11215
Virginia,Jun  2 2021,11164
Virginia,May 26 2021,11093
Virginia,May 19 2021,11009
Virginia,May 12 2021,10904
Virginia,May  5 2021,10818
Virginia,Apr 28 2021,10715
Virginia,Apr 21 2021,10618
Virginia,Apr 14 2021,10496
Virginia,Apr  7 2021,10397
Virginia,Mar 31 2021,10240
Virginia,Mar 24 2021,10127
Virginia,Mar 17 2021,10053
Virginia,Mar 10 2021,9802
Virginia,Mar  3 2021,9314
Virginia,Feb 24 2021,7808
Virginia,Feb 17 2021,7070
Virginia,Feb 10 2021,6921
Virginia,Feb  3 2021,6572
Virginia,Jan 27 2021,6227
Virginia,Jan 20 2021,5861
Virginia,Jan 13 2021,5552
Virginia,Jan  6 2021,5227
Virginia,Dec 30 2020,4982
Virginia,Dec 23 2020,4758
Virginia,Dec 16 2020,4504
Virginia,Dec  9 2020,4278
Virginia,Dec  2 2020,4106
Virginia,Nov 25 2020,4001
Virginia,Nov 18 2020,3853
Virginia,Nov 11 2020,3734
Virginia,Nov  4 2020,3675
Virginia,Oct 28 2020,3611
Virginia,Oct 21 2020,3510
Virginia,Oct 14 2020,3377
Virginia,Oct  7 2020,3303
Virginia,Sep 30 2020,3205
Virginia,Sep 23 2020,3089
Virginia,Sep 16 2020,2884
Virginia,Sep  9 2020,2695
Virginia,Sep  2 2020,2639
Virginia,Aug 26 2020,2513
Virginia,Aug 19 2020,2410
Virginia,Aug 12 2020,2344
Virginia,Aug  5 2020,2272
Virginia,Jul 29 2020,2121
Virginia,Jul 22 2020,2046
Virginia,Jul 15 2020,1984
Virginia,Jul  8 2020,1896
Virginia,Jul  1 2020,1778
Virginia,Jun 24 2020,1652
Virginia,Jun 17 2020,1573
Virginia,Jun 10 2020,1510
Virginia,Jun  3 2020,1418
Virginia,May 27 2020,1275
Virginia,May 20 2020,1074
Virginia,May 13 2020,927
Virginia,May  6 2020,736
Virginia,Apr 29 2020,519
Virginia,Apr 22 2020,348
Virginia,Apr 15 2020,195
Virginia,Apr  8 2020,66
Virginia,Apr  1 2020,34
Virginia,Mar 25 2020,9
Virginia,Mar 18 2020,2
Virginia,Mar 11 2020,0
Virginia,Mar  4 2020,0
Virginia,Feb 26 2020,0
Virginia,Feb 19 2020,0
Virginia,Feb 12 2020,0
Virginia,Feb  5 2020,0
Virginia,Jan 29 2020,0
