Data Table for Total Deaths - West Virginia
Date generated: Mon Dec 05 2022 13:03:18 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
West Virginia,Nov 30 2022,7611
West Virginia,Nov 23 2022,7594
West Virginia,Nov 16 2022,7557
West Virginia,Nov  9 2022,7538
West Virginia,Nov  2 2022,7534
West Virginia,Oct 26 2022,7502
West Virginia,Oct 19 2022,7479
West Virginia,Oct 12 2022,7455
West Virginia,Oct  5 2022,7436
West Virginia,Sep 28 2022,7406
West Virginia,Sep 21 2022,7379
West Virginia,Sep 14 2022,7351
West Virginia,Sep  7 2022,7301
West Virginia,Aug 31 2022,7286
West Virginia,Aug 24 2022,7257
West Virginia,Aug 17 2022,7223
West Virginia,Aug 10 2022,7200
West Virginia,Aug  3 2022,7169
West Virginia,Jul 27 2022,7129
West Virginia,Jul 20 2022,7115
West Virginia,Jul 13 2022,7099
West Virginia,Jul  6 2022,7069
West Virginia,Jun 29 2022,7059
West Virginia,Jun 22 2022,7018
West Virginia,Jun 15 2022,7016
West Virginia,Jun  8 2022,6997
West Virginia,Jun  1 2022,6962
West Virginia,May 25 2022,6933
West Virginia,May 18 2022,6905
West Virginia,May 11 2022,6886
West Virginia,May  4 2022,6872
West Virginia,Apr 27 2022,6851
West Virginia,Apr 20 2022,6807
West Virginia,Apr 13 2022,6777
West Virginia,Apr  6 2022,6743
West Virginia,Mar 30 2022,6719
West Virginia,Mar 23 2022,6650
West Virginia,Mar 16 2022,6607
West Virginia,Mar  9 2022,6482
West Virginia,Mar  2 2022,6378
West Virginia,Feb 23 2022,6250
West Virginia,Feb 16 2022,6103
West Virginia,Feb  9 2022,5938
West Virginia,Feb  2 2022,5814
West Virginia,Jan 26 2022,5674
West Virginia,Jan 19 2022,5576
West Virginia,Jan 12 2022,5482
West Virginia,Jan  5 2022,5372
West Virginia,Dec 29 2021,5305
West Virginia,Dec 22 2021,5242
West Virginia,Dec 15 2021,5142
West Virginia,Dec  8 2021,5036
West Virginia,Dec  1 2021,4895
West Virginia,Nov 24 2021,4816
West Virginia,Nov 17 2021,4698
West Virginia,Nov 10 2021,4592
West Virginia,Nov  3 2021,4490
West Virginia,Oct 27 2021,4346
West Virginia,Oct 20 2021,4219
West Virginia,Oct 13 2021,3998
West Virginia,Oct  6 2021,3839
West Virginia,Sep 29 2021,3640
West Virginia,Sep 22 2021,3465
West Virginia,Sep 15 2021,3296
West Virginia,Sep  8 2021,3169
West Virginia,Sep  1 2021,3105
West Virginia,Aug 25 2021,3036
West Virginia,Aug 18 2021,2997
West Virginia,Aug 11 2021,2974
West Virginia,Aug  4 2021,2956
West Virginia,Jul 28 2021,2939
West Virginia,Jul 21 2021,2920
West Virginia,Jul 14 2021,2916
West Virginia,Jul  7 2021,2901
West Virginia,Jun 30 2021,2890
West Virginia,Jun 23 2021,2872
West Virginia,Jun 16 2021,2861
West Virginia,Jun  9 2021,2845
West Virginia,Jun  2 2021,2798
West Virginia,May 26 2021,2788
West Virginia,May 19 2021,2767
West Virginia,May 12 2021,2747
West Virginia,May  5 2021,2706
West Virginia,Apr 28 2021,2671
West Virginia,Apr 21 2021,2657
West Virginia,Apr 14 2021,2645
West Virginia,Apr  7 2021,2632
West Virginia,Mar 31 2021,2606
West Virginia,Mar 24 2021,2573
West Virginia,Mar 17 2021,2531
West Virginia,Mar 10 2021,2317
West Virginia,Mar  3 2021,2296
West Virginia,Feb 24 2021,2274
West Virginia,Feb 17 2021,2215
West Virginia,Feb 10 2021,2165
West Virginia,Feb  3 2021,2052
West Virginia,Jan 27 2021,1950
West Virginia,Jan 20 2021,1832
West Virginia,Jan 13 2021,1671
West Virginia,Jan  6 2021,1481
West Virginia,Dec 30 2020,1318
West Virginia,Dec 23 2020,1194
West Virginia,Dec 16 2020,1038
West Virginia,Dec  9 2020,900
West Virginia,Dec  2 2020,779
West Virginia,Nov 25 2020,694
West Virginia,Nov 18 2020,612
West Virginia,Nov 11 2020,552
West Virginia,Nov  4 2020,472
West Virginia,Oct 28 2020,436
West Virginia,Oct 21 2020,412
West Virginia,Oct 14 2020,391
West Virginia,Oct  7 2020,370
West Virginia,Sep 30 2020,351
West Virginia,Sep 23 2020,320
West Virginia,Sep 16 2020,291
West Virginia,Sep  9 2020,253
West Virginia,Sep  2 2020,230
West Virginia,Aug 26 2020,190
West Virginia,Aug 19 2020,166
West Virginia,Aug 12 2020,153
West Virginia,Aug  5 2020,124
West Virginia,Jul 29 2020,111
West Virginia,Jul 22 2020,101
West Virginia,Jul 15 2020,98
West Virginia,Jul  8 2020,95
West Virginia,Jul  1 2020,93
West Virginia,Jun 24 2020,92
West Virginia,Jun 17 2020,88
West Virginia,Jun 10 2020,85
West Virginia,Jun  3 2020,77
West Virginia,May 27 2020,73
West Virginia,May 20 2020,68
West Virginia,May 13 2020,57
West Virginia,May  6 2020,49
West Virginia,Apr 29 2020,38
West Virginia,Apr 22 2020,27
West Virginia,Apr 15 2020,10
West Virginia,Apr  8 2020,4
West Virginia,Apr  1 2020,1
West Virginia,Mar 25 2020,0
West Virginia,Mar 18 2020,0
West Virginia,Mar 11 2020,0
West Virginia,Mar  4 2020,0
West Virginia,Feb 26 2020,0
West Virginia,Feb 19 2020,0
West Virginia,Feb 12 2020,0
West Virginia,Feb  5 2020,0
West Virginia,Jan 29 2020,0
