Data Table for Total Deaths - Wyoming
Date generated: Mon Dec 05 2022 13:03:49 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Wyoming,Nov 30 2022,1938
Wyoming,Nov 23 2022,1931
Wyoming,Nov 16 2022,1924
Wyoming,Nov  9 2022,1917
Wyoming,Nov  2 2022,1914
Wyoming,Oct 26 2022,1908
Wyoming,Oct 19 2022,1906
Wyoming,Oct 12 2022,1904
Wyoming,Oct  5 2022,1899
Wyoming,Sep 28 2022,1894
Wyoming,Sep 21 2022,1891
Wyoming,Sep 14 2022,1888
Wyoming,Sep  7 2022,1884
Wyoming,Aug 31 2022,1881
Wyoming,Aug 24 2022,1877
Wyoming,Aug 17 2022,1871
Wyoming,Aug 10 2022,1865
Wyoming,Aug  3 2022,1856
Wyoming,Jul 27 2022,1856
Wyoming,Jul 20 2022,1849
Wyoming,Jul 13 2022,1845
Wyoming,Jul  6 2022,1834
Wyoming,Jun 29 2022,1834
Wyoming,Jun 22 2022,1829
Wyoming,Jun 15 2022,1824
Wyoming,Jun  8 2022,1824
Wyoming,Jun  1 2022,1820
Wyoming,May 25 2022,1820
Wyoming,May 18 2022,1820
Wyoming,May 11 2022,1817
Wyoming,May  4 2022,1814
Wyoming,Apr 27 2022,1812
Wyoming,Apr 20 2022,1807
Wyoming,Apr 13 2022,1801
Wyoming,Apr  6 2022,1796
Wyoming,Mar 30 2022,1791
Wyoming,Mar 23 2022,1783
Wyoming,Mar 16 2022,1769
Wyoming,Mar  9 2022,1749
Wyoming,Mar  2 2022,1741
Wyoming,Feb 23 2022,1718
Wyoming,Feb 16 2022,1689
Wyoming,Feb  9 2022,1667
Wyoming,Feb  2 2022,1650
Wyoming,Jan 26 2022,1625
Wyoming,Jan 19 2022,1601
Wyoming,Jan 12 2022,1588
Wyoming,Jan  5 2022,1572
Wyoming,Dec 29 2021,1526
Wyoming,Dec 22 2021,1526
Wyoming,Dec 15 2021,1502
Wyoming,Dec  8 2021,1472
Wyoming,Dec  1 2021,1427
Wyoming,Nov 24 2021,1347
Wyoming,Nov 17 2021,1347
Wyoming,Nov 10 2021,1298
Wyoming,Nov  3 2021,1243
Wyoming,Oct 27 2021,1174
Wyoming,Oct 20 2021,1136
Wyoming,Oct 13 2021,1080
Wyoming,Oct  6 2021,1041
Wyoming,Sep 29 2021,996
Wyoming,Sep 22 2021,955
Wyoming,Sep 15 2021,918
Wyoming,Sep  8 2021,879
Wyoming,Sep  1 2021,858
Wyoming,Aug 25 2021,835
Wyoming,Aug 18 2021,809
Wyoming,Aug 11 2021,793
Wyoming,Aug  4 2021,786
Wyoming,Jul 28 2021,776
Wyoming,Jul 21 2021,766
Wyoming,Jul 14 2021,760
Wyoming,Jul  7 2021,751
Wyoming,Jun 30 2021,747
Wyoming,Jun 23 2021,740
Wyoming,Jun 16 2021,734
Wyoming,Jun  9 2021,725
Wyoming,Jun  2 2021,720
Wyoming,May 26 2021,719
Wyoming,May 19 2021,713
Wyoming,May 12 2021,712
Wyoming,May  5 2021,710
Wyoming,Apr 28 2021,707
Wyoming,Apr 21 2021,705
Wyoming,Apr 14 2021,703
Wyoming,Apr  7 2021,701
Wyoming,Mar 31 2021,700
Wyoming,Mar 24 2021,695
Wyoming,Mar 17 2021,693
Wyoming,Mar 10 2021,691
Wyoming,Mar  3 2021,682
Wyoming,Feb 24 2021,670
Wyoming,Feb 17 2021,662
Wyoming,Feb 10 2021,647
Wyoming,Feb  3 2021,624
Wyoming,Jan 27 2021,596
Wyoming,Jan 20 2021,550
Wyoming,Jan 13 2021,522
Wyoming,Jan  6 2021,465
Wyoming,Dec 30 2020,405
Wyoming,Dec 23 2020,373
Wyoming,Dec 16 2020,328
Wyoming,Dec  9 2020,299
Wyoming,Dec  2 2020,239
Wyoming,Nov 25 2020,215
Wyoming,Nov 18 2020,155
Wyoming,Nov 11 2020,127
Wyoming,Nov  4 2020,104
Wyoming,Oct 28 2020,77
Wyoming,Oct 21 2020,62
Wyoming,Oct 14 2020,57
Wyoming,Oct  7 2020,53
Wyoming,Sep 30 2020,50
Wyoming,Sep 23 2020,50
Wyoming,Sep 16 2020,49
Wyoming,Sep  9 2020,42
Wyoming,Sep  2 2020,41
Wyoming,Aug 26 2020,37
Wyoming,Aug 19 2020,34
Wyoming,Aug 12 2020,29
Wyoming,Aug  5 2020,27
Wyoming,Jul 29 2020,26
Wyoming,Jul 22 2020,25
Wyoming,Jul 15 2020,22
Wyoming,Jul  8 2020,21
Wyoming,Jul  1 2020,20
Wyoming,Jun 24 2020,20
Wyoming,Jun 17 2020,18
Wyoming,Jun 10 2020,18
Wyoming,Jun  3 2020,17
Wyoming,May 27 2020,14
Wyoming,May 20 2020,11
Wyoming,May 13 2020,7
Wyoming,May  6 2020,7
Wyoming,Apr 29 2020,7
Wyoming,Apr 22 2020,6
Wyoming,Apr 15 2020,1
Wyoming,Apr  8 2020,0
Wyoming,Apr  1 2020,0
Wyoming,Mar 25 2020,0
Wyoming,Mar 18 2020,0
Wyoming,Mar 11 2020,0
Wyoming,Mar  4 2020,0
Wyoming,Feb 26 2020,0
Wyoming,Feb 19 2020,0
Wyoming,Feb 12 2020,0
Wyoming,Feb  5 2020,0
Wyoming,Jan 29 2020,0
