Data Table for Weekly Case Trends - Arizona
Date generated: Mon Dec 05 2022 12:35:55 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Arizona,Nov 30 2022,12987,0
Arizona,Nov 23 2022,13410,0
Arizona,Nov 16 2022,10775,0
Arizona,Nov  9 2022,7360,0
Arizona,Nov  2 2022,5129,0
Arizona,Oct 26 2022,4813,0
Arizona,Oct 19 2022,5438,0
Arizona,Oct 12 2022,2400,0
Arizona,Oct  5 2022,3675,0
Arizona,Sep 28 2022,3402,0
Arizona,Sep 21 2022,3999,0
Arizona,Sep 14 2022,6141,0
Arizona,Sep  7 2022,3681,0
Arizona,Aug 31 2022,8624,0
Arizona,Aug 24 2022,8505,0
Arizona,Aug 17 2022,12244,0
Arizona,Aug 10 2022,13501,0
Arizona,Aug  3 2022,15034,0
Arizona,Jul 27 2022,17249,0
Arizona,Jul 20 2022,18135,0
Arizona,Jul 13 2022,15280,0
Arizona,Jul  6 2022,20198,0
Arizona,Jun 29 2022,16514,0
Arizona,Jun 22 2022,15373,0
Arizona,Jun 15 2022,16334,0
Arizona,Jun  8 2022,14677,0
Arizona,Jun  1 2022,13042,0
Arizona,May 25 2022,11498,0
Arizona,May 18 2022,7204,0
Arizona,May 11 2022,5490,0
Arizona,May  4 2022,3911,0
Arizona,Apr 27 2022,2358,0
Arizona,Apr 20 2022,2437,0
Arizona,Apr 13 2022,2721,0
Arizona,Apr  6 2022,6828,0
Arizona,Mar 30 2022,10143,0
Arizona,Mar 23 2022,4566,0
Arizona,Mar 16 2022,5153,0
Arizona,Mar  9 2022,10428,0
Arizona,Mar  2 2022,5212,0
Arizona,Feb 23 2022,14593,0
Arizona,Feb 16 2022,25443,0
Arizona,Feb  9 2022,45101,0
Arizona,Feb  2 2022,87038,0
Arizona,Jan 26 2022,133312,0
Arizona,Jan 19 2022,141828,0
Arizona,Jan 12 2022,104801,0
Arizona,Jan  5 2022,51482,0
Arizona,Dec 29 2021,23897,0
Arizona,Dec 22 2021,20186,0
Arizona,Dec 15 2021,22399,0
Arizona,Dec  8 2021,28655,0
Arizona,Dec  1 2021,20695,0
Arizona,Nov 24 2021,28356,0
Arizona,Nov 17 2021,24615,0
Arizona,Nov 10 2021,23757,0
Arizona,Nov  3 2021,18789,0
Arizona,Oct 27 2021,17104,0
Arizona,Oct 20 2021,14918,0
Arizona,Oct 13 2021,15879,0
Arizona,Oct  6 2021,17991,0
Arizona,Sep 29 2021,17976,0
Arizona,Sep 22 2021,16944,0
Arizona,Sep 15 2021,18906,0
Arizona,Sep  8 2021,20350,0
Arizona,Sep  1 2021,25354,0
Arizona,Aug 25 2021,18384,0
Arizona,Aug 18 2021,20128,0
Arizona,Aug 11 2021,17150,0
Arizona,Aug  4 2021,14202,0
Arizona,Jul 28 2021,9983,0
Arizona,Jul 21 2021,7611,0
Arizona,Jul 14 2021,5568,0
Arizona,Jul  7 2021,3411,0
Arizona,Jun 30 2021,3847,0
Arizona,Jun 23 2021,3052,0
Arizona,Jun 16 2021,2971,0
Arizona,Jun  9 2021,2822,0
Arizona,Jun  2 2021,3868,0
Arizona,May 26 2021,3750,0
Arizona,May 19 2021,3951,0
Arizona,May 12 2021,4603,0
Arizona,May  5 2021,5236,0
Arizona,Apr 28 2021,4968,0
Arizona,Apr 21 2021,4539,0
Arizona,Apr 14 2021,5034,0
Arizona,Apr  7 2021,4424,0
Arizona,Mar 31 2021,3979,0
Arizona,Mar 24 2021,3969,0
Arizona,Mar 17 2021,5391,0
Arizona,Mar 10 2021,8652,0
Arizona,Mar  3 2021,7848,0
Arizona,Feb 24 2021,10913,0
Arizona,Feb 17 2021,11793,0
Arizona,Feb 10 2021,21883,0
Arizona,Feb  3 2021,28818,0
Arizona,Jan 27 2021,48017,0
Arizona,Jan 20 2021,48815,0
Arizona,Jan 13 2021,67049,0
Arizona,Jan  6 2021,62191,0
Arizona,Dec 30 2020,39216,0
Arizona,Dec 23 2020,43988,0
Arizona,Dec 16 2020,46684,0
Arizona,Dec  9 2020,41622,0
Arizona,Dec  2 2020,30129,0
Arizona,Nov 25 2020,27748,0
Arizona,Nov 18 2020,17939,0
Arizona,Nov 11 2020,14530,0
Arizona,Nov  4 2020,9468,0
Arizona,Oct 28 2020,7253,0
Arizona,Oct 21 2020,6275,0
Arizona,Oct 14 2020,5096,0
Arizona,Oct  7 2020,4033,0
Arizona,Sep 30 2020,3220,0
Arizona,Sep 23 2020,5381,0
Arizona,Sep 16 2020,3366,0
Arizona,Sep  9 2020,3680,0
Arizona,Sep  2 2020,3392,0
Arizona,Aug 26 2020,3909,0
Arizona,Aug 19 2020,6117,0
Arizona,Aug 12 2020,7233,0
Arizona,Aug  5 2020,13935,0
Arizona,Jul 29 2020,17657,0
Arizona,Jul 22 2020,19264,0
Arizona,Jul 15 2020,22740,0
Arizona,Jul  8 2020,24499,0
Arizona,Jul  1 2020,23925,0
Arizona,Jun 24 2020,19253,0
Arizona,Jun 17 2020,11085,0
Arizona,Jun 10 2020,7498,0
Arizona,Jun  3 2020,5035,0
Arizona,May 27 2020,2413,0
Arizona,May 20 2020,2690,0
Arizona,May 13 2020,2509,0
Arizona,May  6 2020,2498,0
Arizona,Apr 29 2020,1736,0
Arizona,Apr 22 2020,1504,0
Arizona,Apr 15 2020,1243,0
Arizona,Apr  8 2020,1313,0
Arizona,Apr  1 2020,1012,0
Arizona,Mar 25 2020,374,0
Arizona,Mar 18 2020,18,0
Arizona,Mar 11 2020,8,0
Arizona,Mar  4 2020,0,0
Arizona,Feb 26 2020,0,0
Arizona,Feb 19 2020,0,0
Arizona,Feb 12 2020,0,0
Arizona,Feb  5 2020,0,0
Arizona,Jan 29 2020,1,0
