Data Table for Weekly Case Trends - Arkansas
Date generated: Mon Dec 05 2022 12:36:30 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Arkansas,Nov 30 2022,2526,0
Arkansas,Nov 23 2022,1744,0
Arkansas,Nov 16 2022,1841,0
Arkansas,Nov  9 2022,2130,0
Arkansas,Nov  2 2022,1956,0
Arkansas,Oct 26 2022,1819,0
Arkansas,Oct 19 2022,2033,0
Arkansas,Oct 12 2022,1931,0
Arkansas,Oct  5 2022,1952,0
Arkansas,Sep 28 2022,2973,0
Arkansas,Sep 21 2022,4022,0
Arkansas,Sep 14 2022,5547,0
Arkansas,Sep  7 2022,5759,0
Arkansas,Aug 31 2022,6758,0
Arkansas,Aug 24 2022,6247,0
Arkansas,Aug 17 2022,6280,0
Arkansas,Aug 10 2022,6402,0
Arkansas,Aug  3 2022,7401,0
Arkansas,Jul 27 2022,8608,0
Arkansas,Jul 20 2022,9519,0
Arkansas,Jul 13 2022,9957,0
Arkansas,Jul  6 2022,7312,0
Arkansas,Jun 29 2022,7036,0
Arkansas,Jun 22 2022,4890,0
Arkansas,Jun 15 2022,4418,0
Arkansas,Jun  8 2022,3983,0
Arkansas,Jun  1 2022,2152,0
Arkansas,May 25 2022,2241,0
Arkansas,May 18 2022,1716,0
Arkansas,May 11 2022,1381,0
Arkansas,May  4 2022,934,0
Arkansas,Apr 27 2022,850,0
Arkansas,Apr 20 2022,615,0
Arkansas,Apr 13 2022,562,0
Arkansas,Apr  6 2022,566,0
Arkansas,Mar 30 2022,866,0
Arkansas,Mar 23 2022,1497,0
Arkansas,Mar 16 2022,862,0
Arkansas,Mar  9 2022,1229,0
Arkansas,Mar  2 2022,1779,0
Arkansas,Feb 23 2022,3468,0
Arkansas,Feb 16 2022,6347,0
Arkansas,Feb  9 2022,9484,0
Arkansas,Feb  2 2022,24523,0
Arkansas,Jan 26 2022,43263,0
Arkansas,Jan 19 2022,66431,0
Arkansas,Jan 12 2022,66139,0
Arkansas,Jan  5 2022,39334,0
Arkansas,Dec 29 2021,18193,0
Arkansas,Dec 22 2021,7151,0
Arkansas,Dec 15 2021,5042,0
Arkansas,Dec  8 2021,5455,0
Arkansas,Dec  1 2021,4696,0
Arkansas,Nov 24 2021,4109,0
Arkansas,Nov 17 2021,4119,0
Arkansas,Nov 10 2021,3515,0
Arkansas,Nov  3 2021,2910,0
Arkansas,Oct 27 2021,3084,0
Arkansas,Oct 20 2021,3384,0
Arkansas,Oct 13 2021,4188,0
Arkansas,Oct  6 2021,4907,0
Arkansas,Sep 29 2021,5893,0
Arkansas,Sep 22 2021,7873,0
Arkansas,Sep 15 2021,10329,0
Arkansas,Sep  8 2021,11892,0
Arkansas,Sep  1 2021,14653,0
Arkansas,Aug 25 2021,14825,0
Arkansas,Aug 18 2021,15562,0
Arkansas,Aug 11 2021,15925,0
Arkansas,Aug  4 2021,14933,0
Arkansas,Jul 28 2021,12773,0
Arkansas,Jul 21 2021,9616,0
Arkansas,Jul 14 2021,7321,0
Arkansas,Jul  7 2021,4790,0
Arkansas,Jun 30 2021,3257,0
