Data Table for Weekly Case Trends - California
Date generated: Mon Dec 05 2022 12:37:06 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
California,Nov 30 2022,39963,0
California,Nov 23 2022,41299,0
California,Nov 16 2022,34315,0
California,Nov  9 2022,25748,0
California,Nov  2 2022,22476,0
California,Oct 26 2022,24127,0
California,Oct 19 2022,20056,0
California,Oct 12 2022,24900,0
California,Oct  5 2022,30884,0
California,Sep 28 2022,33292,0
California,Sep 21 2022,35507,0
California,Sep 14 2022,47273,0
California,Sep  7 2022,61687,0
California,Aug 31 2022,69010,0
California,Aug 24 2022,76450,0
California,Aug 17 2022,85684,0
California,Aug 10 2022,95699,0
California,Aug  3 2022,116848,0
California,Jul 27 2022,136848,0
California,Jul 20 2022,149725,0
California,Jul 13 2022,132940,0
California,Jul  6 2022,136472,0
California,Jun 29 2022,129920,0
California,Jun 22 2022,107026,0
California,Jun 15 2022,121961,0
California,Jun  8 2022,114609,0
California,Jun  1 2022,109178,0
California,May 25 2022,108013,0
California,May 18 2022,77897,0
California,May 11 2022,60410,0
California,May  4 2022,48470,0
California,Apr 27 2022,43476,0
California,Apr 20 2022,40145,0
California,Apr 13 2022,9765,0
California,Apr  6 2022,20318,0
California,Mar 30 2022,18983,0
California,Mar 23 2022,31218,0
California,Mar 16 2022,19736,0
California,Mar  9 2022,46754,0
California,Mar  2 2022,54026,0
California,Feb 23 2022,74290,0
California,Feb 16 2022,113165,0
California,Feb  9 2022,209866,0
California,Feb  2 2022,396396,0
California,Jan 26 2022,708364,0
California,Jan 19 2022,788494,0
California,Jan 12 2022,790954,0
California,Jan  5 2022,420444,0
California,Dec 29 2021,185504,0
California,Dec 22 2021,65862,0
California,Dec 15 2021,43870,0
California,Dec  8 2021,49647,0
California,Dec  1 2021,32117,0
California,Nov 24 2021,35113,0
California,Nov 17 2021,36600,0
California,Nov 10 2021,43531,0
California,Nov  3 2021,43068,0
California,Oct 27 2021,44167,0
California,Oct 20 2021,37626,0
California,Oct 13 2021,39795,0
California,Oct  6 2021,45783,0
California,Sep 29 2021,52063,0
California,Sep 22 2021,58633,0
California,Sep 15 2021,70831,0
California,Sep  8 2021,75232,0
California,Sep  1 2021,106976,0
California,Aug 25 2021,94848,0
California,Aug 18 2021,94842,0
California,Aug 11 2021,85690,0
California,Aug  4 2021,72029,0
California,Jul 28 2021,53665,0
California,Jul 21 2021,36201,0
California,Jul 14 2021,21654,0
California,Jul  7 2021,11566,0
California,Jun 30 2021,8885,0
California,Jun 23 2021,6574,0
California,Jun 16 2021,6091,0
California,Jun  9 2021,6655,0
California,Jun  2 2021,10462,0
California,May 26 2021,8675,0
California,May 19 2021,9853,0
California,May 12 2021,12391,0
California,May  5 2021,13050,0
California,Apr 28 2021,13730,0
California,Apr 21 2021,16765,0
California,Apr 14 2021,22245,0
California,Apr  7 2021,19249,0
California,Mar 31 2021,18777,0
California,Mar 24 2021,19942,0
California,Mar 17 2021,20425,0
California,Mar 10 2021,30321,0
California,Mar  3 2021,31409,0
California,Feb 24 2021,41568,0
California,Feb 17 2021,55859,0
California,Feb 10 2021,85768,0
California,Feb  3 2021,116793,0
California,Jan 27 2021,158085,0
California,Jan 20 2021,247717,0
California,Jan 13 2021,311715,0
California,Jan  6 2021,280936,0
California,Dec 30 2020,270648,0
California,Dec 23 2020,305346,0
California,Dec 16 2020,263456,0
California,Dec  9 2020,184852,0
California,Dec  2 2020,108911,0
California,Nov 25 2020,101588,0
California,Nov 18 2020,66610,0
California,Nov 11 2020,46951,0
California,Nov  4 2020,33103,0
California,Oct 28 2020,32061,0
California,Oct 21 2020,23575,0
California,Oct 14 2020,24635,0
California,Oct  7 2020,21364,0
California,Sep 30 2020,23721,0
California,Sep 23 2020,25106,0
California,Sep 16 2020,23947,0
California,Sep  9 2020,28054,0
California,Sep  2 2020,33604,0
California,Aug 26 2020,41022,0
California,Aug 19 2020,53386,0
California,Aug 12 2020,61840,0
California,Aug  5 2020,49959,0
California,Jul 29 2020,62193,0
California,Jul 22 2020,66518,0
California,Jul 15 2020,58522,0
California,Jul  8 2020,57083,0
California,Jul  1 2020,42569,0
California,Jun 24 2020,33293,0
California,Jun 17 2020,20884,0
California,Jun 10 2020,18533,0
California,Jun  3 2020,18736,0
California,May 27 2020,14969,0
California,May 20 2020,13039,0
California,May 13 2020,12265,0
California,May  6 2020,12343,0
California,Apr 29 2020,11112,0
California,Apr 22 2020,10980,0
California,Apr 15 2020,7368,0
California,Apr  8 2020,8972,0
California,Apr  1 2020,5169,0
California,Mar 25 2020,2312,0
California,Mar 18 2020,468,0
California,Mar 11 2020,140,0
California,Mar  4 2020,28,0
California,Feb 26 2020,22,0
California,Feb 19 2020,14,0
California,Feb 12 2020,8,0
California,Feb  5 2020,6,0
California,Jan 29 2020,2,0
