Data Table for Weekly Case Trends - Colorado
Date generated: Mon Dec 05 2022 12:37:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Colorado,Nov 30 2022,7320,0
Colorado,Nov 23 2022,8160,0
Colorado,Nov 16 2022,8599,0
Colorado,Nov  9 2022,7268,0
Colorado,Nov  2 2022,5339,0
Colorado,Oct 26 2022,5261,0
Colorado,Oct 19 2022,4451,0
Colorado,Oct 12 2022,4061,0
Colorado,Oct  5 2022,4382,0
Colorado,Sep 28 2022,4952,0
Colorado,Sep 21 2022,4591,0
Colorado,Sep 14 2022,6180,0
Colorado,Sep  7 2022,4777,0
Colorado,Aug 31 2022,7961,0
Colorado,Aug 24 2022,6059,0
Colorado,Aug 17 2022,7768,0
Colorado,Aug 10 2022,8155,0
Colorado,Aug  3 2022,9910,0
Colorado,Jul 27 2022,11113,0
Colorado,Jul 20 2022,17252,0
Colorado,Jul 13 2022,12330,0
Colorado,Jul  6 2022,19174,0
Colorado,Jun 29 2022,15379,0
Colorado,Jun 22 2022,23446,0
Colorado,Jun 15 2022,15663,0
Colorado,Jun  8 2022,28424,0
Colorado,Jun  1 2022,13488,0
Colorado,May 25 2022,21782,0
Colorado,May 18 2022,3,0
Colorado,May 11 2022,3,0
Colorado,May  4 2022,16,0
Colorado,Apr 27 2022,622,0
Colorado,Apr 20 2022,523,0
Colorado,Apr 13 2022,586,0
Colorado,Apr  6 2022,799,0
Colorado,Mar 30 2022,1202,0
Colorado,Mar 23 2022,1217,0
Colorado,Mar 16 2022,1349,0
Colorado,Mar  9 2022,1810,0
Colorado,Mar  2 2022,2488,0
Colorado,Feb 23 2022,3928,0
Colorado,Feb 16 2022,7503,0
Colorado,Feb  9 2022,15469,0
Colorado,Feb  2 2022,29268,0
Colorado,Jan 26 2022,58531,0
Colorado,Jan 19 2022,88671,0
Colorado,Jan 12 2022,115718,0
Colorado,Jan  5 2022,108270,0
Colorado,Dec 29 2021,68900,0
Colorado,Dec 22 2021,27519,0
Colorado,Dec 15 2021,11500,0
Colorado,Dec  8 2021,14130,0
Colorado,Dec  1 2021,17416,0
Colorado,Nov 24 2021,19006,0
Colorado,Nov 17 2021,23548,0
Colorado,Nov 10 2021,24956,0
Colorado,Nov  3 2021,21540,0
Colorado,Oct 27 2021,19704,0
Colorado,Oct 20 2021,16309,0
Colorado,Oct 13 2021,14710,0
Colorado,Oct  6 2021,15274,0
Colorado,Sep 29 2021,13577,0
Colorado,Sep 22 2021,12689,0
Colorado,Sep 15 2021,13586,0
Colorado,Sep  8 2021,13099,0
Colorado,Sep  1 2021,12835,0
Colorado,Aug 25 2021,12243,0
Colorado,Aug 18 2021,10319,0
Colorado,Aug 11 2021,8031,0
Colorado,Aug  4 2021,7140,0
Colorado,Jul 28 2021,5485,0
Colorado,Jul 21 2021,4290,0
Colorado,Jul 14 2021,3286,0
Colorado,Jul  7 2021,2663,0
Colorado,Jun 30 2021,2348,0
Colorado,Jun 23 2021,2139,0
Colorado,Jun 16 2021,2094,0
Colorado,Jun  9 2021,2536,0
Colorado,Jun  2 2021,3147,0
Colorado,May 26 2021,4338,0
Colorado,May 19 2021,5704,0
Colorado,May 12 2021,7591,0
Colorado,May  5 2021,9737,0
Colorado,Apr 28 2021,11531,0
Colorado,Apr 21 2021,11665,0
Colorado,Apr 14 2021,11060,0
Colorado,Apr  7 2021,11224,0
Colorado,Mar 31 2021,9112,0
Colorado,Mar 24 2021,7694,0
Colorado,Mar 17 2021,6630,0
Colorado,Mar 10 2021,7104,0
Colorado,Mar  3 2021,6868,0
Colorado,Feb 24 2021,7084,0
Colorado,Feb 17 2021,7556,0
Colorado,Feb 10 2021,7950,0
Colorado,Feb  3 2021,8775,0
Colorado,Jan 27 2021,9517,0
Colorado,Jan 20 2021,10938,0
Colorado,Jan 13 2021,13376,0
Colorado,Jan  6 2021,16818,0
Colorado,Dec 30 2020,14729,0
Colorado,Dec 23 2020,15348,0
Colorado,Dec 16 2020,19334,0
Colorado,Dec  9 2020,27914,0
Colorado,Dec  2 2020,31228,0
Colorado,Nov 25 2020,34638,0
Colorado,Nov 18 2020,38461,0
Colorado,Nov 11 2020,35509,0
Colorado,Nov  4 2020,25109,0
Colorado,Oct 28 2020,14762,0
Colorado,Oct 21 2020,10644,0
Colorado,Oct 14 2020,8131,0
