Data Table for Weekly Case Trends - Connecticut
Date generated: Mon Dec 05 2022 12:37:35 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Connecticut,Nov 30 2022,2805,0
Connecticut,Nov 23 2022,2860,0
Connecticut,Nov 16 2022,2920,0
Connecticut,Nov  9 2022,3214,0
Connecticut,Nov  2 2022,3631,0
Connecticut,Oct 26 2022,3509,0
Connecticut,Oct 19 2022,3979,0
Connecticut,Oct 12 2022,4285,0
Connecticut,Oct  5 2022,4660,0
Connecticut,Sep 28 2022,4876,0
Connecticut,Sep 21 2022,4763,0
Connecticut,Sep 14 2022,3990,0
Connecticut,Sep  7 2022,3933,0
Connecticut,Aug 31 2022,4040,0
Connecticut,Aug 24 2022,4268,0
Connecticut,Aug 17 2022,5140,0
Connecticut,Aug 10 2022,5367,0
Connecticut,Aug  3 2022,5410,0
Connecticut,Jul 27 2022,5834,0
Connecticut,Jul 20 2022,5287,0
Connecticut,Jul 13 2022,5084,0
Connecticut,Jul  6 2022,5020,0
Connecticut,Jun 29 2022,3912,0
Connecticut,Jun 22 2022,4954,0
Connecticut,Jun 15 2022,6794,0
Connecticut,Jun  8 2022,6111,0
Connecticut,Jun  1 2022,8340,0
Connecticut,May 25 2022,11240,0
Connecticut,May 18 2022,12200,0
Connecticut,May 11 2022,13917,0
Connecticut,May  4 2022,7178,0
Connecticut,Apr 27 2022,6188,0
Connecticut,Apr 20 2022,5731,0
Connecticut,Apr 13 2022,4598,0
Connecticut,Apr  6 2022,3421,0
Connecticut,Mar 30 2022,2705,0
Connecticut,Mar 23 2022,2200,0
Connecticut,Mar 16 2022,2065,0
Connecticut,Mar  9 2022,5251,0
Connecticut,Mar  2 2022,2316,0
Connecticut,Feb 23 2022,3976,0
Connecticut,Feb 16 2022,6851,0
Connecticut,Feb  9 2022,8243,0
Connecticut,Feb  2 2022,12076,0
Connecticut,Jan 26 2022,27925,0
Connecticut,Jan 19 2022,43240,0
Connecticut,Jan 12 2022,64373,0
Connecticut,Jan  5 2022,52328,0
Connecticut,Dec 29 2021,31343,0
Connecticut,Dec 22 2021,19103,0
Connecticut,Dec 15 2021,18574,0
Connecticut,Dec  8 2021,10679,0
Connecticut,Dec  1 2021,6212,0
Connecticut,Nov 24 2021,5262,0
Connecticut,Nov 17 2021,4559,0
Connecticut,Nov 10 2021,2534,0
Connecticut,Nov  3 2021,2502,0
Connecticut,Oct 27 2021,2353,0
Connecticut,Oct 20 2021,3642,0
Connecticut,Oct 13 2021,2770,0
Connecticut,Oct  6 2021,2771,0
Connecticut,Sep 29 2021,3508,0
Connecticut,Sep 22 2021,4940,0
Connecticut,Sep 15 2021,4050,0
Connecticut,Sep  8 2021,3898,0
Connecticut,Sep  1 2021,4652,0
Connecticut,Aug 25 2021,4241,0
Connecticut,Aug 18 2021,4339,0
Connecticut,Aug 11 2021,3851,0
Connecticut,Aug  4 2021,3196,0
Connecticut,Jul 28 2021,1975,0
Connecticut,Jul 21 2021,1143,0
Connecticut,Jul 14 2021,643,0
Connecticut,Jul  7 2021,391,0
Connecticut,Jun 30 2021,513,0
Connecticut,Jun 23 2021,279,0
Connecticut,Jun 16 2021,299,0
Connecticut,Jun  9 2021,584,0
Connecticut,Jun  2 2021,698,0
Connecticut,May 26 2021,1032,0
Connecticut,May 19 2021,1807,0
Connecticut,May 12 2021,2570,0
Connecticut,May  5 2021,3610,0
Connecticut,Apr 28 2021,4966,0
Connecticut,Apr 21 2021,5697,0
Connecticut,Apr 14 2021,8531,0
Connecticut,Apr  7 2021,8143,0
Connecticut,Mar 31 2021,8602,0
Connecticut,Mar 24 2021,7694,0
Connecticut,Mar 17 2021,5671,0
Connecticut,Mar 10 2021,5035,0
Connecticut,Mar  3 2021,5438,0
