Data Table for Weekly Case Trends - District of Columbia
Date generated: Mon Dec 05 2022 12:38:17 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
District of Columbia,Nov 30 2022,291,0
District of Columbia,Nov 23 2022,567,0
District of Columbia,Nov 16 2022,268,0
District of Columbia,Nov  9 2022,441,0
District of Columbia,Nov  2 2022,332,0
District of Columbia,Oct 26 2022,273,0
District of Columbia,Oct 19 2022,676,0
District of Columbia,Oct 12 2022,118,0
District of Columbia,Oct  5 2022,283,0
District of Columbia,Sep 28 2022,502,0
District of Columbia,Sep 21 2022,615,0
District of Columbia,Sep 14 2022,518,0
District of Columbia,Sep  7 2022,558,0
District of Columbia,Aug 31 2022,593,0
District of Columbia,Aug 24 2022,849,0
District of Columbia,Aug 17 2022,702,0
District of Columbia,Aug 10 2022,830,0
District of Columbia,Aug  3 2022,1094,0
District of Columbia,Jul 27 2022,1375,0
District of Columbia,Jul 20 2022,1434,0
District of Columbia,Jul 13 2022,1986,0
District of Columbia,Jul  6 2022,746,0
District of Columbia,Jun 29 2022,1531,0
District of Columbia,Jun 22 2022,1590,0
District of Columbia,Jun 15 2022,1458,0
District of Columbia,Jun  8 2022,1675,0
District of Columbia,Jun  1 2022,2033,0
District of Columbia,May 25 2022,2107,0
District of Columbia,May 18 2022,3158,0
District of Columbia,May 11 2022,1062,0
District of Columbia,May  4 2022,0,0
District of Columbia,Apr 27 2022,1269,0
District of Columbia,Apr 20 2022,1514,0
District of Columbia,Apr 13 2022,1557,0
District of Columbia,Apr  6 2022,1005,0
District of Columbia,Mar 30 2022,536,0
District of Columbia,Mar 23 2022,487,0
District of Columbia,Mar 16 2022,489,0
District of Columbia,Mar  9 2022,408,0
District of Columbia,Mar  2 2022,564,0
District of Columbia,Feb 23 2022,655,0
District of Columbia,Feb 16 2022,831,0
District of Columbia,Feb  9 2022,1535,0
District of Columbia,Feb  2 2022,1614,0
District of Columbia,Jan 26 2022,3292,0
District of Columbia,Jan 19 2022,7385,0
District of Columbia,Jan 12 2022,11983,0
District of Columbia,Jan  5 2022,14774,0
District of Columbia,Dec 29 2021,14384,0
District of Columbia,Dec 22 2021,7794,0
District of Columbia,Dec 15 2021,1605,0
District of Columbia,Dec  8 2021,1215,0
District of Columbia,Dec  1 2021,537,0
District of Columbia,Nov 24 2021,717,0
District of Columbia,Nov 17 2021,634,0
District of Columbia,Nov 10 2021,557,0
District of Columbia,Nov  3 2021,612,0
District of Columbia,Oct 27 2021,590,0
District of Columbia,Oct 20 2021,650,0
District of Columbia,Oct 13 2021,772,0
District of Columbia,Oct  6 2021,982,0
District of Columbia,Sep 29 2021,1147,0
District of Columbia,Sep 22 2021,1409,0
District of Columbia,Sep 15 2021,1746,0
District of Columbia,Sep  8 2021,1124,0
District of Columbia,Sep  1 2021,1414,0
District of Columbia,Aug 25 2021,1132,0
District of Columbia,Aug 18 2021,1171,0
District of Columbia,Aug 11 2021,995,0
District of Columbia,Aug  4 2021,590,0
District of Columbia,Jul 28 2021,410,0
District of Columbia,Jul 21 2021,284,0
District of Columbia,Jul 14 2021,151,0
District of Columbia,Jul  7 2021,68,0
District of Columbia,Jun 30 2021,71,0
District of Columbia,Jun 23 2021,61,0
District of Columbia,Jun 16 2021,96,0
District of Columbia,Jun  9 2021,116,0
District of Columbia,Jun  2 2021,189,0
District of Columbia,May 26 2021,188,0
District of Columbia,May 19 2021,298,0
District of Columbia,May 12 2021,295,0
District of Columbia,May  5 2021,508,0
District of Columbia,Apr 28 2021,592,0
District of Columbia,Apr 21 2021,732,0
District of Columbia,Apr 14 2021,881,0
District of Columbia,Apr  7 2021,815,0
District of Columbia,Mar 31 2021,918,0
District of Columbia,Mar 24 2021,784,0
District of Columbia,Mar 17 2021,805,0
District of Columbia,Mar 10 2021,1188,0
District of Columbia,Mar  3 2021,875,0
District of Columbia,Feb 24 2021,763,0
District of Columbia,Feb 17 2021,832,0
District of Columbia,Feb 10 2021,1149,0
District of Columbia,Feb  3 2021,1334,0
District of Columbia,Jan 27 2021,1462,0
District of Columbia,Jan 20 2021,1803,0
District of Columbia,Jan 13 2021,2118,0
District of Columbia,Jan  6 2021,1724,0
District of Columbia,Dec 30 2020,1532,0
District of Columbia,Dec 23 2020,1624,0
District of Columbia,Dec 16 2020,1748,0
District of Columbia,Dec  9 2020,2012,0
District of Columbia,Dec  2 2020,1326,0
District of Columbia,Nov 25 2020,1051,0
District of Columbia,Nov 18 2020,1086,0
District of Columbia,Nov 11 2020,778,0
District of Columbia,Nov  4 2020,628,0
District of Columbia,Oct 28 2020,475,0
District of Columbia,Oct 21 2020,366,0
District of Columbia,Oct 14 2020,435,0
District of Columbia,Oct  7 2020,371,0
District of Columbia,Sep 30 2020,276,0
District of Columbia,Sep 23 2020,307,0
District of Columbia,Sep 16 2020,356,0
District of Columbia,Sep  9 2020,310,0
District of Columbia,Sep  2 2020,355,0
District of Columbia,Aug 26 2020,368,0
District of Columbia,Aug 19 2020,395,0
District of Columbia,Aug 12 2020,516,0
District of Columbia,Aug  5 2020,444,0
District of Columbia,Jul 29 2020,470,0
District of Columbia,Jul 22 2020,503,0
District of Columbia,Jul 15 2020,384,0
District of Columbia,Jul  8 2020,277,0
District of Columbia,Jul  1 2020,237,0
District of Columbia,Jun 24 2020,281,0
District of Columbia,Jun 17 2020,310,0
District of Columbia,Jun 10 2020,521,0
District of Columbia,Jun  3 2020,610,0
District of Columbia,May 27 2020,855,0
District of Columbia,May 20 2020,967,0
District of Columbia,May 13 2020,1123,0
District of Columbia,May  6 2020,1355,0
District of Columbia,Apr 29 2020,900,0
District of Columbia,Apr 22 2020,1009,0
District of Columbia,Apr 15 2020,757,0
District of Columbia,Apr  8 2020,854,0
District of Columbia,Apr  1 2020,355,0
District of Columbia,Mar 25 2020,192,0
District of Columbia,Mar 18 2020,37,0
District of Columbia,Mar 11 2020,2,0
District of Columbia,Mar  4 2020,0,0
District of Columbia,Feb 26 2020,0,0
District of Columbia,Feb 19 2020,0,0
District of Columbia,Feb 12 2020,0,0
District of Columbia,Feb  5 2020,0,0
District of Columbia,Jan 29 2020,0,0
