Data Table for Weekly Case Trends - Florida
Date generated: Mon Dec 05 2022 12:39:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Florida,Nov 30 2022,12843,0
Florida,Nov 23 2022,11657,0
Florida,Nov 16 2022,11828,0
Florida,Nov  9 2022,12325,0
Florida,Nov  2 2022,10832,0
Florida,Oct 26 2022,10150,0
Florida,Oct 19 2022,9904,0
Florida,Oct 12 2022,10451,0
Florida,Oct  5 2022,11845,0
Florida,Sep 28 2022,17472,0
Florida,Sep 21 2022,22947,0
Florida,Sep 14 2022,28802,0
Florida,Sep  7 2022,38871,0
Florida,Aug 31 2022,43726,0
Florida,Aug 24 2022,45419,0
Florida,Aug 17 2022,45160,0
Florida,Aug 10 2022,74759,0
Florida,Aug  3 2022,73385,0
Florida,Jul 27 2022,76066,0
Florida,Jul 20 2022,78211,0
Florida,Jul 13 2022,67858,0
Florida,Jul  6 2022,74485,0
Florida,Jun 29 2022,73829,0
Florida,Jun 22 2022,74377,0
Florida,Jun 15 2022,74381,0
Florida,Jun  8 2022,71789,0
Florida,Jun  1 2022,66868,0
Florida,May 25 2022,60248,0
Florida,May 18 2022,39382,0
Florida,May 11 2022,32948,0
Florida,May  4 2022,26482,0
Florida,Apr 27 2022,20782,0
Florida,Apr 20 2022,15589,0
Florida,Apr 13 2022,11303,0
Florida,Apr  6 2022,10046,0
Florida,Mar 30 2022,8748,0
Florida,Mar 23 2022,8048,0
Florida,Mar 16 2022,10281,0
Florida,Mar  9 2022,14525,0
Florida,Mar  2 2022,25434,0
Florida,Feb 23 2022,42186,0
Florida,Feb 16 2022,121925,0
Florida,Feb  9 2022,131650,0
Florida,Feb  2 2022,197768,0
Florida,Jan 26 2022,288638,0
Florida,Jan 19 2022,429311,0
Florida,Jan 12 2022,396562,0
Florida,Jan  5 2022,302179,0
Florida,Dec 29 2021,124865,0
Florida,Dec 22 2021,28841,0
Florida,Dec 15 2021,12984,0
Florida,Dec  8 2021,7736,0
Florida,Dec  1 2021,11823,0
Florida,Nov 24 2021,9887,0
Florida,Nov 17 2021,10302,0
Florida,Nov 10 2021,10503,0
Florida,Nov  3 2021,12147,0
Florida,Oct 27 2021,14563,0
Florida,Oct 20 2021,18807,0
Florida,Oct 13 2021,25184,0
Florida,Oct  6 2021,37299,0
Florida,Sep 29 2021,54109,0
Florida,Sep 22 2021,75998,0
Florida,Sep 15 2021,100249,0
Florida,Sep  8 2021,129202,0
Florida,Sep  1 2021,151760,0
Florida,Aug 25 2021,93056,0
Florida,Aug 18 2021,171620,0
Florida,Aug 11 2021,172579,0
Florida,Aug  4 2021,110724,0
Florida,Jul 28 2021,73166,0
Florida,Jul 21 2021,45449,0
Florida,Jul 14 2021,23747,0
Florida,Jul  7 2021,15684,0
Florida,Jun 30 2021,11050,0
Florida,Jun 23 2021,10095,0
Florida,Jun 16 2021,11455,0
Florida,Jun  9 2021,4874,0
Florida,Jun  2 2021,11849,0
Florida,May 26 2021,16545,0
Florida,May 19 2021,21047,0
Florida,May 12 2021,24620,0
Florida,May  5 2021,31383,0
Florida,Apr 28 2021,38191,0
Florida,Apr 21 2021,42668,0
Florida,Apr 14 2021,44940,0
Florida,Apr  7 2021,39132,0
Florida,Mar 31 2021,36049,0
Florida,Mar 24 2021,32521,0
Florida,Mar 17 2021,31459,0
Florida,Mar 10 2021,33472,0
Florida,Mar  3 2021,38453,0
Florida,Feb 24 2021,41021,0
Florida,Feb 17 2021,46358,0
Florida,Feb 10 2021,53664,0
Florida,Feb  3 2021,68447,0
Florida,Jan 27 2021,75160,0
Florida,Jan 20 2021,83539,0
Florida,Jan 13 2021,107566,0
Florida,Jan  6 2021,103783,0
Florida,Dec 30 2020,71724,0
Florida,Dec 23 2020,79064,0
Florida,Dec 16 2020,71973,0
Florida,Dec  9 2020,65202,0
Florida,Dec  2 2020,56484,0
Florida,Nov 25 2020,56427,0
Florida,Nov 18 2020,47237,0
Florida,Nov 11 2020,36889,0
Florida,Nov  4 2020,30696,0
Florida,Oct 28 2020,27892,0
Florida,Oct 21 2020,20903,0
Florida,Oct 14 2020,18924,0
Florida,Oct  7 2020,16189,0
Florida,Sep 30 2020,16020,0
Florida,Sep 23 2020,19298,0
Florida,Sep 16 2020,18974,0
Florida,Sep  9 2020,18756,0
Florida,Sep  2 2020,24749,0
Florida,Aug 26 2020,24672,0
Florida,Aug 19 2020,33149,0
Florida,Aug 12 2020,48167,0
Florida,Aug  5 2020,51336,0
Florida,Jul 29 2020,71779,0
Florida,Jul 22 2020,77809,0
Florida,Jul 15 2020,78027,0
Florida,Jul  8 2020,64785,0
Florida,Jul  1 2020,49982,0
Florida,Jun 24 2020,26297,0
Florida,Jun 17 2020,15347,0
Florida,Jun 10 2020,8608,0
Florida,Jun  3 2020,6130,0
Florida,May 27 2020,5161,0
Florida,May 20 2020,5068,0
Florida,May 13 2020,4393,0
Florida,May  6 2020,4816,0
Florida,Apr 29 2020,4885,0
Florida,Apr 22 2020,5800,0
Florida,Apr 15 2020,7056,0
Florida,Apr  8 2020,8499,0
Florida,Apr  1 2020,5274,0
Florida,Mar 25 2020,1367,0
Florida,Mar 18 2020,291,0
Florida,Mar 11 2020,22,0
Florida,Mar  4 2020,2,0
Florida,Feb 26 2020,0,0
Florida,Feb 19 2020,0,0
Florida,Feb 12 2020,0,0
Florida,Feb  5 2020,0,0
Florida,Jan 29 2020,0,0
