Data Table for Weekly Case Trends - Hawaii
Date generated: Mon Dec 05 2022 12:39:35 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Hawaii,Nov 30 2022,962,0
Hawaii,Nov 23 2022,1109,0
Hawaii,Nov 16 2022,992,0
Hawaii,Nov  9 2022,998,0
Hawaii,Nov  2 2022,1010,0
Hawaii,Oct 26 2022,1203,0
Hawaii,Oct 19 2022,1143,0
Hawaii,Oct 12 2022,978,0
Hawaii,Oct  5 2022,1157,0
Hawaii,Sep 28 2022,1043,0
Hawaii,Sep 21 2022,1179,0
Hawaii,Sep 14 2022,1325,0
Hawaii,Sep  7 2022,1255,0
Hawaii,Aug 31 2022,1731,0
Hawaii,Aug 24 2022,2262,0
Hawaii,Aug 17 2022,2784,0
Hawaii,Aug 10 2022,3258,0
Hawaii,Aug  3 2022,3654,0
Hawaii,Jul 27 2022,4109,0
Hawaii,Jul 20 2022,4247,0
Hawaii,Jul 13 2022,4303,0
Hawaii,Jul  6 2022,4283,0
Hawaii,Jun 29 2022,5136,0
Hawaii,Jun 22 2022,5808,0
Hawaii,Jun 15 2022,6842,0
Hawaii,Jun  8 2022,8207,0
Hawaii,Jun  1 2022,8645,0
Hawaii,May 25 2022,8813,0
Hawaii,May 18 2022,7405,0
Hawaii,May 11 2022,6133,0
Hawaii,May  4 2022,4344,0
Hawaii,Apr 27 2022,3056,0
Hawaii,Apr 20 2022,2178,0
Hawaii,Apr 13 2022,1447,0
Hawaii,Apr  6 2022,1144,0
Hawaii,Mar 30 2022,956,0
Hawaii,Mar 23 2022,815,0
Hawaii,Mar 16 2022,713,0
Hawaii,Mar  9 2022,948,0
Hawaii,Mar  2 2022,1284,0
Hawaii,Feb 23 2022,1927,0
Hawaii,Feb 16 2022,3388,0
Hawaii,Feb  9 2022,6725,0
Hawaii,Feb  2 2022,12690,0
Hawaii,Jan 26 2022,22197,0
Hawaii,Jan 19 2022,29495,0
Hawaii,Jan 12 2022,32226,0
Hawaii,Jan  5 2022,20135,0
Hawaii,Dec 29 2021,12308,0
Hawaii,Dec 22 2021,5797,0
Hawaii,Dec 15 2021,1565,0
Hawaii,Dec  8 2021,728,0
Hawaii,Dec  1 2021,600,0
Hawaii,Nov 24 2021,673,0
Hawaii,Nov 17 2021,689,0
Hawaii,Nov 10 2021,785,0
Hawaii,Nov  3 2021,758,0
Hawaii,Oct 27 2021,980,0
Hawaii,Oct 20 2021,911,0
Hawaii,Oct 13 2021,1148,0
Hawaii,Oct  6 2021,1741,0
Hawaii,Sep 29 2021,2432,0
Hawaii,Sep 22 2021,3349,0
Hawaii,Sep 15 2021,4165,0
Hawaii,Sep  8 2021,4903,0
Hawaii,Sep  1 2021,5897,0
Hawaii,Aug 25 2021,5544,0
Hawaii,Aug 18 2021,4815,0
Hawaii,Aug 11 2021,4032,0
Hawaii,Aug  4 2021,2820,0
Hawaii,Jul 28 2021,1587,0
Hawaii,Jul 21 2021,995,0
Hawaii,Jul 14 2021,590,0
Hawaii,Jul  7 2021,378,0
Hawaii,Jun 30 2021,326,0
Hawaii,Jun 23 2021,309,0
Hawaii,Jun 16 2021,393,0
Hawaii,Jun  9 2021,372,0
Hawaii,Jun  2 2021,375,0
Hawaii,May 26 2021,375,0
Hawaii,May 19 2021,601,0
Hawaii,May 12 2021,622,0
Hawaii,May  5 2021,739,0
Hawaii,Apr 28 2021,604,0
Hawaii,Apr 21 2021,637,0
Hawaii,Apr 14 2021,662,0
Hawaii,Apr  7 2021,703,0
Hawaii,Mar 31 2021,827,0
Hawaii,Mar 24 2021,646,0
Hawaii,Mar 17 2021,455,0
Hawaii,Mar 10 2021,406,0
Hawaii,Mar  3 2021,317,0
Hawaii,Feb 24 2021,346,0
Hawaii,Feb 17 2021,327,0
Hawaii,Feb 10 2021,483,0
Hawaii,Feb  3 2021,613,0
Hawaii,Jan 27 2021,817,0
Hawaii,Jan 20 2021,889,0
Hawaii,Jan 13 2021,1362,0
Hawaii,Jan  6 2021,1131,0
Hawaii,Dec 30 2020,687,0
Hawaii,Dec 23 2020,897,0
Hawaii,Dec 16 2020,856,0
Hawaii,Dec  9 2020,733,0
Hawaii,Dec  2 2020,555,0
Hawaii,Nov 25 2020,776,0
Hawaii,Nov 18 2020,631,0
Hawaii,Nov 11 2020,747,0
Hawaii,Nov  4 2020,590,0
Hawaii,Oct 28 2020,618,0
Hawaii,Oct 21 2020,602,0
Hawaii,Oct 14 2020,615,0
Hawaii,Oct  7 2020,665,0
Hawaii,Sep 30 2020,777,0
Hawaii,Sep 23 2020,642,0
Hawaii,Sep 16 2020,855,0
Hawaii,Sep  9 2020,1266,0
Hawaii,Sep  2 2020,1796,0
Hawaii,Aug 26 2020,1691,0
Hawaii,Aug 19 2020,1638,0
Hawaii,Aug 12 2020,1229,0
Hawaii,Aug  5 2020,847,0
Hawaii,Jul 29 2020,354,0
Hawaii,Jul 22 2020,160,0
Hawaii,Jul 15 2020,197,0
Hawaii,Jul  8 2020,151,0
Hawaii,Jul  1 2020,101,0
Hawaii,Jun 24 2020,88,0
Hawaii,Jun 17 2020,63,0
Hawaii,Jun 10 2020,25,0
Hawaii,Jun  3 2020,12,0
Hawaii,May 27 2020,9,0
Hawaii,May 20 2020,15,0
Hawaii,May 13 2020,16,0
Hawaii,May  6 2020,24,0
Hawaii,Apr 29 2020,32,0
Hawaii,Apr 22 2020,63,0
Hawaii,Apr 15 2020,82,0
Hawaii,Apr  8 2020,149,0
Hawaii,Apr  1 2020,152,0
Hawaii,Mar 25 2020,86,0
Hawaii,Mar 18 2020,15,0
Hawaii,Mar 11 2020,4,0
Hawaii,Mar  4 2020,0,0
Hawaii,Feb 26 2020,0,0
Hawaii,Feb 19 2020,0,0
Hawaii,Feb 12 2020,0,0
Hawaii,Feb  5 2020,0,0
Hawaii,Jan 29 2020,0,0
