Data Table for Weekly Case Trends - Illinois
Date generated: Mon Dec 05 2022 12:40:08 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Illinois,Nov 30 2022,16575,0
Illinois,Nov 23 2022,14914,0
Illinois,Nov 16 2022,13214,0
Illinois,Nov  9 2022,14408,0
Illinois,Nov  2 2022,13666,0
Illinois,Oct 26 2022,14490,0
Illinois,Oct 19 2022,10191,0
Illinois,Oct 12 2022,10703,0
Illinois,Oct  5 2022,10985,0
Illinois,Sep 28 2022,14506,0
Illinois,Sep 21 2022,15489,0
Illinois,Sep 14 2022,19383,0
Illinois,Sep  7 2022,21368,0
Illinois,Aug 31 2022,26207,0
Illinois,Aug 24 2022,25280,0
Illinois,Aug 17 2022,24647,0
Illinois,Aug 10 2022,27406,0
Illinois,Aug  3 2022,33419,0
Illinois,Jul 27 2022,34220,0
Illinois,Jul 20 2022,30281,0
Illinois,Jul 13 2022,34340,0
Illinois,Jul  6 2022,25770,0
Illinois,Jun 29 2022,27851,0
Illinois,Jun 22 2022,26866,0
Illinois,Jun 15 2022,28720,0
Illinois,Jun  8 2022,35779,0
Illinois,Jun  1 2022,32406,0
Illinois,May 25 2022,37068,0
Illinois,May 18 2022,42043,0
Illinois,May 11 2022,37793,0
Illinois,May  4 2022,29317,0
Illinois,Apr 27 2022,21527,0
Illinois,Apr 20 2022,17927,0
Illinois,Apr 13 2022,12108,0
Illinois,Apr  6 2022,9991,0
Illinois,Mar 30 2022,8454,0
Illinois,Mar 23 2022,7560,0
Illinois,Mar 16 2022,8124,0
Illinois,Mar  9 2022,7814,0
Illinois,Mar  2 2022,12054,0
Illinois,Feb 23 2022,14656,0
Illinois,Feb 16 2022,25845,0
Illinois,Feb  9 2022,42977,0
Illinois,Feb  2 2022,71800,0
Illinois,Jan 26 2022,157825,0
Illinois,Jan 19 2022,186521,0
Illinois,Jan 12 2022,227508,0
Illinois,Jan  5 2022,176283,0
Illinois,Dec 29 2021,116802,0
Illinois,Dec 22 2021,80926,0
Illinois,Dec 15 2021,53522,0
Illinois,Dec  8 2021,51918,0
Illinois,Dec  1 2021,31094,0
Illinois,Nov 24 2021,32398,0
Illinois,Nov 17 2021,24868,0
Illinois,Nov 10 2021,21852,0
Illinois,Nov  3 2021,15509,0
Illinois,Oct 27 2021,14479,0
Illinois,Oct 20 2021,14910,0
Illinois,Oct 13 2021,16891,0
Illinois,Oct  6 2021,19829,0
Illinois,Sep 29 2021,18844,0
Illinois,Sep 22 2021,22928,0
Illinois,Sep 15 2021,28056,0
Illinois,Sep  8 2021,26216,0
Illinois,Sep  1 2021,29098,0
Illinois,Aug 25 2021,24737,0
Illinois,Aug 18 2021,23191,0
Illinois,Aug 11 2021,20829,0
Illinois,Aug  4 2021,14692,0
Illinois,Jul 28 2021,11104,0
Illinois,Jul 21 2021,6056,0
Illinois,Jul 14 2021,4173,0
Illinois,Jul  7 2021,2497,0
Illinois,Jun 30 2021,1861,0
Illinois,Jun 23 2021,1571,0
Illinois,Jun 16 2021,2059,0
Illinois,Jun  9 2021,3196,0
Illinois,Jun  2 2021,4664,0
Illinois,May 26 2021,8054,0
Illinois,May 19 2021,10591,0
Illinois,May 12 2021,13351,0
Illinois,May  5 2021,17941,0
Illinois,Apr 28 2021,18903,0
Illinois,Apr 21 2021,20617,0
Illinois,Apr 14 2021,23476,0
Illinois,Apr  7 2021,20872,0
Illinois,Mar 31 2021,16883,0
Illinois,Mar 24 2021,13938,0
Illinois,Mar 17 2021,11057,0
Illinois,Mar 10 2021,11191,0
Illinois,Mar  3 2021,12175,0
Illinois,Feb 24 2021,12630,0
Illinois,Feb 17 2021,13718,0
Illinois,Feb 10 2021,18764,0
Illinois,Feb  3 2021,22045,0
Illinois,Jan 27 2021,30826,0
Illinois,Jan 20 2021,35330,0
Illinois,Jan 13 2021,46742,0
Illinois,Jan  6 2021,43907,0
Illinois,Dec 30 2020,37315,0
Illinois,Dec 23 2020,47465,0
Illinois,Dec 16 2020,58170,0
Illinois,Dec  9 2020,63828,0
Illinois,Dec  2 2020,63136,0
Illinois,Nov 25 2020,78696,0
Illinois,Nov 18 2020,82931,0
Illinois,Nov 11 2020,80037,0
Illinois,Nov  4 2020,50003,0
Illinois,Oct 28 2020,35000,0
Illinois,Oct 21 2020,28163,0
Illinois,Oct 14 2020,20300,0
Illinois,Oct  7 2020,14614,0
Illinois,Sep 30 2020,14420,0
Illinois,Sep 23 2020,13065,0
Illinois,Sep 16 2020,12624,0
Illinois,Sep  9 2020,15270,0
Illinois,Sep  2 2020,13297,0
Illinois,Aug 26 2020,13824,0
Illinois,Aug 19 2020,13305,0
Illinois,Aug 12 2020,12164,0
Illinois,Aug  5 2020,11390,0
Illinois,Jul 29 2020,9883,0
Illinois,Jul 22 2020,8668,0
Illinois,Jul 15 2020,7265,0
Illinois,Jul  8 2020,6538,0
Illinois,Jul  1 2020,5470,0
Illinois,Jun 24 2020,4356,0
Illinois,Jun 17 2020,4351,0
Illinois,Jun 10 2020,6010,0
Illinois,Jun  3 2020,9511,0
Illinois,May 27 2020,13894,0
Illinois,May 20 2020,15729,0
Illinois,May 13 2020,16458,0
Illinois,May  6 2020,17875,0
Illinois,Apr 29 2020,15243,0
Illinois,Apr 22 2020,10518,0
Illinois,Apr 15 2020,9510,0
Illinois,Apr  8 2020,8103,0
Illinois,Apr  1 2020,5118,0
