Data Table for Weekly Case Trends - Iowa
Date generated: Mon Dec 05 2022 12:40:39 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Iowa,Nov 30 2022,2700,0
Iowa,Nov 23 2022,2302,0
Iowa,Nov 16 2022,1980,0
Iowa,Nov  9 2022,1863,0
Iowa,Nov  2 2022,1827,0
Iowa,Oct 26 2022,1915,0
Iowa,Oct 19 2022,1508,0
Iowa,Oct 12 2022,1718,0
Iowa,Oct  5 2022,1853,0
Iowa,Sep 28 2022,2091,0
Iowa,Sep 21 2022,2908,0
Iowa,Sep 14 2022,4109,0
Iowa,Sep  7 2022,4176,0
Iowa,Aug 31 2022,4908,0
Iowa,Aug 24 2022,4802,0
Iowa,Aug 17 2022,4921,0
Iowa,Aug 10 2022,5660,0
Iowa,Aug  3 2022,5768,0
Iowa,Jul 27 2022,5924,0
Iowa,Jul 20 2022,5301,0
Iowa,Jul 13 2022,5187,0
Iowa,Jul  6 2022,3980,0
Iowa,Jun 29 2022,3988,0
Iowa,Jun 22 2022,3943,0
Iowa,Jun 15 2022,3996,0
Iowa,Jun  8 2022,4276,0
Iowa,Jun  1 2022,3857,0
Iowa,May 25 2022,3955,0
Iowa,May 18 2022,3843,0
Iowa,May 11 2022,3161,0
Iowa,May  4 2022,2124,0
Iowa,Apr 27 2022,1728,0
Iowa,Apr 20 2022,1098,0
Iowa,Apr 13 2022,891,0
Iowa,Apr  6 2022,921,0
Iowa,Mar 30 2022,470,0
Iowa,Mar 23 2022,716,0
Iowa,Mar 16 2022,1005,0
Iowa,Mar  9 2022,1738,0
Iowa,Mar  2 2022,6838,0
Iowa,Feb 23 2022,4363,0
Iowa,Feb 16 2022,7863,0
Iowa,Feb  9 2022,12833,0
Iowa,Feb  2 2022,22730,0
Iowa,Jan 26 2022,34949,0
Iowa,Jan 19 2022,38574,0
Iowa,Jan 12 2022,34308,0
Iowa,Jan  5 2022,18996,0
Iowa,Dec 29 2021,10569,0
Iowa,Dec 22 2021,9565,0
Iowa,Dec 15 2021,11865,0
Iowa,Dec  8 2021,12812,0
Iowa,Dec  1 2021,9362,0
Iowa,Nov 24 2021,10346,0
Iowa,Nov 17 2021,9234,0
Iowa,Nov 10 2021,8227,0
Iowa,Nov  3 2021,7643,0
Iowa,Oct 27 2021,6983,0
Iowa,Oct 20 2021,6907,0
Iowa,Oct 13 2021,8167,0
Iowa,Oct  6 2021,9860,0
Iowa,Sep 29 2021,10812,0
Iowa,Sep 22 2021,12163,0
Iowa,Sep 15 2021,11365,0
Iowa,Sep  8 2021,8762,0
Iowa,Sep  1 2021,8308,0
Iowa,Aug 25 2021,7112,0
Iowa,Aug 18 2021,5697,0
Iowa,Aug 11 2021,4872,0
Iowa,Aug  4 2021,3570,0
Iowa,Jul 28 2021,2158,0
Iowa,Jul 21 2021,1395,0
Iowa,Jul 14 2021,895,0
Iowa,Jul  7 2021,651,0
Iowa,Jun 30 2021,514,0
Iowa,Jun 23 2021,457,0
Iowa,Jun 16 2021,574,0
Iowa,Jun  9 2021,573,0
Iowa,Jun  2 2021,587,0
Iowa,May 26 2021,973,0
Iowa,May 19 2021,1344,0
Iowa,May 12 2021,1993,0
Iowa,May  5 2021,2420,0
Iowa,Apr 28 2021,2579,0
Iowa,Apr 21 2021,3329,0
Iowa,Apr 14 2021,3187,0
Iowa,Apr  7 2021,3798,0
Iowa,Mar 31 2021,3811,0
Iowa,Mar 24 2021,3323,0
Iowa,Mar 17 2021,2889,0
Iowa,Mar 10 2021,3219,0
Iowa,Mar  3 2021,3497,0
Iowa,Feb 24 2021,3758,0
Iowa,Feb 17 2021,3846,0
Iowa,Feb 10 2021,4753,0
Iowa,Feb  3 2021,6194,0
Iowa,Jan 27 2021,7326,0
Iowa,Jan 20 2021,7627,0
Iowa,Jan 13 2021,10384,0
Iowa,Jan  6 2021,10713,0
Iowa,Dec 30 2020,7952,0
Iowa,Dec 23 2020,11338,0
Iowa,Dec 16 2020,10494,0
Iowa,Dec  9 2020,14121,0
Iowa,Dec  2 2020,14873,0
Iowa,Nov 25 2020,23768,0
Iowa,Nov 18 2020,29065,0
Iowa,Nov 11 2020,31239,0
Iowa,Nov  4 2020,16579,0
Iowa,Oct 28 2020,10384,0
Iowa,Oct 21 2020,7348,0
Iowa,Oct 14 2020,7810,0
Iowa,Oct  7 2020,5844,0
Iowa,Sep 30 2020,6378,0
Iowa,Sep 23 2020,6219,0
Iowa,Sep 16 2020,5052,0
Iowa,Sep  9 2020,5134,0
Iowa,Sep  2 2020,7658,0
Iowa,Aug 26 2020,5249,0
Iowa,Aug 19 2020,3782,0
Iowa,Aug 12 2020,3024,0
Iowa,Aug  5 2020,3127,0
Iowa,Jul 29 2020,3416,0
Iowa,Jul 22 2020,3670,0
Iowa,Jul 15 2020,3914,0
Iowa,Jul  8 2020,3112,0
Iowa,Jul  1 2020,2912,0
Iowa,Jun 24 2020,2139,0
Iowa,Jun 17 2020,1839,0
Iowa,Jun 10 2020,2319,0
Iowa,Jun  3 2020,1937,0
Iowa,May 27 2020,2745,0
Iowa,May 20 2020,2341,0
Iowa,May 13 2020,2878,0
Iowa,May  6 2020,3562,0
Iowa,Apr 29 2020,3097,0
Iowa,Apr 22 2020,1750,0
Iowa,Apr 15 2020,850,0
Iowa,Apr  8 2020,599,0
Iowa,Apr  1 2020,400,0
Iowa,Mar 25 2020,108,0
Iowa,Mar 18 2020,25,0
Iowa,Mar 11 2020,13,0
Iowa,Mar  4 2020,0,0
Iowa,Feb 26 2020,0,0
Iowa,Feb 19 2020,0,0
Iowa,Feb 12 2020,0,0
Iowa,Feb  5 2020,0,0
Iowa,Jan 29 2020,0,0
