Data Table for Weekly Case Trends - Kentucky
Date generated: Mon Dec 05 2022 12:41:15 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Kentucky,Nov 30 2022,4583,0
Kentucky,Nov 23 2022,3540,0
Kentucky,Nov 16 2022,3525,0
Kentucky,Nov  9 2022,5011,0
Kentucky,Nov  2 2022,5281,0
Kentucky,Oct 26 2022,4729,0
Kentucky,Oct 19 2022,4031,0
Kentucky,Oct 12 2022,4083,0
Kentucky,Oct  5 2022,4313,0
Kentucky,Sep 28 2022,5040,0
Kentucky,Sep 21 2022,6808,0
Kentucky,Sep 14 2022,9556,0
Kentucky,Sep  7 2022,13072,0
Kentucky,Aug 31 2022,18661,0
Kentucky,Aug 24 2022,19911,0
Kentucky,Aug 17 2022,16389,0
Kentucky,Aug 10 2022,15495,0
Kentucky,Aug  3 2022,16436,0
Kentucky,Jul 27 2022,17481,0
Kentucky,Jul 20 2022,17484,0
Kentucky,Jul 13 2022,15597,0
Kentucky,Jul  6 2022,12645,0
Kentucky,Jun 29 2022,12134,0
Kentucky,Jun 22 2022,9778,0
Kentucky,Jun 15 2022,9098,0
Kentucky,Jun  8 2022,10074,0
Kentucky,Jun  1 2022,7752,0
Kentucky,May 25 2022,8708,0
Kentucky,May 18 2022,7355,0
Kentucky,May 11 2022,5702,0
Kentucky,May  4 2022,3945,0
Kentucky,Apr 27 2022,472,0
Kentucky,Apr 20 2022,2080,0
Kentucky,Apr 13 2022,1616,0
Kentucky,Apr  6 2022,1351,0
Kentucky,Mar 30 2022,1416,0
Kentucky,Mar 23 2022,1851,0
Kentucky,Mar 16 2022,3290,0
Kentucky,Mar  9 2022,4425,0
Kentucky,Mar  2 2022,7178,0
Kentucky,Feb 23 2022,13436,0
Kentucky,Feb 16 2022,14087,0
Kentucky,Feb  9 2022,42070,0
Kentucky,Feb  2 2022,61072,0
Kentucky,Jan 26 2022,87343,0
Kentucky,Jan 19 2022,94927,0
Kentucky,Jan 12 2022,72022,0
Kentucky,Jan  5 2022,55953,0
Kentucky,Dec 29 2021,27656,0
Kentucky,Dec 22 2021,16777,0
Kentucky,Dec 15 2021,15375,0
Kentucky,Dec  8 2021,16345,0
Kentucky,Dec  1 2021,12729,0
Kentucky,Nov 24 2021,11619,0
Kentucky,Nov 17 2021,9650,0
Kentucky,Nov 10 2021,8518,0
Kentucky,Nov  3 2021,7139,0
Kentucky,Oct 27 2021,7686,0
Kentucky,Oct 20 2021,8911,0
Kentucky,Oct 13 2021,12329,0
Kentucky,Oct  6 2021,16244,0
Kentucky,Sep 29 2021,19195,0
Kentucky,Sep 22 2021,25826,0
Kentucky,Sep 15 2021,31240,0
Kentucky,Sep  8 2021,30529,0
Kentucky,Sep  1 2021,33192,0
Kentucky,Aug 25 2021,29569,0
Kentucky,Aug 18 2021,23725,0
Kentucky,Aug 11 2021,17539,0
Kentucky,Aug  4 2021,12258,0
Kentucky,Jul 28 2021,7885,0
Kentucky,Jul 21 2021,4672,0
Kentucky,Jul 14 2021,2826,0
Kentucky,Jul  7 2021,1418,0
Kentucky,Jun 30 2021,1165,0
Kentucky,Jun 23 2021,1081,0
Kentucky,Jun 16 2021,1254,0
Kentucky,Jun  9 2021,1486,0
Kentucky,Jun  2 2021,1458,0
Kentucky,May 26 2021,2094,0
Kentucky,May 19 2021,2613,0
Kentucky,May 12 2021,3058,0
Kentucky,May  5 2021,3694,0
Kentucky,Apr 28 2021,3585,0
Kentucky,Apr 21 2021,3680,0
Kentucky,Apr 14 2021,4185,0
Kentucky,Apr  7 2021,3362,0
Kentucky,Mar 31 2021,3670,0
Kentucky,Mar 24 2021,3899,0
Kentucky,Mar 17 2021,4052,0
Kentucky,Mar 10 2021,4758,0
Kentucky,Mar  3 2021,5757,0
Kentucky,Feb 24 2021,8078,0
Kentucky,Feb 17 2021,7679,0
Kentucky,Feb 10 2021,12832,0
Kentucky,Feb  3 2021,15664,0
Kentucky,Jan 27 2021,18395,0
Kentucky,Jan 20 2021,21298,0
Kentucky,Jan 13 2021,25778,0
Kentucky,Jan  6 2021,32221,0
Kentucky,Dec 30 2020,14773,0
Kentucky,Dec 23 2020,19402,0
Kentucky,Dec 16 2020,21519,0
Kentucky,Dec  9 2020,22370,0
Kentucky,Dec  2 2020,20625,0
Kentucky,Nov 25 2020,21387,0
Kentucky,Nov 18 2020,17408,0
Kentucky,Nov 11 2020,14342,0
Kentucky,Nov  4 2020,11507,0
Kentucky,Oct 28 2020,10498,0
Kentucky,Oct 21 2020,7985,0
Kentucky,Oct 14 2020,6425,0
Kentucky,Oct  7 2020,7747,0
Kentucky,Sep 30 2020,5328,0
Kentucky,Sep 23 2020,4767,0
Kentucky,Sep 16 2020,4767,0
Kentucky,Sep  9 2020,3989,0
Kentucky,Sep  2 2020,4753,0
Kentucky,Aug 26 2020,4310,0
Kentucky,Aug 19 2020,3981,0
Kentucky,Aug 12 2020,4218,0
Kentucky,Aug  5 2020,4005,0
Kentucky,Jul 29 2020,4181,0
Kentucky,Jul 22 2020,3863,0
Kentucky,Jul 15 2020,2759,0
Kentucky,Jul  8 2020,2077,0
Kentucky,Jul  1 2020,1480,0
Kentucky,Jun 24 2020,1372,0
Kentucky,Jun 17 2020,1113,0
Kentucky,Jun 10 2020,1469,0
Kentucky,Jun  3 2020,1336,0
Kentucky,May 27 2020,901,0
Kentucky,May 20 2020,1321,0
Kentucky,May 13 2020,918,0
Kentucky,May  6 2020,1411,0
Kentucky,Apr 29 2020,1149,0
Kentucky,Apr 22 2020,1153,0
Kentucky,Apr 15 2020,1071,0
Kentucky,Apr  8 2020,528,0
Kentucky,Apr  1 2020,427,0
Kentucky,Mar 25 2020,166,0
Kentucky,Mar 18 2020,20,0
Kentucky,Mar 11 2020,8,0
Kentucky,Mar  4 2020,0,0
Kentucky,Feb 26 2020,0,0
Kentucky,Feb 19 2020,0,0
Kentucky,Feb 12 2020,0,0
Kentucky,Feb  5 2020,0,0
Kentucky,Jan 29 2020,0,0
