Data Table for Weekly Case Trends - Louisiana
Date generated: Mon Dec 05 2022 12:41:28 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Louisiana,Nov 30 2022,2651,0
Louisiana,Nov 23 2022,2868,0
Louisiana,Nov 16 2022,1873,0
Louisiana,Nov  9 2022,2321,0
Louisiana,Nov  2 2022,1946,0
Louisiana,Oct 26 2022,1567,0
Louisiana,Oct 19 2022,1160,0
Louisiana,Oct 12 2022,2048,0
Louisiana,Oct  5 2022,2208,0
Louisiana,Sep 28 2022,3146,0
Louisiana,Sep 21 2022,4566,0
Louisiana,Sep 14 2022,6481,0
Louisiana,Sep  7 2022,9246,0
Louisiana,Aug 31 2022,12814,0
Louisiana,Aug 24 2022,11150,0
Louisiana,Aug 17 2022,10511,0
Louisiana,Aug 10 2022,10917,0
Louisiana,Aug  3 2022,13485,0
Louisiana,Jul 27 2022,14738,0
Louisiana,Jul 20 2022,18151,0
Louisiana,Jul 13 2022,21131,0
Louisiana,Jul  6 2022,12615,0
Louisiana,Jun 29 2022,12894,0
Louisiana,Jun 22 2022,11650,0
Louisiana,Jun 15 2022,9943,0
Louisiana,Jun  8 2022,9226,0
Louisiana,Jun  1 2022,7191,0
Louisiana,May 25 2022,6717,0
Louisiana,May 18 2022,5114,0
Louisiana,May 11 2022,3340,0
Louisiana,May  4 2022,2148,0
Louisiana,Apr 27 2022,1638,0
Louisiana,Apr 20 2022,1537,0
Louisiana,Apr 13 2022,921,0
Louisiana,Apr  6 2022,968,0
Louisiana,Mar 30 2022,701,0
Louisiana,Mar 23 2022,947,0
Louisiana,Mar 16 2022,1272,0
Louisiana,Mar  9 2022,2231,0
Louisiana,Mar  2 2022,3078,0
Louisiana,Feb 23 2022,7638,0
Louisiana,Feb 16 2022,11701,0
Louisiana,Feb  9 2022,24872,0
Louisiana,Feb  2 2022,34568,0
Louisiana,Jan 26 2022,107955,0
Louisiana,Jan 19 2022,87308,0
Louisiana,Jan 12 2022,70392,0
Louisiana,Jan  5 2022,63321,0
Louisiana,Dec 29 2021,28690,0
Louisiana,Dec 22 2021,8996,0
Louisiana,Dec 15 2021,3629,0
Louisiana,Dec  8 2021,3076,0
Louisiana,Dec  1 2021,2786,0
Louisiana,Nov 24 2021,2660,0
Louisiana,Nov 17 2021,2763,0
Louisiana,Nov 10 2021,2937,0
Louisiana,Nov  3 2021,2952,0
Louisiana,Oct 27 2021,3712,0
Louisiana,Oct 20 2021,3554,0
Louisiana,Oct 13 2021,4902,0
Louisiana,Oct  6 2021,5910,0
Louisiana,Sep 29 2021,7656,0
Louisiana,Sep 22 2021,10210,0
Louisiana,Sep 15 2021,16297,0
Louisiana,Sep  8 2021,13322,0
Louisiana,Sep  1 2021,20939,0
Louisiana,Aug 25 2021,32794,0
Louisiana,Aug 18 2021,36502,0
Louisiana,Aug 11 2021,39621,0
Louisiana,Aug  4 2021,30368,0
Louisiana,Jul 28 2021,25070,0
Louisiana,Jul 21 2021,14041,0
Louisiana,Jul 14 2021,7036,0
Louisiana,Jul  7 2021,4333,0
Louisiana,Jun 30 2021,2529,0
Louisiana,Jun 23 2021,2139,0
Louisiana,Jun 16 2021,2130,0
Louisiana,Jun  9 2021,2421,0
Louisiana,Jun  2 2021,2411,0
Louisiana,May 26 2021,2786,0
Louisiana,May 19 2021,3051,0
Louisiana,May 12 2021,3203,0
Louisiana,May  5 2021,3451,0
Louisiana,Apr 28 2021,2955,0
Louisiana,Apr 21 2021,3702,0
Louisiana,Apr 14 2021,3049,0
Louisiana,Apr  7 2021,2771,0
Louisiana,Mar 31 2021,2643,0
Louisiana,Mar 24 2021,3248,0
Louisiana,Mar 17 2021,3478,0
Louisiana,Mar 10 2021,3711,0
Louisiana,Mar  3 2021,4864,0
Louisiana,Feb 24 2021,5907,0
Louisiana,Feb 17 2021,6300,0
