Data Table for Weekly Case Trends - Maryland
Date generated: Mon Dec 05 2022 12:42:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Maryland,Nov 30 2022,4132,0
Maryland,Nov 23 2022,4293,0
Maryland,Nov 16 2022,4675,0
Maryland,Nov  9 2022,4364,0
Maryland,Nov  2 2022,4869,0
Maryland,Oct 26 2022,4141,0
Maryland,Oct 19 2022,4476,0
Maryland,Oct 12 2022,4315,0
Maryland,Oct  5 2022,4722,0
Maryland,Sep 28 2022,5655,0
Maryland,Sep 21 2022,6367,0
Maryland,Sep 14 2022,6705,0
Maryland,Sep  7 2022,6483,0
Maryland,Aug 31 2022,7424,0
Maryland,Aug 24 2022,8673,0
Maryland,Aug 17 2022,9530,0
Maryland,Aug 10 2022,10767,0
Maryland,Aug  3 2022,11200,0
Maryland,Jul 27 2022,11382,0
Maryland,Jul 20 2022,10932,0
Maryland,Jul 13 2022,10837,0
Maryland,Jul  6 2022,9561,0
Maryland,Jun 29 2022,10013,0
Maryland,Jun 22 2022,8943,0
Maryland,Jun 15 2022,9765,0
Maryland,Jun  8 2022,10643,0
Maryland,Jun  1 2022,15319,0
Maryland,May 25 2022,15887,0
Maryland,May 18 2022,14974,0
Maryland,May 11 2022,10923,0
Maryland,May  4 2022,7585,0
Maryland,Apr 27 2022,5892,0
Maryland,Apr 20 2022,4935,0
Maryland,Apr 13 2022,3703,0
Maryland,Apr  6 2022,2725,0
Maryland,Mar 30 2022,2154,0
Maryland,Mar 23 2022,1972,0
Maryland,Mar 16 2022,2039,0
Maryland,Mar  9 2022,2294,0
Maryland,Mar  2 2022,3810,0
Maryland,Feb 23 2022,4650,0
Maryland,Feb 16 2022,5047,0
Maryland,Feb  9 2022,9106,0
Maryland,Feb  2 2022,15325,0
Maryland,Jan 26 2022,31561,0
Maryland,Jan 19 2022,54861,0
Maryland,Jan 12 2022,90295,0
Maryland,Jan  5 2022,96123,0
Maryland,Dec 29 2021,59245,0
Maryland,Dec 22 2021,24742,0
Maryland,Dec 15 2021,11223,0
Maryland,Dec  8 2021,9766,0
Maryland,Dec  1 2021,6789,0
Maryland,Nov 24 2021,6661,0
Maryland,Nov 17 2021,5906,0
Maryland,Nov 10 2021,5033,0
Maryland,Nov  3 2021,4973,0
