Data Table for Weekly Case Trends - Mississippi
Date generated: Mon Dec 05 2022 12:45:58 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Mississippi,Nov 30 2022,1834,0
Mississippi,Nov 23 2022,1375,0
Mississippi,Nov 16 2022,1044,0
Mississippi,Nov  9 2022,1369,0
Mississippi,Nov  2 2022,1336,0
Mississippi,Oct 26 2022,1358,0
Mississippi,Oct 19 2022,1269,0
Mississippi,Oct 12 2022,1359,0
Mississippi,Oct  5 2022,1614,0
Mississippi,Sep 28 2022,1869,0
Mississippi,Sep 21 2022,3103,0
Mississippi,Sep 14 2022,3619,0
Mississippi,Sep  7 2022,5825,0
Mississippi,Aug 31 2022,8144,0
Mississippi,Aug 24 2022,7190,0
Mississippi,Aug 17 2022,8502,0
Mississippi,Aug 10 2022,8455,0
Mississippi,Aug  3 2022,8493,0
Mississippi,Jul 27 2022,9737,0
Mississippi,Jul 20 2022,10105,0
Mississippi,Jul 13 2022,12426,0
Mississippi,Jul  6 2022,7785,0
Mississippi,Jun 29 2022,6772,0
Mississippi,Jun 22 2022,6890,0
Mississippi,Jun 15 2022,5200,0
Mississippi,Jun  8 2022,5012,0
Mississippi,Jun  1 2022,2538,0
Mississippi,May 25 2022,2489,0
Mississippi,May 18 2022,3070,0
Mississippi,May 11 2022,1958,0
Mississippi,May  4 2022,1034,0
Mississippi,Apr 27 2022,604,0
Mississippi,Apr 20 2022,506,0
Mississippi,Apr 13 2022,731,0
Mississippi,Apr  6 2022,981,0
Mississippi,Mar 30 2022,557,0
Mississippi,Mar 23 2022,670,0
Mississippi,Mar 16 2022,1071,0
Mississippi,Mar  9 2022,1514,0
Mississippi,Mar  2 2022,2676,0
Mississippi,Feb 23 2022,4189,0
Mississippi,Feb 16 2022,10906,0
Mississippi,Feb  9 2022,35237,0
Mississippi,Feb  2 2022,32009,0
Mississippi,Jan 26 2022,40054,0
Mississippi,Jan 19 2022,56776,0
Mississippi,Jan 12 2022,36074,0
Mississippi,Jan  5 2022,33842,0
Mississippi,Dec 29 2021,13350,0
Mississippi,Dec 22 2021,4668,0
Mississippi,Dec 15 2021,2909,0
Mississippi,Dec  8 2021,3287,0
Mississippi,Dec  1 2021,2006,0
Mississippi,Nov 24 2021,2685,0
Mississippi,Nov 17 2021,2171,0
Mississippi,Nov 10 2021,2112,0
Mississippi,Nov  3 2021,1998,0
Mississippi,Oct 27 2021,3380,0
Mississippi,Oct 20 2021,3435,0
Mississippi,Oct 13 2021,4292,0
Mississippi,Oct  6 2021,5266,0
