Data Table for Weekly Case Trends - Missouri
Date generated: Mon Dec 05 2022 12:46:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Missouri,Nov 30 2022,5878,0
Missouri,Nov 23 2022,5215,0
Missouri,Nov 16 2022,5289,0
Missouri,Nov  9 2022,4084,0
Missouri,Nov  2 2022,6792,0
Missouri,Oct 26 2022,5524,0
Missouri,Oct 19 2022,3660,0
Missouri,Oct 12 2022,4774,0
Missouri,Oct  5 2022,6131,0
Missouri,Sep 28 2022,7095,0
Missouri,Sep 21 2022,8747,0
Missouri,Sep 14 2022,9547,0
Missouri,Sep  7 2022,9916,0
Missouri,Aug 31 2022,8648,0
Missouri,Aug 24 2022,9757,0
Missouri,Aug 17 2022,10647,0
Missouri,Aug 10 2022,13813,0
Missouri,Aug  3 2022,13599,0
Missouri,Jul 27 2022,14480,0
Missouri,Jul 20 2022,14907,0
Missouri,Jul 13 2022,13818,0
Missouri,Jul  6 2022,12527,0
Missouri,Jun 29 2022,12303,0
Missouri,Jun 22 2022,10896,0
Missouri,Jun 15 2022,10508,0
Missouri,Jun  8 2022,10238,0
Missouri,Jun  1 2022,8959,0
Missouri,May 25 2022,7624,0
Missouri,May 18 2022,6776,0
Missouri,May 11 2022,5894,0
Missouri,May  4 2022,4363,0
Missouri,Apr 27 2022,3682,0
Missouri,Apr 20 2022,2750,0
Missouri,Apr 13 2022,6202,0
Missouri,Apr  6 2022,888,0
Missouri,Mar 30 2022,2654,0
Missouri,Mar 23 2022,2447,0
Missouri,Mar 16 2022,2766,0
Missouri,Mar  9 2022,3639,0
Missouri,Mar  2 2022,5507,0
Missouri,Feb 23 2022,7801,0
Missouri,Feb 16 2022,18343,0
Missouri,Feb  9 2022,22421,0
Missouri,Feb  2 2022,49513,0
Missouri,Jan 26 2022,75582,0
Missouri,Jan 19 2022,84302,0
Missouri,Jan 12 2022,79796,0
Missouri,Jan  5 2022,56021,0
Missouri,Dec 29 2021,29003,0
Missouri,Dec 22 2021,20606,0
Missouri,Dec 15 2021,18527,0
Missouri,Dec  8 2021,18419,0
Missouri,Dec  1 2021,15422,0
Missouri,Nov 24 2021,18814,0
Missouri,Nov 17 2021,11670,0
Missouri,Nov 10 2021,7355,0
Missouri,Nov  3 2021,7070,0
Missouri,Oct 27 2021,6784,0
Missouri,Oct 20 2021,7026,0
Missouri,Oct 13 2021,8040,0
Missouri,Oct  6 2021,10213,0
Missouri,Sep 29 2021,11478,0
Missouri,Sep 22 2021,13447,0
