Data Table for Weekly Case Trends - Nebraska
Date generated: Mon Dec 05 2022 12:46:57 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Nebraska,Nov 30 2022,1982,0
Nebraska,Nov 23 2022,2043,0
Nebraska,Nov 16 2022,1997,0
Nebraska,Nov  9 2022,1746,0
Nebraska,Nov  2 2022,1764,0
Nebraska,Oct 26 2022,1375,0
Nebraska,Oct 19 2022,1125,0
Nebraska,Oct 12 2022,1050,0
Nebraska,Oct  5 2022,1093,0
Nebraska,Sep 28 2022,1157,0
Nebraska,Sep 21 2022,1525,0
Nebraska,Sep 14 2022,1835,0
Nebraska,Sep  7 2022,2264,0
Nebraska,Aug 31 2022,2998,0
Nebraska,Aug 24 2022,2758,0
Nebraska,Aug 17 2022,2715,0
Nebraska,Aug 10 2022,3085,0
Nebraska,Aug  3 2022,3661,0
Nebraska,Jul 27 2022,3913,0
Nebraska,Jul 20 2022,3898,0
Nebraska,Jul 13 2022,4062,0
Nebraska,Jul  6 2022,3308,0
Nebraska,Jun 29 2022,3502,0
Nebraska,Jun 22 2022,2901,0
Nebraska,Jun 15 2022,2579,0
Nebraska,Jun  8 2022,2772,0
Nebraska,Jun  1 2022,2318,0
Nebraska,May 25 2022,1962,0
Nebraska,May 18 2022,1746,0
Nebraska,May 11 2022,1457,0
Nebraska,May  4 2022,972,0
Nebraska,Apr 27 2022,785,0
Nebraska,Apr 20 2022,572,0
Nebraska,Apr 13 2022,516,0
Nebraska,Apr  6 2022,424,0
Nebraska,Mar 30 2022,418,0
Nebraska,Mar 23 2022,471,0
Nebraska,Mar 16 2022,582,0
Nebraska,Mar  9 2022,926,0
Nebraska,Mar  2 2022,1227,0
Nebraska,Feb 23 2022,2121,0
Nebraska,Feb 16 2022,3493,0
Nebraska,Feb  9 2022,6565,0
Nebraska,Feb  2 2022,13619,0
Nebraska,Jan 26 2022,27338,0
Nebraska,Jan 19 2022,32573,0
Nebraska,Jan 12 2022,27745,0
Nebraska,Jan  5 2022,16135,0
Nebraska,Dec 29 2021,7488,0
Nebraska,Dec 22 2021,5571,0
Nebraska,Dec 15 2021,5991,0
Nebraska,Dec  8 2021,7458,0
Nebraska,Dec  1 2021,5958,0
Nebraska,Nov 24 2021,6569,0
Nebraska,Nov 17 2021,6165,0
Nebraska,Nov 10 2021,6246,0
Nebraska,Nov  3 2021,5125,0
Nebraska,Oct 27 2021,4484,0
Nebraska,Oct 20 2021,4008,0
Nebraska,Oct 13 2021,4270,0
Nebraska,Oct  6 2021,4270,0
Nebraska,Sep 29 2021,4660,0
Nebraska,Sep 22 2021,4904,0
Nebraska,Sep 15 2021,5586,0
Nebraska,Sep  8 2021,4969,0
Nebraska,Sep  1 2021,5295,0
Nebraska,Aug 25 2021,4305,0
Nebraska,Aug 18 2021,3335,0
Nebraska,Aug 11 2021,2587,0
Nebraska,Aug  4 2021,2102,0
Nebraska,Jul 28 2021,1417,0
Nebraska,Jul 21 2021,866,0
Nebraska,Jul 14 2021,602,0
Nebraska,Jul  7 2021,516,0
Nebraska,Jun 30 2021,337,0
Nebraska,Jun 23 2021,211,0
Nebraska,Jun 16 2021,212,0
Nebraska,Jun  9 2021,230,0
Nebraska,Jun  2 2021,331,0
Nebraska,May 26 2021,460,0
Nebraska,May 19 2021,548,0
Nebraska,May 12 2021,1036,0
Nebraska,May  5 2021,1341,0
Nebraska,Apr 28 2021,1643,0
Nebraska,Apr 21 2021,2400,0
Nebraska,Apr 14 2021,2263,0
Nebraska,Apr  7 2021,2374,0
Nebraska,Mar 31 2021,2461,0
Nebraska,Mar 24 2021,1864,0
Nebraska,Mar 17 2021,1911,0
Nebraska,Mar 10 2021,2106,0
Nebraska,Mar  3 2021,2058,0
Nebraska,Feb 24 2021,2342,0
Nebraska,Feb 17 2021,2059,0
Nebraska,Feb 10 2021,2712,0
Nebraska,Feb  3 2021,3935,0
Nebraska,Jan 27 2021,4229,0
Nebraska,Jan 20 2021,5590,0
Nebraska,Jan 13 2021,6664,0
Nebraska,Jan  6 2021,7354,0
Nebraska,Dec 30 2020,5938,0
Nebraska,Dec 23 2020,7888,0
Nebraska,Dec 16 2020,8570,0
Nebraska,Dec  9 2020,11341,0
Nebraska,Dec  2 2020,11012,0
Nebraska,Nov 25 2020,13814,0
Nebraska,Nov 18 2020,15314,0
Nebraska,Nov 11 2020,13939,0
Nebraska,Nov  4 2020,9602,0
Nebraska,Oct 28 2020,6583,0
Nebraska,Oct 21 2020,5851,0
Nebraska,Oct 14 2020,5040,0
Nebraska,Oct  7 2020,3716,0
Nebraska,Sep 30 2020,3110,0
Nebraska,Sep 23 2020,2752,0
Nebraska,Sep 16 2020,2446,0
Nebraska,Sep  9 2020,1775,0
Nebraska,Sep  2 2020,2210,0
Nebraska,Aug 26 2020,1593,0
Nebraska,Aug 19 2020,1766,0
Nebraska,Aug 12 2020,1727,0
Nebraska,Aug  5 2020,2002,0
Nebraska,Jul 29 2020,1878,0
Nebraska,Jul 22 2020,1526,0
Nebraska,Jul 15 2020,1454,0
