Data Table for Weekly Case Trends - New Mexico
Date generated: Mon Dec 05 2022 12:48:05 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
New Mexico,Nov 30 2022,3932,0
New Mexico,Nov 23 2022,4579,0
New Mexico,Nov 16 2022,4424,0
New Mexico,Nov  9 2022,4313,0
New Mexico,Nov  2 2022,3150,0
New Mexico,Oct 26 2022,2636,0
New Mexico,Oct 19 2022,2049,0
New Mexico,Oct 12 2022,1697,0
New Mexico,Oct  5 2022,1661,0
New Mexico,Sep 28 2022,1604,0
New Mexico,Sep 21 2022,1414,0
New Mexico,Sep 14 2022,1831,0
New Mexico,Sep  7 2022,1971,0
New Mexico,Aug 31 2022,3299,0
New Mexico,Aug 24 2022,3821,0
New Mexico,Aug 17 2022,4428,0
New Mexico,Aug 10 2022,5125,0
New Mexico,Aug  3 2022,5827,0
New Mexico,Jul 27 2022,6744,0
New Mexico,Jul 20 2022,6782,0
New Mexico,Jul 13 2022,6845,0
New Mexico,Jul  6 2022,5643,0
New Mexico,Jun 29 2022,7199,0
New Mexico,Jun 22 2022,6346,0
New Mexico,Jun 15 2022,6500,0
New Mexico,Jun  8 2022,6175,0
New Mexico,Jun  1 2022,4331,0
New Mexico,May 25 2022,4094,0
New Mexico,May 18 2022,2898,0
New Mexico,May 11 2022,1982,0
New Mexico,May  4 2022,1452,0
New Mexico,Apr 27 2022,1229,0
New Mexico,Apr 20 2022,1074,0
New Mexico,Apr 13 2022,807,0
New Mexico,Apr  6 2022,961,0
New Mexico,Mar 30 2022,887,0
New Mexico,Mar 23 2022,1038,0
New Mexico,Mar 16 2022,1307,0
New Mexico,Mar  9 2022,1963,0
New Mexico,Mar  2 2022,2844,0
New Mexico,Feb 23 2022,4340,0
New Mexico,Feb 16 2022,7794,0
New Mexico,Feb  9 2022,13116,0
New Mexico,Feb  2 2022,24392,0
New Mexico,Jan 26 2022,34142,0
New Mexico,Jan 19 2022,37795,0
New Mexico,Jan 12 2022,26496,0
New Mexico,Jan  5 2022,13798,0
New Mexico,Dec 29 2021,6321,0
New Mexico,Dec 22 2021,7186,0
New Mexico,Dec 15 2021,7611,0
New Mexico,Dec  8 2021,10624,0
