Data Table for Weekly Case Trends - North Carolina
Date generated: Mon Dec 05 2022 12:58:35 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
North Carolina,Nov 30 2022,6845,0
North Carolina,Nov 23 2022,6170,0
North Carolina,Nov 16 2022,6791,0
North Carolina,Nov  9 2022,9365,0
North Carolina,Nov  2 2022,8735,0
North Carolina,Oct 26 2022,5967,0
North Carolina,Oct 19 2022,10614,0
North Carolina,Oct 12 2022,10022,0
North Carolina,Oct  5 2022,11970,0
North Carolina,Sep 28 2022,16091,0
North Carolina,Sep 21 2022,20284,0
North Carolina,Sep 14 2022,21189,0
North Carolina,Sep  7 2022,20481,0
North Carolina,Aug 31 2022,21898,0
North Carolina,Aug 24 2022,23959,0
North Carolina,Aug 17 2022,27339,0
North Carolina,Aug 10 2022,31230,0
North Carolina,Aug  3 2022,33265,0
North Carolina,Jul 27 2022,33932,0
North Carolina,Jul 20 2022,30131,0
North Carolina,Jul 13 2022,26387,0
North Carolina,Jul  6 2022,25462,0
North Carolina,Jun 29 2022,16132,0
North Carolina,Jun 22 2022,20559,0
North Carolina,Jun 15 2022,23254,0
North Carolina,Jun  8 2022,26781,0
North Carolina,Jun  1 2022,25502,0
North Carolina,May 25 2022,28794,0
North Carolina,May 18 2022,26531,0
North Carolina,May 11 2022,20041,0
North Carolina,May  4 2022,15101,0
North Carolina,Apr 27 2022,11818,0
North Carolina,Apr 20 2022,8573,0
North Carolina,Apr 13 2022,6358,0
North Carolina,Apr  6 2022,3767,0
North Carolina,Mar 30 2022,3884,0
North Carolina,Mar 23 2022,3549,0
North Carolina,Mar 16 2022,4083,0
North Carolina,Mar  9 2022,6117,0
North Carolina,Mar  2 2022,10925,0
North Carolina,Feb 23 2022,18535,0
North Carolina,Feb 16 2022,31938,0
North Carolina,Feb  9 2022,56009,0
North Carolina,Feb  2 2022,97954,0
North Carolina,Jan 26 2022,172345,0
North Carolina,Jan 19 2022,213266,0
North Carolina,Jan 12 2022,202667,0
North Carolina,Jan  5 2022,138516,0
North Carolina,Dec 29 2021,65563,0
North Carolina,Dec 22 2021,30459,0
North Carolina,Dec 15 2021,22640,0
North Carolina,Dec  8 2021,21722,0
North Carolina,Dec  1 2021,15473,0
North Carolina,Nov 24 2021,13777,0
North Carolina,Nov 17 2021,12812,0
