Data Table for Weekly Case Trends - Oregon
Date generated: Mon Dec 05 2022 12:59:31 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Oregon,Nov 30 2022,3914,0
Oregon,Nov 23 2022,3554,0
Oregon,Nov 16 2022,3355,0
Oregon,Nov  9 2022,3116,0
Oregon,Nov  2 2022,2512,0
Oregon,Oct 26 2022,2308,0
Oregon,Oct 19 2022,3554,0
Oregon,Oct 12 2022,3306,0
Oregon,Oct  5 2022,4237,0
Oregon,Sep 28 2022,4270,0
Oregon,Sep 21 2022,4544,0
Oregon,Sep 14 2022,3966,0
Oregon,Sep  7 2022,3847,0
Oregon,Aug 31 2022,4192,0
Oregon,Aug 24 2022,5054,0
Oregon,Aug 17 2022,5859,0
Oregon,Aug 10 2022,6816,0
Oregon,Aug  3 2022,8183,0
Oregon,Jul 27 2022,8751,0
Oregon,Jul 20 2022,9235,0
Oregon,Jul 13 2022,10381,0
Oregon,Jul  6 2022,9852,0
Oregon,Jun 29 2022,11774,0
Oregon,Jun 22 2022,9925,0
Oregon,Jun 15 2022,10428,0
Oregon,Jun  8 2022,10414,0
Oregon,Jun  1 2022,10076,0
Oregon,May 25 2022,11486,0
Oregon,May 18 2022,10259,0
Oregon,May 11 2022,8853,0
Oregon,May  4 2022,7981,0
Oregon,Apr 27 2022,5945,0
Oregon,Apr 20 2022,4164,0
Oregon,Apr 13 2022,2705,0
Oregon,Apr  6 2022,1977,0
Oregon,Mar 30 2022,1555,0
Oregon,Mar 23 2022,1629,0
Oregon,Mar 16 2022,2162,0
Oregon,Mar  9 2022,3171,0
Oregon,Mar  2 2022,4842,0
Oregon,Feb 23 2022,7915,0
Oregon,Feb 16 2022,13783,0
Oregon,Feb  9 2022,24809,0
Oregon,Feb  2 2022,38610,0
Oregon,Jan 26 2022,55421,0
Oregon,Jan 19 2022,54996,0
Oregon,Jan 12 2022,53298,0
Oregon,Jan  5 2022,23315,0
Oregon,Dec 29 2021,9084,0
Oregon,Dec 22 2021,5921,0
Oregon,Dec 15 2021,5066,0
Oregon,Dec  8 2021,6065,0
Oregon,Dec  1 2021,4712,0
Oregon,Nov 24 2021,5643,0
Oregon,Nov 17 2021,5469,0
Oregon,Nov 10 2021,6556,0
Oregon,Nov  3 2021,7257,0
Oregon,Oct 27 2021,7884,0
Oregon,Oct 20 2021,8192,0
Oregon,Oct 13 2021,8353,0
Oregon,Oct  6 2021,9947,0
Oregon,Sep 29 2021,11077,0
Oregon,Sep 22 2021,11547,0
Oregon,Sep 15 2021,13582,0
Oregon,Sep  8 2021,12891,0
Oregon,Sep  1 2021,15923,0
Oregon,Aug 25 2021,15298,0
Oregon,Aug 18 2021,13473,0
Oregon,Aug 11 2021,9846,0
Oregon,Aug  4 2021,6858,0
Oregon,Jul 28 2021,3960,0
Oregon,Jul 21 2021,2413,0
Oregon,Jul 14 2021,1552,0
Oregon,Jul  7 2021,1123,0
Oregon,Jun 30 2021,1308,0
Oregon,Jun 23 2021,1635,0
Oregon,Jun 16 2021,1765,0
Oregon,Jun  9 2021,1939,0
Oregon,Jun  2 2021,2210,0
Oregon,May 26 2021,2997,0
Oregon,May 19 2021,3773,0
Oregon,May 12 2021,4597,0
Oregon,May  5 2021,5501,0
Oregon,Apr 28 2021,5782,0
Oregon,Apr 21 2021,4928,0
Oregon,Apr 14 2021,4078,0
Oregon,Apr  7 2021,3116,0
Oregon,Mar 31 2021,2629,0
Oregon,Mar 24 2021,2095,0
Oregon,Mar 17 2021,1997,0
Oregon,Mar 10 2021,2003,0
Oregon,Mar  3 2021,2230,0
Oregon,Feb 24 2021,2801,0
Oregon,Feb 17 2021,2782,0
Oregon,Feb 10 2021,3870,0
Oregon,Feb  3 2021,4542,0
Oregon,Jan 27 2021,4920,0
Oregon,Jan 20 2021,6034,0
Oregon,Jan 13 2021,8886,0
Oregon,Jan  6 2021,7963,0
Oregon,Dec 30 2020,6289,0
Oregon,Dec 23 2020,8350,0
Oregon,Dec 16 2020,9334,0
Oregon,Dec  9 2020,10127,0
Oregon,Dec  2 2020,9657,0
Oregon,Nov 25 2020,8834,0
Oregon,Nov 18 2020,6899,0
Oregon,Nov 11 2020,5721,0
Oregon,Nov  4 2020,3821,0
Oregon,Oct 28 2020,2783,0
Oregon,Oct 21 2020,2284,0
Oregon,Oct 14 2020,2527,0
Oregon,Oct  7 2020,2126,0
Oregon,Sep 30 2020,2005,0
Oregon,Sep 23 2020,1654,0
Oregon,Sep 16 2020,1380,0
Oregon,Sep  9 2020,1395,0
Oregon,Sep  2 2020,1508,0
Oregon,Aug 26 2020,1699,0
Oregon,Aug 19 2020,1849,0
Oregon,Aug 12 2020,2042,0
Oregon,Aug  5 2020,2258,0
Oregon,Jul 29 2020,2327,0
Oregon,Jul 22 2020,2310,0
Oregon,Jul 15 2020,2271,0
Oregon,Jul  8 2020,1879,0
Oregon,Jul  1 2020,1487,0
Oregon,Jun 24 2020,1224,0
Oregon,Jun 17 2020,1158,0
