Data Table for Weekly Case Trends - Rhode Island
Date generated: Mon Dec 05 2022 13:00:12 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Rhode Island,Nov 30 2022,1008,0
Rhode Island,Nov 23 2022,1057,0
Rhode Island,Nov 16 2022,1075,0
Rhode Island,Nov  9 2022,1242,0
Rhode Island,Nov  2 2022,1252,0
Rhode Island,Oct 26 2022,1381,0
Rhode Island,Oct 19 2022,1588,0
Rhode Island,Oct 12 2022,1577,0
Rhode Island,Oct  5 2022,1715,0
Rhode Island,Sep 28 2022,1837,0
Rhode Island,Sep 21 2022,1776,0
Rhode Island,Sep 14 2022,1498,0
Rhode Island,Sep  7 2022,1481,0
Rhode Island,Aug 31 2022,1741,0
Rhode Island,Aug 24 2022,1601,0
Rhode Island,Aug 17 2022,1691,0
Rhode Island,Aug 10 2022,1956,0
Rhode Island,Aug  3 2022,1926,0
Rhode Island,Jul 27 2022,1873,0
Rhode Island,Jul 20 2022,1895,0
Rhode Island,Jul 13 2022,1669,0
Rhode Island,Jul  6 2022,1749,0
Rhode Island,Jun 29 2022,1693,0
Rhode Island,Jun 22 2022,1886,0
Rhode Island,Jun 15 2022,2282,0
Rhode Island,Jun  8 2022,2953,0
Rhode Island,Jun  1 2022,3852,0
Rhode Island,May 25 2022,5082,0
Rhode Island,May 18 2022,5502,0
Rhode Island,May 11 2022,4511,0
Rhode Island,May  4 2022,3417,0
Rhode Island,Apr 27 2022,2377,0
Rhode Island,Apr 20 2022,2429,0
Rhode Island,Apr 13 2022,2057,0
Rhode Island,Apr  6 2022,1427,0
Rhode Island,Mar 30 2022,1172,0
Rhode Island,Mar 23 2022,1233,0
Rhode Island,Mar 16 2022,1061,0
Rhode Island,Mar  9 2022,1234,0
Rhode Island,Mar  2 2022,1223,0
Rhode Island,Feb 23 2022,1804,0
Rhode Island,Feb 16 2022,3136,0
Rhode Island,Feb  9 2022,5589,0
Rhode Island,Feb  2 2022,9943,0
Rhode Island,Jan 26 2022,18888,0
Rhode Island,Jan 19 2022,33061,0
Rhode Island,Jan 12 2022,35282,0
Rhode Island,Jan  5 2022,20035,0
Rhode Island,Dec 29 2021,7807,0
Rhode Island,Dec 22 2021,7200,0
Rhode Island,Dec 15 2021,6430,0
Rhode Island,Dec  8 2021,5872,0
Rhode Island,Dec  1 2021,3299,0
Rhode Island,Nov 24 2021,3210,0
Rhode Island,Nov 17 2021,2306,0
Rhode Island,Nov 10 2021,1721,0
Rhode Island,Nov  3 2021,1435,0
Rhode Island,Oct 27 2021,1405,0
Rhode Island,Oct 20 2021,1821,0
Rhode Island,Oct 13 2021,1832,0
Rhode Island,Oct  6 2021,1942,0
Rhode Island,Sep 29 2021,2154,0
Rhode Island,Sep 22 2021,2342,0
Rhode Island,Sep 15 2021,2201,0
Rhode Island,Sep  8 2021,2115,0
Rhode Island,Sep  1 2021,1998,0
Rhode Island,Aug 25 2021,1936,0
Rhode Island,Aug 18 2021,1740,0
Rhode Island,Aug 11 2021,1450,0
Rhode Island,Aug  4 2021,1020,0
Rhode Island,Jul 28 2021,533,0
Rhode Island,Jul 21 2021,278,0
Rhode Island,Jul 14 2021,145,0
Rhode Island,Jul  7 2021,123,0
Rhode Island,Jun 30 2021,116,0
Rhode Island,Jun 23 2021,129,0
Rhode Island,Jun 16 2021,169,0
Rhode Island,Jun  9 2021,200,0
Rhode Island,Jun  2 2021,345,0
Rhode Island,May 26 2021,576,0
Rhode Island,May 19 2021,851,0
Rhode Island,May 12 2021,1162,0
Rhode Island,May  5 2021,1560,0
Rhode Island,Apr 28 2021,1954,0
Rhode Island,Apr 21 2021,2573,0
Rhode Island,Apr 14 2021,2784,0
Rhode Island,Apr  7 2021,2737,0
Rhode Island,Mar 31 2021,2683,0
Rhode Island,Mar 24 2021,2182,0
Rhode Island,Mar 17 2021,2227,0
Rhode Island,Mar 10 2021,2194,0
Rhode Island,Mar  3 2021,2412,0
Rhode Island,Feb 24 2021,2120,0
Rhode Island,Feb 17 2021,2420,0
Rhode Island,Feb 10 2021,2972,0
Rhode Island,Feb  3 2021,3930,0
Rhode Island,Jan 27 2021,4886,0
Rhode Island,Jan 20 2021,5706,0
Rhode Island,Jan 13 2021,7581,0
Rhode Island,Jan  6 2021,6696,0
Rhode Island,Dec 30 2020,4861,0
Rhode Island,Dec 23 2020,5986,0
Rhode Island,Dec 16 2020,8074,0
Rhode Island,Dec  9 2020,8748,0
Rhode Island,Dec  2 2020,5809,0
Rhode Island,Nov 25 2020,6446,0
Rhode Island,Nov 18 2020,5556,0
Rhode Island,Nov 11 2020,3766,0
Rhode Island,Nov  4 2020,2818,0
Rhode Island,Oct 28 2020,2486,0
Rhode Island,Oct 21 2020,1549,0
Rhode Island,Oct 14 2020,1204,0
Rhode Island,Oct  7 2020,966,0
Rhode Island,Sep 30 2020,721,0
Rhode Island,Sep 23 2020,719,0
Rhode Island,Sep 16 2020,552,0
Rhode Island,Sep  9 2020,477,0
Rhode Island,Sep  2 2020,532,0
Rhode Island,Aug 26 2020,700,0
Rhode Island,Aug 19 2020,605,0
Rhode Island,Aug 12 2020,673,0
Rhode Island,Aug  5 2020,663,0
Rhode Island,Jul 29 2020,620,0
Rhode Island,Jul 22 2020,480,0
Rhode Island,Jul 15 2020,318,0
