Data Table for Weekly Case Trends - Tennessee
Date generated: Mon Dec 05 2022 13:01:17 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Tennessee,Nov 30 2022,5202,0
Tennessee,Nov 23 2022,6887,0
Tennessee,Nov 16 2022,6206,0
Tennessee,Nov  9 2022,7035,0
Tennessee,Nov  2 2022,7033,0
Tennessee,Oct 26 2022,5263,0
Tennessee,Oct 19 2022,4916,0
Tennessee,Oct 12 2022,5354,0
Tennessee,Oct  5 2022,5974,0
Tennessee,Sep 28 2022,7158,0
Tennessee,Sep 21 2022,8507,0
Tennessee,Sep 14 2022,10894,0
Tennessee,Sep  7 2022,16031,0
Tennessee,Aug 31 2022,22352,0
Tennessee,Aug 24 2022,27904,0
Tennessee,Aug 17 2022,18006,0
Tennessee,Aug 10 2022,17615,0
Tennessee,Aug  3 2022,18742,0
Tennessee,Jul 27 2022,20091,0
Tennessee,Jul 20 2022,19860,0
Tennessee,Jul 13 2022,17022,0
Tennessee,Jul  6 2022,16726,0
Tennessee,Jun 29 2022,15577,0
Tennessee,Jun 22 2022,12738,0
Tennessee,Jun 15 2022,12639,0
Tennessee,Jun  8 2022,11279,0
Tennessee,Jun  1 2022,10460,0
Tennessee,May 25 2022,9004,0
Tennessee,May 18 2022,6460,0
Tennessee,May 11 2022,4782,0
Tennessee,May  4 2022,3566,0
Tennessee,Apr 27 2022,2758,0
Tennessee,Apr 20 2022,2125,0
Tennessee,Apr 13 2022,1738,0
Tennessee,Apr  6 2022,1478,0
Tennessee,Mar 30 2022,1642,0
Tennessee,Mar 23 2022,2005,0
Tennessee,Mar 16 2022,3108,0
Tennessee,Mar  9 2022,6718,0
Tennessee,Mar  2 2022,4418,0
Tennessee,Feb 23 2022,14939,0
Tennessee,Feb 16 2022,27361,0
Tennessee,Feb  9 2022,55061,0
Tennessee,Feb  2 2022,78981,0
Tennessee,Jan 26 2022,112484,0
Tennessee,Jan 19 2022,117115,0
Tennessee,Jan 12 2022,101369,0
Tennessee,Jan  5 2022,82974,0
Tennessee,Dec 29 2021,45650,0
Tennessee,Dec 22 2021,20487,0
Tennessee,Dec 15 2021,12138,0
Tennessee,Dec  8 2021,13105,0
Tennessee,Dec  1 2021,9450,0
Tennessee,Nov 24 2021,9283,0
Tennessee,Nov 17 2021,8597,0
Tennessee,Nov 10 2021,7837,0
Tennessee,Nov  3 2021,6937,0
Tennessee,Oct 27 2021,8101,0
Tennessee,Oct 20 2021,10385,0
Tennessee,Oct 13 2021,14019,0
Tennessee,Oct  6 2021,18220,0
Tennessee,Sep 29 2021,24489,0
Tennessee,Sep 22 2021,32143,0
Tennessee,Sep 15 2021,52482,0
Tennessee,Sep  8 2021,54647,0
Tennessee,Sep  1 2021,50452,0
Tennessee,Aug 25 2021,43668,0
Tennessee,Aug 18 2021,33382,0
Tennessee,Aug 11 2021,26524,0
Tennessee,Aug  4 2021,18811,0
Tennessee,Jul 28 2021,12304,0
Tennessee,Jul 21 2021,6373,0
Tennessee,Jul 14 2021,3861,0
Tennessee,Jul  7 2021,2187,0
Tennessee,Jun 30 2021,1486,0
Tennessee,Jun 23 2021,1183,0
Tennessee,Jun 16 2021,1544,0
Tennessee,Jun  9 2021,1624,0
Tennessee,Jun  2 2021,2047,0
Tennessee,May 26 2021,2988,0
Tennessee,May 19 2021,4041,0
Tennessee,May 12 2021,5118,0
Tennessee,May  5 2021,5918,0
Tennessee,Apr 28 2021,7540,0
Tennessee,Apr 21 2021,10160,0
Tennessee,Apr 14 2021,8169,0
Tennessee,Apr  7 2021,7566,0
Tennessee,Mar 31 2021,8017,0
Tennessee,Mar 24 2021,8907,0
Tennessee,Mar 17 2021,8518,0
Tennessee,Mar 10 2021,8840,0
Tennessee,Mar  3 2021,8502,0
Tennessee,Feb 24 2021,9524,0
Tennessee,Feb 17 2021,10199,0
Tennessee,Feb 10 2021,16159,0
Tennessee,Feb  3 2021,17742,0
Tennessee,Jan 27 2021,21085,0
Tennessee,Jan 20 2021,27876,0
Tennessee,Jan 13 2021,38593,0
Tennessee,Jan  6 2021,46324,0
Tennessee,Dec 30 2020,39819,0
Tennessee,Dec 23 2020,54222,0
Tennessee,Dec 16 2020,63950,0
Tennessee,Dec  9 2020,38201,0
Tennessee,Dec  2 2020,35804,0
Tennessee,Nov 25 2020,22379,0
Tennessee,Nov 18 2020,30902,0
Tennessee,Nov 11 2020,23762,0
Tennessee,Nov  4 2020,14880,0
Tennessee,Oct 28 2020,19041,0
Tennessee,Oct 21 2020,14245,0
Tennessee,Oct 14 2020,13257,0
Tennessee,Oct  7 2020,11516,0
Tennessee,Sep 30 2020,9484,0
Tennessee,Sep 23 2020,9675,0
Tennessee,Sep 16 2020,10250,0
Tennessee,Sep  9 2020,8866,0
Tennessee,Sep  2 2020,10534,0
Tennessee,Aug 26 2020,9841,0
Tennessee,Aug 19 2020,11118,0
Tennessee,Aug 12 2020,12097,0
Tennessee,Aug  5 2020,13383,0
Tennessee,Jul 29 2020,15286,0
Tennessee,Jul 22 2020,15058,0
Tennessee,Jul 15 2020,13094,0
Tennessee,Jul  8 2020,10709,0
Tennessee,Jul  1 2020,7792,0
Tennessee,Jun 24 2020,5302,0
Tennessee,Jun 17 2020,4018,0
Tennessee,Jun 10 2020,3130,0
Tennessee,Jun  3 2020,3489,0
Tennessee,May 27 2020,2679,0
Tennessee,May 20 2020,2119,0
Tennessee,May 13 2020,2646,0
Tennessee,May  6 2020,3137,0
Tennessee,Apr 29 2020,2658,0
Tennessee,Apr 22 2020,2097,0
Tennessee,Apr 15 2020,1652,0
Tennessee,Apr  8 2020,1772,0
Tennessee,Apr  1 2020,1712,0
Tennessee,Mar 25 2020,815,0
Tennessee,Mar 18 2020,91,0
Tennessee,Mar 11 2020,9,0
Tennessee,Mar  4 2020,0,0
Tennessee,Feb 26 2020,0,0
Tennessee,Feb 19 2020,0,0
Tennessee,Feb 12 2020,0,0
Tennessee,Feb  5 2020,0,0
Tennessee,Jan 29 2020,0,0
