Data Table for Weekly Case Trends - Texas
Date generated: Mon Dec 05 2022 13:01:50 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Texas,Nov 30 2022,17322,0
Texas,Nov 23 2022,15668,0
Texas,Nov 16 2022,13163,0
Texas,Nov  9 2022,12304,0
Texas,Nov  2 2022,11711,0
Texas,Oct 26 2022,10755,0
Texas,Oct 19 2022,12534,0
Texas,Oct 12 2022,13554,0
Texas,Oct  5 2022,18738,0
Texas,Sep 28 2022,19605,0
Texas,Sep 21 2022,29091,0
Texas,Sep 14 2022,39106,0
Texas,Sep  7 2022,49690,0
Texas,Aug 31 2022,55706,0
Texas,Aug 24 2022,54583,0
Texas,Aug 17 2022,63336,0
Texas,Aug 10 2022,70565,0
Texas,Aug  3 2022,80723,0
Texas,Jul 27 2022,81922,0
Texas,Jul 20 2022,87140,0
Texas,Jul 13 2022,85394,0
Texas,Jul  6 2022,73751,0
Texas,Jun 29 2022,72707,0
Texas,Jun 22 2022,52877,0
Texas,Jun 15 2022,49519,0
Texas,Jun  8 2022,46823,0
Texas,Jun  1 2022,36388,0
Texas,May 25 2022,31040,0
Texas,May 18 2022,25691,0
Texas,May 11 2022,21019,0
Texas,May  4 2022,17559,0
Texas,Apr 27 2022,16813,0
Texas,Apr 20 2022,15767,0
Texas,Apr 13 2022,21063,0
Texas,Apr  6 2022,16356,0
Texas,Mar 30 2022,24348,0
Texas,Mar 23 2022,31375,0
Texas,Mar 16 2022,26465,0
Texas,Mar  9 2022,26859,0
Texas,Mar  2 2022,32207,0
Texas,Feb 23 2022,48481,0
Texas,Feb 16 2022,78923,0
Texas,Feb  9 2022,137522,0
Texas,Feb  2 2022,245868,0
Texas,Jan 26 2022,351197,0
Texas,Jan 19 2022,536393,0
Texas,Jan 12 2022,379060,0
Texas,Jan  5 2022,282084,0
Texas,Dec 29 2021,94336,0
Texas,Dec 22 2021,57312,0
Texas,Dec 15 2021,35056,0
Texas,Dec  8 2021,30086,0
Texas,Dec  1 2021,18496,0
Texas,Nov 24 2021,24039,0
Texas,Nov 17 2021,21311,0
Texas,Nov 10 2021,22872,0
Texas,Nov  3 2021,25941,0
Texas,Oct 27 2021,28456,0
Texas,Oct 20 2021,34187,0
Texas,Oct 13 2021,45658,0
Texas,Oct  6 2021,57697,0
Texas,Sep 29 2021,78239,0
Texas,Sep 22 2021,89112,0
Texas,Sep 15 2021,126517,0
Texas,Sep  8 2021,123020,0
Texas,Sep  1 2021,118618,0
Texas,Aug 25 2021,118464,0
Texas,Aug 18 2021,107917,0
Texas,Aug 11 2021,105952,0
Texas,Aug  4 2021,81537,0
Texas,Jul 28 2021,46486,0
Texas,Jul 21 2021,27608,0
Texas,Jul 14 2021,18895,0
Texas,Jul  7 2021,10388,0
Texas,Jun 30 2021,10770,0
Texas,Jun 23 2021,9303,0
Texas,Jun 16 2021,8684,0
Texas,Jun  9 2021,15887,0
Texas,Jun  2 2021,7373,0
Texas,May 26 2021,12283,0
Texas,May 19 2021,14169,0
Texas,May 12 2021,16132,0
Texas,May  5 2021,19666,0
Texas,Apr 28 2021,22090,0
Texas,Apr 21 2021,23525,0
Texas,Apr 14 2021,25739,0
Texas,Apr  7 2021,23111,0
Texas,Mar 31 2021,25643,0
Texas,Mar 24 2021,24006,0
Texas,Mar 17 2021,32557,0
Texas,Mar 10 2021,34761,0
Texas,Mar  3 2021,51911,0
Texas,Feb 24 2021,43714,0
Texas,Feb 17 2021,50221,0
Texas,Feb 10 2021,81494,0
Texas,Feb  3 2021,139952,0
Texas,Jan 27 2021,125676,0
Texas,Jan 20 2021,147358,0
Texas,Jan 13 2021,151496,0
Texas,Jan  6 2021,141150,0
Texas,Dec 30 2020,101839,0
Texas,Dec 23 2020,113367,0
Texas,Dec 16 2020,104489,0
Texas,Dec  9 2020,99023,0
Texas,Dec  2 2020,81099,0
Texas,Nov 25 2020,94340,0
Texas,Nov 18 2020,73237,0
Texas,Nov 11 2020,64230,0
Texas,Nov  4 2020,77933,0
Texas,Oct 28 2020,41367,0
Texas,Oct 21 2020,34899,0
Texas,Oct 14 2020,27824,0
Texas,Oct  7 2020,29931,0
Texas,Sep 30 2020,29324,0
Texas,Sep 23 2020,47286,0
Texas,Sep 16 2020,29853,0
Texas,Sep  9 2020,24851,0
Texas,Sep  2 2020,31159,0
Texas,Aug 26 2020,37267,0
Texas,Aug 19 2020,49909,0
Texas,Aug 12 2020,54144,0
Texas,Aug  5 2020,58696,0
Texas,Jul 29 2020,55004,0
Texas,Jul 22 2020,70321,0
Texas,Jul 15 2020,65432,0
Texas,Jul  8 2020,50127,0
Texas,Jul  1 2020,48674,0
Texas,Jun 24 2020,29800,0
Texas,Jun 17 2020,16837,0
Texas,Jun 10 2020,14513,0
Texas,Jun  3 2020,8685,0
Texas,May 27 2020,5580,0
Texas,May 20 2020,7912,0
Texas,May 13 2020,7170,0
Texas,May  6 2020,6766,0
Texas,Apr 29 2020,5979,0
Texas,Apr 22 2020,4812,0
Texas,Apr 15 2020,5232,0
Texas,Apr  8 2020,4706,0
Texas,Apr  1 2020,2608,0
Texas,Mar 25 2020,819,0
Texas,Mar 18 2020,175,0
Texas,Mar 11 2020,22,0
Texas,Mar  4 2020,0,0
Texas,Feb 26 2020,0,0
Texas,Feb 19 2020,0,0
Texas,Feb 12 2020,0,0
Texas,Feb  5 2020,0,0
Texas,Jan 29 2020,0,0
