Data Table for Weekly Case Trends - The United States
Date generated: Mon Dec 05 2022 12:34:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
United States,Nov 30 2022,303101,0
United States,Nov 23 2022,306856,0
United States,Nov 16 2022,281477,0
United States,Nov  9 2022,290476,0
United States,Nov  2 2022,274224,0
United States,Oct 26 2022,262360,0
United States,Oct 19 2022,261176,0
United States,Oct 12 2022,265303,0
United States,Oct  5 2022,320091,0
United States,Sep 28 2022,342518,0
United States,Sep 21 2022,397067,0
United States,Sep 14 2022,472352,0
United States,Sep  7 2022,525045,0
United States,Aug 31 2022,616431,0
United States,Aug 24 2022,651805,0
United States,Aug 17 2022,693823,0
United States,Aug 10 2022,772602,0
United States,Aug  3 2022,836908,0
United States,Jul 27 2022,925574,0
United States,Jul 20 2022,905703,0
United States,Jul 13 2022,864786,0
United States,Jul  6 2022,779194,0
United States,Jun 29 2022,772127,0
United States,Jun 22 2022,693178,0
United States,Jun 15 2022,726149,0
United States,Jun  8 2022,773241,0
United States,Jun  1 2022,714571,0
United States,May 25 2022,775703,0
United States,May 18 2022,699703,0
United States,May 11 2022,582695,0
United States,May  4 2022,450495,0
United States,Apr 27 2022,366655,0
United States,Apr 20 2022,293411,0
United States,Apr 13 2022,226983,0
United States,Apr  6 2022,194114,0
United States,Mar 30 2022,192969,0
United States,Mar 23 2022,192813,0
United States,Mar 16 2022,212220,0
United States,Mar  9 2022,268677,0
United States,Mar  2 2022,366844,0
United States,Feb 23 2022,545268,0
United States,Feb 16 2022,921145,0
United States,Feb  9 2022,1480985,0
United States,Feb  2 2022,2689259,0
United States,Jan 26 2022,4405230,0
United States,Jan 19 2022,5607184,0
United States,Jan 12 2022,5497339,0
United States,Jan  5 2022,4132098,0
United States,Dec 29 2021,2144116,0
United States,Dec 22 2021,1161193,0
United States,Dec 15 2021,838875,0
United States,Dec  8 2021,843130,0
United States,Dec  1 2021,614347,0
United States,Nov 24 2021,669089,0
United States,Nov 17 2021,613997,0
United States,Nov 10 2021,537842,0
United States,Nov  3 2021,503816,0
United States,Oct 27 2021,505888,0
United States,Oct 20 2021,533757,0
United States,Oct 13 2021,618482,0
United States,Oct  6 2021,706132,0
United States,Sep 29 2021,800856,0
United States,Sep 22 2021,920453,0
United States,Sep 15 2021,1086160,0
United States,Sep  8 2021,1067724,0
United States,Sep  1 2021,1177330,0
United States,Aug 25 2021,1011100,0
United States,Aug 18 2021,1002221,0
United States,Aug 11 2021,903058,0
United States,Aug  4 2021,671475,0
United States,Jul 28 2021,454293,0
United States,Jul 21 2021,288898,0
United States,Jul 14 2021,179081,0
United States,Jul  7 2021,109655,0
United States,Jun 30 2021,93905,0
United States,Jun 23 2021,82245,0
United States,Jun 16 2021,86703,0
United States,Jun  9 2021,100014,0
United States,Jun  2 2021,111276,0
United States,May 26 2021,161376,0
United States,May 19 2021,208745,0
United States,May 12 2021,253682,0
United States,May  5 2021,325985,0
United States,Apr 28 2021,369887,0
United States,Apr 21 2021,446820,0
United States,Apr 14 2021,497076,0
United States,Apr  7 2021,458853,0
United States,Mar 31 2021,448429,0
United States,Mar 24 2021,402911,0
United States,Mar 17 2021,382276,0
United States,Mar 10 2021,392702,0
United States,Mar  3 2021,443805,0
United States,Feb 24 2021,476520,0
United States,Feb 17 2021,539607,0
United States,Feb 10 2021,727593,0
United States,Feb  3 2021,956095,0
United States,Jan 27 2021,1141083,0
United States,Jan 20 2021,1378777,0
United States,Jan 13 2021,1709913,0
United States,Jan  6 2021,1605004,0
United States,Dec 30 2020,1302126,0
United States,Dec 23 2020,1500180,0
United States,Dec 16 2020,1525678,0
United States,Dec  9 2020,1480879,0
United States,Dec  2 2020,1172769,0
United States,Nov 25 2020,1252035,0
United States,Nov 18 2020,1143668,0
United States,Nov 11 2020,919114,0
United States,Nov  4 2020,704393,0
United States,Oct 28 2020,528199,0
United States,Oct 21 2020,433950,0
United States,Oct 14 2020,371613,0
United States,Oct  7 2020,318346,0
United States,Sep 30 2020,296223,0
United States,Sep 23 2020,306136,0
United States,Sep 16 2020,271454,0
United States,Sep  9 2020,255772,0
United States,Sep  2 2020,289589,0
United States,Aug 26 2020,296114,0
United States,Aug 19 2020,330729,0
United States,Aug 12 2020,377308,0
United States,Aug  5 2020,398160,0
United States,Jul 29 2020,450985,0
United States,Jul 22 2020,467116,0
United States,Jul 15 2020,441043,0
United States,Jul  8 2020,369724,0
United States,Jul  1 2020,311577,0
United States,Jun 24 2020,219289,0
United States,Jun 17 2020,158861,0
United States,Jun 10 2020,142602,0
United States,Jun  3 2020,145006,0
United States,May 27 2020,145764,0
United States,May 20 2020,157613,0
United States,May 13 2020,159596,0
United States,May  6 2020,188209,0
United States,Apr 29 2020,197473,0
United States,Apr 22 2020,199098,0
United States,Apr 15 2020,207089,0
United States,Apr  8 2020,219428,0
United States,Apr  1 2020,158490,0
United States,Mar 25 2020,60195,0
United States,Mar 18 2020,8100,0
United States,Mar 11 2020,1166,0
United States,Mar  4 2020,112,0
United States,Feb 26 2020,24,0
United States,Feb 19 2020,15,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,6,0
