Data Table for Weekly Case Trends - Virginia
Date generated: Mon Dec 05 2022 13:02:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Virginia,Nov 30 2022,7627,0
Virginia,Nov 23 2022,6189,0
Virginia,Nov 16 2022,6525,0
Virginia,Nov  9 2022,7530,0
Virginia,Nov  2 2022,8362,0
Virginia,Oct 26 2022,7201,0
Virginia,Oct 19 2022,7793,0
Virginia,Oct 12 2022,8017,0
Virginia,Oct  5 2022,7170,0
Virginia,Sep 28 2022,8524,0
Virginia,Sep 21 2022,9763,0
Virginia,Sep 14 2022,12121,0
Virginia,Sep  7 2022,13807,0
Virginia,Aug 31 2022,17347,0
Virginia,Aug 24 2022,18768,0
Virginia,Aug 17 2022,17762,0
Virginia,Aug 10 2022,19150,0
Virginia,Aug  3 2022,20394,0
Virginia,Jul 27 2022,21547,0
Virginia,Jul 20 2022,20205,0
Virginia,Jul 13 2022,21022,0
Virginia,Jul  6 2022,18164,0
Virginia,Jun 29 2022,18875,0
Virginia,Jun 22 2022,16632,0
Virginia,Jun 15 2022,18595,0
Virginia,Jun  8 2022,20564,0
Virginia,Jun  1 2022,20090,0
Virginia,May 25 2022,22988,0
Virginia,May 18 2022,20734,0
Virginia,May 11 2022,16398,0
Virginia,May  4 2022,12782,0
Virginia,Apr 27 2022,10269,0
Virginia,Apr 20 2022,7828,0
Virginia,Apr 13 2022,7978,0
Virginia,Apr  6 2022,6092,0
Virginia,Mar 30 2022,5255,0
Virginia,Mar 23 2022,5448,0
Virginia,Mar 16 2022,7081,0
Virginia,Mar  9 2022,7232,0
Virginia,Mar  2 2022,10451,0
Virginia,Feb 23 2022,15327,0
Virginia,Feb 16 2022,22348,0
Virginia,Feb  9 2022,34412,0
Virginia,Feb  2 2022,54477,0
Virginia,Jan 26 2022,82823,0
Virginia,Jan 19 2022,104592,0
Virginia,Jan 12 2022,128369,0
Virginia,Jan  5 2022,99482,0
Virginia,Dec 29 2021,53283,0
Virginia,Dec 22 2021,27869,0
Virginia,Dec 15 2021,18104,0
Virginia,Dec  8 2021,16619,0
Virginia,Dec  1 2021,10822,0
Virginia,Nov 24 2021,10907,0
Virginia,Nov 17 2021,10111,0
Virginia,Nov 10 2021,9272,0
Virginia,Nov  3 2021,9064,0
Virginia,Oct 27 2021,10241,0
Virginia,Oct 20 2021,13352,0
Virginia,Oct 13 2021,15388,0
Virginia,Oct  6 2021,18705,0
Virginia,Sep 29 2021,20586,0
Virginia,Sep 22 2021,24279,0
Virginia,Sep 15 2021,25407,0
Virginia,Sep  8 2021,23554,0
Virginia,Sep  1 2021,22201,0
Virginia,Aug 25 2021,19117,0
Virginia,Aug 18 2021,15329,0
Virginia,Aug 11 2021,12143,0
Virginia,Aug  4 2021,8937,0
Virginia,Jul 28 2021,5344,0
Virginia,Jul 21 2021,3287,0
Virginia,Jul 14 2021,2125,0
Virginia,Jul  7 2021,1449,0
Virginia,Jun 30 2021,1615,0
Virginia,Jun 23 2021,929,0
Virginia,Jun 16 2021,993,0
Virginia,Jun  9 2021,1367,0
Virginia,Jun  2 2021,1696,0
Virginia,May 26 2021,2671,0
Virginia,May 19 2021,3024,0
Virginia,May 12 2021,4458,0
Virginia,May  5 2021,6278,0
Virginia,Apr 28 2021,7420,0
Virginia,Apr 21 2021,9428,0
Virginia,Apr 14 2021,11075,0
Virginia,Apr  7 2021,10164,0
Virginia,Mar 31 2021,10268,0
Virginia,Mar 24 2021,10234,0
Virginia,Mar 17 2021,9384,0
Virginia,Mar 10 2021,9119,0
Virginia,Mar  3 2021,11041,0
Virginia,Feb 24 2021,13475,0
Virginia,Feb 17 2021,18023,0
Virginia,Feb 10 2021,23949,0
Virginia,Feb  3 2021,24762,0
Virginia,Jan 27 2021,32937,0
Virginia,Jan 20 2021,43025,0
Virginia,Jan 13 2021,35266,0
Virginia,Jan  6 2021,32965,0
Virginia,Dec 30 2020,25210,0
Virginia,Dec 23 2020,26893,0
Virginia,Dec 16 2020,25128,0
Virginia,Dec  9 2020,24651,0
Virginia,Dec  2 2020,16175,0
Virginia,Nov 25 2020,17447,0
Virginia,Nov 18 2020,12330,0
Virginia,Nov 11 2020,10674,0
Virginia,Nov  4 2020,9079,0
Virginia,Oct 28 2020,7983,0
Virginia,Oct 21 2020,7167,0
Virginia,Oct 14 2020,7914,0
Virginia,Oct  7 2020,5423,0
Virginia,Sep 30 2020,5677,0
Virginia,Sep 23 2020,6229,0
Virginia,Sep 16 2020,7070,0
Virginia,Sep  9 2020,6777,0
Virginia,Sep  2 2020,7058,0
Virginia,Aug 26 2020,6434,0
Virginia,Aug 19 2020,6503,0
Virginia,Aug 12 2020,7471,0
Virginia,Aug  5 2020,7061,0
Virginia,Jul 29 2020,7601,0
Virginia,Jul 22 2020,6862,0
Virginia,Jul 15 2020,6153,0
Virginia,Jul  8 2020,4162,0
Virginia,Jul  1 2020,3708,0
Virginia,Jun 24 2020,3738,0
Virginia,Jun 17 2020,3598,0
Virginia,Jun 10 2020,5267,0
Virginia,Jun  3 2020,6655,0
Virginia,May 27 2020,7336,0
Virginia,May 20 2020,6166,0
Virginia,May 13 2020,5757,0
Virginia,May  6 2020,6026,0
Virginia,Apr 29 2020,4697,0
Virginia,Apr 22 2020,3769,0
Virginia,Apr 15 2020,2848,0
Virginia,Apr  8 2020,2164,0
Virginia,Apr  1 2020,1088,0
Virginia,Mar 25 2020,317,0
Virginia,Mar 18 2020,71,0
Virginia,Mar 11 2020,7,0
Virginia,Mar  4 2020,0,0
Virginia,Feb 26 2020,0,0
Virginia,Feb 19 2020,0,0
Virginia,Feb 12 2020,0,0
Virginia,Feb  5 2020,0,0
Virginia,Jan 29 2020,0,0
