Data Table for Weekly Case Trends - West Virginia
Date generated: Mon Dec 05 2022 13:03:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
West Virginia,Nov 30 2022,1481,0
West Virginia,Nov 23 2022,1352,0
West Virginia,Nov 16 2022,1381,0
West Virginia,Nov  9 2022,1780,0
West Virginia,Nov  2 2022,1858,0
West Virginia,Oct 26 2022,1472,0
West Virginia,Oct 19 2022,1742,0
West Virginia,Oct 12 2022,1695,0
West Virginia,Oct  5 2022,2115,0
West Virginia,Sep 28 2022,2467,0
West Virginia,Sep 21 2022,3497,0
West Virginia,Sep 14 2022,5489,0
West Virginia,Sep  7 2022,5651,0
West Virginia,Aug 31 2022,6242,0
West Virginia,Aug 24 2022,5349,0
West Virginia,Aug 17 2022,5678,0
West Virginia,Aug 10 2022,6102,0
West Virginia,Aug  3 2022,6276,0
West Virginia,Jul 27 2022,6246,0
West Virginia,Jul 20 2022,5711,0
West Virginia,Jul 13 2022,5286,0
West Virginia,Jul  6 2022,3932,0
West Virginia,Jun 29 2022,3795,0
West Virginia,Jun 22 2022,3618,0
West Virginia,Jun 15 2022,3535,0
West Virginia,Jun  8 2022,4342,0
West Virginia,Jun  1 2022,3982,0
West Virginia,May 25 2022,4890,0
West Virginia,May 18 2022,3172,0
West Virginia,May 11 2022,2318,0
West Virginia,May  4 2022,1496,0
West Virginia,Apr 27 2022,1252,0
West Virginia,Apr 20 2022,788,0
West Virginia,Apr 13 2022,437,0
West Virginia,Apr  6 2022,549,0
West Virginia,Mar 30 2022,690,0
West Virginia,Mar 23 2022,1073,0
West Virginia,Mar 16 2022,1876,0
West Virginia,Mar  9 2022,2979,0
West Virginia,Mar  2 2022,4810,0
West Virginia,Feb 23 2022,7088,0
West Virginia,Feb 16 2022,10774,0
West Virginia,Feb  9 2022,16470,0
West Virginia,Feb  2 2022,22894,0
West Virginia,Jan 26 2022,32673,0
West Virginia,Jan 19 2022,29126,0
West Virginia,Jan 12 2022,24610,0
West Virginia,Jan  5 2022,17093,0
West Virginia,Dec 29 2021,7975,0
West Virginia,Dec 22 2021,7294,0
West Virginia,Dec 15 2021,7071,0
West Virginia,Dec  8 2021,7225,0
West Virginia,Dec  1 2021,5040,0
West Virginia,Nov 24 2021,5773,0
West Virginia,Nov 17 2021,5442,0
West Virginia,Nov 10 2021,5184,0
West Virginia,Nov  3 2021,5379,0
West Virginia,Oct 27 2021,6229,0
West Virginia,Oct 20 2021,7124,0
West Virginia,Oct 13 2021,7972,0
West Virginia,Oct  6 2021,9308,0
West Virginia,Sep 29 2021,10991,0
West Virginia,Sep 22 2021,12523,0
West Virginia,Sep 15 2021,13324,0
West Virginia,Sep  8 2021,10504,0
West Virginia,Sep  1 2021,9250,0
West Virginia,Aug 25 2021,6267,0
West Virginia,Aug 18 2021,4443,0
West Virginia,Aug 11 2021,2863,0
West Virginia,Aug  4 2021,1839,0
West Virginia,Jul 28 2021,1097,0
West Virginia,Jul 21 2021,638,0
West Virginia,Jul 14 2021,424,0
West Virginia,Jul  7 2021,292,0
West Virginia,Jun 30 2021,355,0
West Virginia,Jun 23 2021,387,0
West Virginia,Jun 16 2021,574,0
West Virginia,Jun  9 2021,785,0
West Virginia,Jun  2 2021,1159,0
West Virginia,May 26 2021,1628,0
West Virginia,May 19 2021,1942,0
West Virginia,May 12 2021,2251,0
West Virginia,May  5 2021,2662,0
West Virginia,Apr 28 2021,2534,0
West Virginia,Apr 21 2021,2599,0
West Virginia,Apr 14 2021,2816,0
West Virginia,Apr  7 2021,2613,0
West Virginia,Mar 31 2021,2920,0
West Virginia,Mar 24 2021,2490,0
West Virginia,Mar 17 2021,2167,0
West Virginia,Mar 10 2021,1795,0
West Virginia,Mar  3 2021,1973,0
West Virginia,Feb 24 2021,1993,0
West Virginia,Feb 17 2021,2448,0
West Virginia,Feb 10 2021,3474,0
West Virginia,Feb  3 2021,4707,0
West Virginia,Jan 27 2021,6094,0
West Virginia,Jan 20 2021,7427,0
West Virginia,Jan 13 2021,9569,0
West Virginia,Jan  6 2021,10456,0
West Virginia,Dec 30 2020,8289,0
West Virginia,Dec 23 2020,9086,0
West Virginia,Dec 16 2020,8388,0
West Virginia,Dec  9 2020,8557,0
West Virginia,Dec  2 2020,6853,0
West Virginia,Nov 25 2020,6785,0
West Virginia,Nov 18 2020,6064,0
West Virginia,Nov 11 2020,4215,0
West Virginia,Nov  4 2020,2921,0
West Virginia,Oct 28 2020,2333,0
West Virginia,Oct 21 2020,1911,0
West Virginia,Oct 14 2020,1673,0
West Virginia,Oct  7 2020,1300,0
West Virginia,Sep 30 2020,1335,0
West Virginia,Sep 23 2020,1313,0
West Virginia,Sep 16 2020,1388,0
West Virginia,Sep  9 2020,1157,0
West Virginia,Sep  2 2020,1119,0
West Virginia,Aug 26 2020,738,0
West Virginia,Aug 19 2020,783,0
West Virginia,Aug 12 2020,862,0
West Virginia,Aug  5 2020,877,0
West Virginia,Jul 29 2020,1067,0
West Virginia,Jul 22 2020,653,0
West Virginia,Jul 15 2020,851,0
West Virginia,Jul  8 2020,729,0
West Virginia,Jul  1 2020,347,0
West Virginia,Jun 24 2020,257,0
West Virginia,Jun 17 2020,179,0
West Virginia,Jun 10 2020,119,0
West Virginia,Jun  3 2020,188,0
West Virginia,May 27 2020,323,0
West Virginia,May 20 2020,168,0
West Virginia,May 13 2020,157,0
West Virginia,May  6 2020,130,0
West Virginia,Apr 29 2020,168,0
West Virginia,Apr 22 2020,239,0
West Virginia,Apr 15 2020,220,0
West Virginia,Apr  8 2020,292,0
West Virginia,Apr  1 2020,152,0
West Virginia,Mar 25 2020,38,0
West Virginia,Mar 18 2020,1,0
West Virginia,Mar 11 2020,0,0
West Virginia,Mar  4 2020,0,0
West Virginia,Feb 26 2020,0,0
West Virginia,Feb 19 2020,0,0
West Virginia,Feb 12 2020,0,0
West Virginia,Feb  5 2020,0,0
West Virginia,Jan 29 2020,0,0
