Data Table for Weekly Case Trends - Wisconsin
Date generated: Mon Dec 05 2022 13:03:30 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Wisconsin,Nov 30 2022,7202,0
Wisconsin,Nov 23 2022,5927,0
Wisconsin,Nov 16 2022,6076,0
Wisconsin,Nov  9 2022,7196,0
Wisconsin,Nov  2 2022,6981,0
Wisconsin,Oct 26 2022,7536,0
Wisconsin,Oct 19 2022,7115,0
Wisconsin,Oct 12 2022,7046,0
Wisconsin,Oct  5 2022,6947,0
Wisconsin,Sep 28 2022,7074,0
Wisconsin,Sep 21 2022,8408,0
Wisconsin,Sep 14 2022,8869,0
Wisconsin,Sep  7 2022,7668,0
Wisconsin,Aug 31 2022,10176,0
Wisconsin,Aug 24 2022,11464,0
Wisconsin,Aug 17 2022,11611,0
Wisconsin,Aug 10 2022,12506,0
Wisconsin,Aug  3 2022,13543,0
Wisconsin,Jul 27 2022,14069,0
Wisconsin,Jul 20 2022,12679,0
Wisconsin,Jul 13 2022,12231,0
Wisconsin,Jul  6 2022,9336,0
Wisconsin,Jun 29 2022,10717,0
Wisconsin,Jun 22 2022,10863,0
Wisconsin,Jun 15 2022,11221,0
Wisconsin,Jun  8 2022,14615,0
Wisconsin,Jun  1 2022,12994,0
Wisconsin,May 25 2022,14752,0
Wisconsin,May 18 2022,16273,0
Wisconsin,May 11 2022,15319,0
Wisconsin,May  4 2022,10821,0
Wisconsin,Apr 27 2022,8426,0
Wisconsin,Apr 20 2022,5610,0
Wisconsin,Apr 13 2022,5175,0
Wisconsin,Apr  6 2022,3261,0
Wisconsin,Mar 30 2022,2788,0
Wisconsin,Mar 23 2022,2583,0
Wisconsin,Mar 16 2022,2723,0
Wisconsin,Mar  9 2022,3201,0
Wisconsin,Mar  2 2022,4635,0
Wisconsin,Feb 23 2022,7765,0
Wisconsin,Feb 16 2022,12749,0
Wisconsin,Feb  9 2022,22178,0
Wisconsin,Feb  2 2022,40054,0
Wisconsin,Jan 26 2022,70956,0
Wisconsin,Jan 19 2022,162207,0
Wisconsin,Jan 12 2022,96841,0
Wisconsin,Jan  5 2022,52296,0
Wisconsin,Dec 29 2021,31484,0
Wisconsin,Dec 22 2021,28577,0
Wisconsin,Dec 15 2021,31504,0
Wisconsin,Dec  8 2021,25960,0
Wisconsin,Dec  1 2021,23000,0
Wisconsin,Nov 24 2021,26017,0
Wisconsin,Nov 17 2021,23975,0
Wisconsin,Nov 10 2021,20209,0
Wisconsin,Nov  3 2021,15808,0
Wisconsin,Oct 27 2021,14717,0
Wisconsin,Oct 20 2021,15497,0
Wisconsin,Oct 13 2021,18726,0
Wisconsin,Oct  6 2021,20825,0
Wisconsin,Sep 29 2021,20358,0
Wisconsin,Sep 22 2021,22759,0
Wisconsin,Sep 15 2021,15239,0
