Data Table for Weekly Death Trends - Connecticut
Date generated: Mon Dec 05 2022 12:37:43 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Connecticut,Nov 30 2022,15,0
Connecticut,Nov 23 2022,13,0
Connecticut,Nov 16 2022,32,0
Connecticut,Nov  9 2022,49,0
Connecticut,Nov  2 2022,30,0
Connecticut,Oct 26 2022,25,0
Connecticut,Oct 19 2022,21,0
Connecticut,Oct 12 2022,17,0
Connecticut,Oct  5 2022,20,0
Connecticut,Sep 28 2022,23,0
Connecticut,Sep 21 2022,26,0
Connecticut,Sep 14 2022,22,0
Connecticut,Sep  7 2022,25,0
Connecticut,Aug 31 2022,74,0
Connecticut,Aug 24 2022,15,0
Connecticut,Aug 17 2022,16,0
Connecticut,Aug 10 2022,34,0
Connecticut,Aug  3 2022,28,0
Connecticut,Jul 27 2022,10,0
Connecticut,Jul 20 2022,8,0
Connecticut,Jul 13 2022,33,0
Connecticut,Jul  6 2022,6,0
Connecticut,Jun 29 2022,11,0
Connecticut,Jun 22 2022,19,0
Connecticut,Jun 15 2022,16,0
Connecticut,Jun  8 2022,26,0
Connecticut,Jun  1 2022,36,0
Connecticut,May 25 2022,15,0
Connecticut,May 18 2022,40,0
Connecticut,May 11 2022,24,0
Connecticut,May  4 2022,19,0
Connecticut,Apr 27 2022,14,0
Connecticut,Apr 20 2022,16,0
Connecticut,Apr 13 2022,14,0
Connecticut,Apr  6 2022,16,0
Connecticut,Mar 30 2022,37,0
Connecticut,Mar 23 2022,66,0
Connecticut,Mar 16 2022,67,0
Connecticut,Mar  9 2022,97,0
Connecticut,Mar  2 2022,74,0
Connecticut,Feb 23 2022,113,0
Connecticut,Feb 16 2022,111,0
Connecticut,Feb  9 2022,131,0
Connecticut,Feb  2 2022,182,0
Connecticut,Jan 26 2022,231,0
Connecticut,Jan 19 2022,227,0
Connecticut,Jan 12 2022,162,0
Connecticut,Jan  5 2022,121,0
Connecticut,Dec 29 2021,83,0
Connecticut,Dec 22 2021,75,0
Connecticut,Dec 15 2021,56,0
Connecticut,Dec  8 2021,37,0
Connecticut,Dec  1 2021,44,0
Connecticut,Nov 24 2021,31,0
Connecticut,Nov 17 2021,25,0
Connecticut,Nov 10 2021,33,0
Connecticut,Nov  3 2021,24,0
Connecticut,Oct 27 2021,31,0
Connecticut,Oct 20 2021,16,0
Connecticut,Oct 13 2021,38,0
Connecticut,Oct  6 2021,38,0
Connecticut,Sep 29 2021,145,0
Connecticut,Sep 22 2021,37,0
Connecticut,Sep 15 2021,32,0
Connecticut,Sep  8 2021,57,0
Connecticut,Sep  1 2021,23,0
Connecticut,Aug 25 2021,27,0
Connecticut,Aug 18 2021,11,0
Connecticut,Aug 11 2021,5,0
Connecticut,Aug  4 2021,6,0
Connecticut,Jul 28 2021,5,0
Connecticut,Jul 21 2021,3,0
Connecticut,Jul 14 2021,1,0
Connecticut,Jul  7 2021,1,0
Connecticut,Jun 30 2021,6,0
Connecticut,Jun 23 2021,6,0
