Data Table for Weekly Death Trends - Delaware
Date generated: Mon Dec 05 2022 12:37:53 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Delaware,Nov 30 2022,0,0
Delaware,Nov 23 2022,0,0
Delaware,Nov 16 2022,1,0
Delaware,Nov  9 2022,2,0
Delaware,Nov  2 2022,4,0
Delaware,Oct 26 2022,2,0
Delaware,Oct 19 2022,10,0
Delaware,Oct 12 2022,4,0
Delaware,Oct  5 2022,9,0
Delaware,Sep 28 2022,8,0
Delaware,Sep 21 2022,17,0
Delaware,Sep 14 2022,4,0
Delaware,Sep  7 2022,7,0
Delaware,Aug 31 2022,7,0
Delaware,Aug 24 2022,14,0
Delaware,Aug 17 2022,2,0
Delaware,Aug 10 2022,11,0
Delaware,Aug  3 2022,14,0
Delaware,Jul 27 2022,9,0
Delaware,Jul 20 2022,11,0
Delaware,Jul 13 2022,8,0
Delaware,Jul  6 2022,9,0
Delaware,Jun 29 2022,11,0
Delaware,Jun 22 2022,8,0
Delaware,Jun 15 2022,6,0
Delaware,Jun  8 2022,8,0
Delaware,Jun  1 2022,8,0
Delaware,May 25 2022,10,0
Delaware,May 18 2022,5,0
Delaware,May 11 2022,6,0
Delaware,May  4 2022,8,0
Delaware,Apr 27 2022,7,0
Delaware,Apr 20 2022,3,0
Delaware,Apr 13 2022,4,0
Delaware,Apr  6 2022,8,0
Delaware,Mar 30 2022,11,0
Delaware,Mar 23 2022,13,0
Delaware,Mar 16 2022,10,0
Delaware,Mar  9 2022,16,0
Delaware,Mar  2 2022,23,0
Delaware,Feb 23 2022,21,0
Delaware,Feb 16 2022,29,0
Delaware,Feb  9 2022,64,0
Delaware,Feb  2 2022,69,0
Delaware,Jan 26 2022,67,0
Delaware,Jan 19 2022,88,0
Delaware,Jan 12 2022,63,0
Delaware,Jan  5 2022,69,0
Delaware,Dec 29 2021,38,0
Delaware,Dec 22 2021,37,0
Delaware,Dec 15 2021,28,0
Delaware,Dec  8 2021,29,0
Delaware,Dec  1 2021,20,0
Delaware,Nov 24 2021,27,0
Delaware,Nov 17 2021,11,0
Delaware,Nov 10 2021,23,0
Delaware,Nov  3 2021,22,0
Delaware,Oct 27 2021,20,0
Delaware,Oct 20 2021,33,0
Delaware,Oct 13 2021,24,0
Delaware,Oct  6 2021,31,0
Delaware,Sep 29 2021,30,0
Delaware,Sep 22 2021,34,0
Delaware,Sep 15 2021,31,0
Delaware,Sep  8 2021,21,0
Delaware,Sep  1 2021,12,0
Delaware,Aug 25 2021,25,0
Delaware,Aug 18 2021,9,0
Delaware,Aug 11 2021,8,0
Delaware,Aug  4 2021,6,0
Delaware,Jul 28 2021,5,0
Delaware,Jul 21 2021,2,0
Delaware,Jul 14 2021,5,0
Delaware,Jul  7 2021,2,0
Delaware,Jun 30 2021,2,0
Delaware,Jun 23 2021,6,0
Delaware,Jun 16 2021,6,0
Delaware,Jun  9 2021,6,0
Delaware,Jun  2 2021,8,0
Delaware,May 26 2021,9,0
Delaware,May 19 2021,11,0
Delaware,May 12 2021,7,0
Delaware,May  5 2021,13,0
Delaware,Apr 28 2021,20,0
Delaware,Apr 21 2021,11,0
Delaware,Apr 14 2021,26,0
Delaware,Apr  7 2021,17,0
Delaware,Mar 31 2021,11,0
Delaware,Mar 24 2021,17,0
Delaware,Mar 17 2021,16,0
Delaware,Mar 10 2021,26,0
Delaware,Mar  3 2021,25,0
Delaware,Feb 24 2021,24,0
Delaware,Feb 17 2021,47,0
Delaware,Feb 10 2021,54,0
Delaware,Feb  3 2021,64,0
Delaware,Jan 27 2021,81,0
Delaware,Jan 20 2021,82,0
Delaware,Jan 13 2021,81,0
Delaware,Jan  6 2021,63,0
Delaware,Dec 30 2020,80,0
Delaware,Dec 23 2020,76,0
Delaware,Dec 16 2020,63,0
Delaware,Dec  9 2020,39,0
Delaware,Dec  2 2020,29,0
Delaware,Nov 25 2020,28,0
Delaware,Nov 18 2020,21,0
Delaware,Nov 11 2020,16,0
Delaware,Nov  4 2020,27,0
Delaware,Oct 28 2020,22,0
Delaware,Oct 21 2020,20,0
Delaware,Oct 14 2020,16,0
Delaware,Oct  7 2020,12,0
Delaware,Sep 30 2020,13,0
Delaware,Sep 23 2020,6,0
Delaware,Sep 16 2020,5,0
Delaware,Sep  9 2020,8,0
Delaware,Sep  2 2020,6,0
Delaware,Aug 26 2020,3,0
Delaware,Aug 19 2020,4,0
Delaware,Aug 12 2020,7,0
Delaware,Aug  5 2020,5,0
Delaware,Jul 29 2020,9,0
Delaware,Jul 22 2020,8,0
Delaware,Jul 15 2020,12,0
Delaware,Jul  8 2020,9,0
Delaware,Jul  1 2020,10,0
Delaware,Jun 24 2020,16,0
Delaware,Jun 17 2020,14,0
Delaware,Jun 10 2020,31,0
Delaware,Jun  3 2020,36,0
Delaware,May 27 2020,49,0
Delaware,May 20 2020,78,0
Delaware,May 13 2020,70,0
Delaware,May  6 2020,75,0
Delaware,Apr 29 2020,88,0
Delaware,Apr 22 2020,46,0
Delaware,Apr 15 2020,33,0
Delaware,Apr  8 2020,16,0
Delaware,Apr  1 2020,11,0
Delaware,Mar 25 2020,1,0
Delaware,Mar 18 2020,0,0
Delaware,Mar 11 2020,0,0
Delaware,Mar  4 2020,0,0
Delaware,Feb 26 2020,0,0
Delaware,Feb 19 2020,0,0
Delaware,Feb 12 2020,0,0
Delaware,Feb  5 2020,0,0
Delaware,Jan 29 2020,0,0
