Data Table for Weekly Death Trends - Florida
Date generated: Mon Dec 05 2022 12:39:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Florida,Nov 30 2022,226,0
Florida,Nov 23 2022,155,0
Florida,Nov 16 2022,181,0
Florida,Nov  9 2022,178,0
Florida,Nov  2 2022,187,0
Florida,Oct 26 2022,263,0
Florida,Oct 19 2022,252,0
Florida,Oct 12 2022,237,0
Florida,Oct  5 2022,278,0
Florida,Sep 28 2022,356,0
Florida,Sep 21 2022,397,0
Florida,Sep 14 2022,356,0
Florida,Sep  7 2022,458,0
Florida,Aug 31 2022,675,0
Florida,Aug 24 2022,416,0
Florida,Aug 17 2022,468,0
Florida,Aug 10 2022,462,0
Florida,Aug  3 2022,576,0
Florida,Jul 27 2022,408,0
Florida,Jul 20 2022,423,0
Florida,Jul 13 2022,283,0
Florida,Jul  6 2022,385,0
Florida,Jun 29 2022,395,0
Florida,Jun 22 2022,239,0
Florida,Jun 15 2022,266,0
Florida,Jun  8 2022,120,0
Florida,Jun  1 2022,140,0
Florida,May 25 2022,149,0
Florida,May 18 2022,121,0
Florida,May 11 2022,103,0
Florida,May  4 2022,131,0
Florida,Apr 27 2022,128,0
Florida,Apr 20 2022,157,0
Florida,Apr 13 2022,257,0
Florida,Apr  6 2022,259,0
Florida,Mar 30 2022,415,0
Florida,Mar 23 2022,353,0
Florida,Mar 16 2022,1245,0
Florida,Mar  9 2022,1208,0
Florida,Mar  2 2022,900,0
Florida,Feb 23 2022,1318,0
Florida,Feb 16 2022,1298,0
Florida,Feb  9 2022,1320,0
Florida,Feb  2 2022,1196,0
Florida,Jan 26 2022,626,0
Florida,Jan 19 2022,448,0
Florida,Jan 12 2022,213,0
Florida,Jan  5 2022,132,0
Florida,Dec 29 2021,131,0
Florida,Dec 22 2021,197,0
Florida,Dec 15 2021,313,0
Florida,Dec  8 2021,211,0
Florida,Dec  1 2021,433,0
Florida,Nov 24 2021,357,0
Florida,Nov 17 2021,391,0
Florida,Nov 10 2021,701,0
Florida,Nov  3 2021,804,0
Florida,Oct 27 2021,944,0
Florida,Oct 20 2021,1207,0
Florida,Oct 13 2021,1361,0
Florida,Oct  6 2021,1709,0
Florida,Sep 29 2021,2339,0
Florida,Sep 22 2021,2468,0
Florida,Sep 15 2021,2448,0
Florida,Sep  8 2021,2345,0
Florida,Sep  1 2021,1727,0
Florida,Aug 25 2021,1114,0
Florida,Aug 18 2021,967,0
Florida,Aug 11 2021,1092,0
Florida,Aug  4 2021,409,0
Florida,Jul 28 2021,282,0
Florida,Jul 21 2021,231,0
Florida,Jul 14 2021,172,0
Florida,Jul  7 2021,213,0
Florida,Jun 30 2021,217,0
Florida,Jun 23 2021,290,0
Florida,Jun 16 2021,280,0
Florida,Jun  9 2021,60,0
Florida,Jun  2 2021,283,0
Florida,May 26 2021,360,0
Florida,May 19 2021,400,0
Florida,May 12 2021,397,0
Florida,May  5 2021,455,0
Florida,Apr 28 2021,424,0
Florida,Apr 21 2021,439,0
Florida,Apr 14 2021,358,0
Florida,Apr  7 2021,391,0
Florida,Mar 31 2021,564,0
Florida,Mar 24 2021,349,0
Florida,Mar 17 2021,539,0
Florida,Mar 10 2021,703,0
Florida,Mar  3 2021,913,0
Florida,Feb 24 2021,1036,0
Florida,Feb 17 2021,1105,0
Florida,Feb 10 2021,1187,0
Florida,Feb  3 2021,1189,0
Florida,Jan 27 2021,1252,0
Florida,Jan 20 2021,1185,0
Florida,Jan 13 2021,1080,0
Florida,Jan  6 2021,772,0
Florida,Dec 30 2020,664,0
Florida,Dec 23 2020,684,0
Florida,Dec 16 2020,723,0
Florida,Dec  9 2020,695,0
Florida,Dec  2 2020,531,0
Florida,Nov 25 2020,515,0
Florida,Nov 18 2020,432,0
Florida,Nov 11 2020,380,0
Florida,Nov  4 2020,354,0
Florida,Oct 28 2020,358,0
Florida,Oct 21 2020,613,0
Florida,Oct 14 2020,688,0
Florida,Oct  7 2020,594,0
Florida,Sep 30 2020,697,0
Florida,Sep 23 2020,679,0
Florida,Sep 16 2020,829,0
Florida,Sep  9 2020,608,0
Florida,Sep  2 2020,767,0
Florida,Aug 26 2020,801,0
Florida,Aug 19 2020,1167,0
Florida,Aug 12 2020,1138,0
Florida,Aug  5 2020,1294,0
Florida,Jul 29 2020,987,0
Florida,Jul 22 2020,825,0
Florida,Jul 15 2020,631,0
Florida,Jul  8 2020,338,0
Florida,Jul  1 2020,269,0
Florida,Jun 24 2020,265,0
Florida,Jun 17 2020,218,0
Florida,Jun 10 2020,236,0
Florida,Jun  3 2020,246,0
Florida,May 27 2020,223,0
Florida,May 20 2020,268,0
Florida,May 13 2020,291,0
Florida,May  6 2020,318,0
Florida,Apr 29 2020,325,0
Florida,Apr 22 2020,297,0
Florida,Apr 15 2020,287,0
Florida,Apr  8 2020,222,0
Florida,Apr  1 2020,64,0
Florida,Mar 25 2020,16,0
Florida,Mar 18 2020,5,0
Florida,Mar 11 2020,2,0
Florida,Mar  4 2020,0,0
Florida,Feb 26 2020,0,0
Florida,Feb 19 2020,0,0
Florida,Feb 12 2020,0,0
Florida,Feb  5 2020,0,0
Florida,Jan 29 2020,0,0
