Data Table for Weekly Death Trends - Illinois
Date generated: Mon Dec 05 2022 12:40:05 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Illinois,Nov 30 2022,57,0
Illinois,Nov 23 2022,73,0
Illinois,Nov 16 2022,91,0
Illinois,Nov  9 2022,51,0
Illinois,Nov  2 2022,85,0
Illinois,Oct 26 2022,72,0
Illinois,Oct 19 2022,73,0
Illinois,Oct 12 2022,57,0
Illinois,Oct  5 2022,80,0
Illinois,Sep 28 2022,68,0
Illinois,Sep 21 2022,101,0
Illinois,Sep 14 2022,90,0
Illinois,Sep  7 2022,78,0
Illinois,Aug 31 2022,93,0
Illinois,Aug 24 2022,90,0
Illinois,Aug 17 2022,86,0
Illinois,Aug 10 2022,136,0
Illinois,Aug  3 2022,77,0
Illinois,Jul 27 2022,61,0
Illinois,Jul 20 2022,78,0
Illinois,Jul 13 2022,74,0
Illinois,Jul  6 2022,64,0
Illinois,Jun 29 2022,107,0
Illinois,Jun 22 2022,94,0
Illinois,Jun 15 2022,98,0
Illinois,Jun  8 2022,109,0
Illinois,Jun  1 2022,47,0
Illinois,May 25 2022,73,0
Illinois,May 18 2022,47,0
Illinois,May 11 2022,60,0
Illinois,May  4 2022,53,0
Illinois,Apr 27 2022,41,0
Illinois,Apr 20 2022,40,0
Illinois,Apr 13 2022,62,0
Illinois,Apr  6 2022,94,0
Illinois,Mar 30 2022,93,0
Illinois,Mar 23 2022,136,0
Illinois,Mar 16 2022,204,0
Illinois,Mar  9 2022,205,0
Illinois,Mar  2 2022,398,0
Illinois,Feb 23 2022,414,0
Illinois,Feb 16 2022,596,0
Illinois,Feb  9 2022,633,0
Illinois,Feb  2 2022,834,0
Illinois,Jan 26 2022,1079,0
Illinois,Jan 19 2022,865,0
Illinois,Jan 12 2022,771,0
Illinois,Jan  5 2022,508,0
Illinois,Dec 29 2021,426,0
Illinois,Dec 22 2021,406,0
Illinois,Dec 15 2021,342,0
Illinois,Dec  8 2021,302,0
Illinois,Dec  1 2021,174,0
Illinois,Nov 24 2021,175,0
Illinois,Nov 17 2021,154,0
Illinois,Nov 10 2021,158,0
Illinois,Nov  3 2021,221,0
Illinois,Oct 27 2021,206,0
Illinois,Oct 20 2021,255,0
Illinois,Oct 13 2021,211,0
Illinois,Oct  6 2021,258,0
Illinois,Sep 29 2021,268,0
Illinois,Sep 22 2021,290,0
Illinois,Sep 15 2021,292,0
Illinois,Sep  8 2021,234,0
Illinois,Sep  1 2021,200,0
Illinois,Aug 25 2021,153,0
Illinois,Aug 18 2021,136,0
Illinois,Aug 11 2021,88,0
Illinois,Aug  4 2021,67,0
Illinois,Jul 28 2021,39,0
Illinois,Jul 21 2021,53,0
Illinois,Jul 14 2021,67,0
Illinois,Jul  7 2021,60,0
Illinois,Jun 30 2021,67,0
Illinois,Jun 23 2021,75,0
Illinois,Jun 16 2021,119,0
Illinois,Jun  9 2021,172,0
Illinois,Jun  2 2021,184,0
Illinois,May 26 2021,195,0
Illinois,May 19 2021,225,0
Illinois,May 12 2021,196,0
Illinois,May  5 2021,231,0
Illinois,Apr 28 2021,193,0
Illinois,Apr 21 2021,152,0
Illinois,Apr 14 2021,164,0
Illinois,Apr  7 2021,124,0
Illinois,Mar 31 2021,168,0
Illinois,Mar 24 2021,153,0
Illinois,Mar 17 2021,186,0
Illinois,Mar 10 2021,217,0
Illinois,Mar  3 2021,277,0
Illinois,Feb 24 2021,350,0
Illinois,Feb 17 2021,359,0
Illinois,Feb 10 2021,448,0
Illinois,Feb  3 2021,468,0
Illinois,Jan 27 2021,665,0
Illinois,Jan 20 2021,667,0
Illinois,Jan 13 2021,883,0
Illinois,Jan  6 2021,925,0
Illinois,Dec 30 2020,969,0
Illinois,Dec 23 2020,1064,0
Illinois,Dec 16 2020,1163,0
Illinois,Dec  9 2020,1217,0
Illinois,Dec  2 2020,958,0
Illinois,Nov 25 2020,969,0
Illinois,Nov 18 2020,672,0
Illinois,Nov 11 2020,581,0
Illinois,Nov  4 2020,329,0
Illinois,Oct 28 2020,285,0
Illinois,Oct 21 2020,283,0
Illinois,Oct 14 2020,194,0
Illinois,Oct  7 2020,211,0
Illinois,Sep 30 2020,171,0
Illinois,Sep 23 2020,145,0
Illinois,Sep 16 2020,166,0
Illinois,Sep  9 2020,133,0
Illinois,Sep  2 2020,137,0
Illinois,Aug 26 2020,146,0
Illinois,Aug 19 2020,137,0
Illinois,Aug 12 2020,110,0
Illinois,Aug  5 2020,116,0
Illinois,Jul 29 2020,115,0
Illinois,Jul 22 2020,114,0
Illinois,Jul 15 2020,119,0
Illinois,Jul  8 2020,357,0
Illinois,Jul  1 2020,182,0
Illinois,Jun 24 2020,283,0
Illinois,Jun 17 2020,390,0
Illinois,Jun 10 2020,474,0
Illinois,Jun  3 2020,538,0
Illinois,May 27 2020,558,0
Illinois,May 20 2020,733,0
Illinois,May 13 2020,817,0
Illinois,May  6 2020,760,0
Illinois,Apr 29 2020,649,0
Illinois,Apr 22 2020,616,0
Illinois,Apr 15 2020,487,0
Illinois,Apr  8 2020,321,0
Illinois,Apr  1 2020,122,0
Illinois,Mar 25 2020,18,0
Illinois,Mar 18 2020,1,0
Illinois,Mar 11 2020,0,0
Illinois,Mar  4 2020,0,0
Illinois,Feb 26 2020,0,0
Illinois,Feb 19 2020,0,0
Illinois,Feb 12 2020,0,0
Illinois,Feb  5 2020,0,0
Illinois,Jan 29 2020,0,0
