Data Table for Weekly Death Trends - Indiana
Date generated: Mon Dec 05 2022 12:40:27 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Indiana,Nov 30 2022,26,0
Indiana,Nov 23 2022,59,0
Indiana,Nov 16 2022,66,0
Indiana,Nov  9 2022,63,0
Indiana,Nov  2 2022,50,0
Indiana,Oct 26 2022,38,0
Indiana,Oct 19 2022,116,0
Indiana,Oct 12 2022,0,0
Indiana,Oct  5 2022,39,0
Indiana,Sep 28 2022,67,0
Indiana,Sep 21 2022,60,0
Indiana,Sep 14 2022,76,0
Indiana,Sep  7 2022,52,0
Indiana,Aug 31 2022,75,0
Indiana,Aug 24 2022,66,0
Indiana,Aug 17 2022,89,0
Indiana,Aug 10 2022,69,0
Indiana,Aug  3 2022,68,0
Indiana,Jul 27 2022,57,0
Indiana,Jul 20 2022,47,0
Indiana,Jul 13 2022,82,0
Indiana,Jul  6 2022,22,0
Indiana,Jun 29 2022,36,0
Indiana,Jun 22 2022,39,0
Indiana,Jun 15 2022,35,0
Indiana,Jun  8 2022,57,0
Indiana,Jun  1 2022,22,0
Indiana,May 25 2022,30,0
Indiana,May 18 2022,30,0
Indiana,May 11 2022,41,0
Indiana,May  4 2022,22,0
Indiana,Apr 27 2022,33,0
Indiana,Apr 20 2022,25,0
Indiana,Apr 13 2022,49,0
Indiana,Apr  6 2022,84,0
Indiana,Mar 30 2022,40,0
Indiana,Mar 23 2022,105,0
Indiana,Mar 16 2022,114,0
Indiana,Mar  9 2022,187,0
Indiana,Mar  2 2022,235,0
Indiana,Feb 23 2022,316,0
Indiana,Feb 16 2022,466,0
Indiana,Feb  9 2022,313,0
Indiana,Feb  2 2022,542,0
Indiana,Jan 26 2022,553,0
Indiana,Jan 19 2022,468,0
Indiana,Jan 12 2022,739,0
Indiana,Jan  5 2022,308,0
Indiana,Dec 29 2021,292,0
Indiana,Dec 22 2021,424,0
Indiana,Dec 15 2021,363,0
Indiana,Dec  8 2021,288,0
Indiana,Dec  1 2021,235,0
Indiana,Nov 24 2021,195,0
Indiana,Nov 17 2021,197,0
Indiana,Nov 10 2021,156,0
Indiana,Nov  3 2021,200,0
Indiana,Oct 27 2021,216,0
Indiana,Oct 20 2021,282,0
Indiana,Oct 13 2021,222,0
Indiana,Oct  6 2021,294,0
Indiana,Sep 29 2021,308,0
Indiana,Sep 22 2021,305,0
Indiana,Sep 15 2021,302,0
Indiana,Sep  8 2021,189,0
Indiana,Sep  1 2021,180,0
Indiana,Aug 25 2021,142,0
Indiana,Aug 18 2021,88,0
Indiana,Aug 11 2021,71,0
Indiana,Aug  4 2021,46,0
Indiana,Jul 28 2021,32,0
Indiana,Jul 21 2021,24,0
Indiana,Jul 14 2021,45,0
Indiana,Jul  7 2021,44,0
Indiana,Jun 30 2021,37,0
Indiana,Jun 23 2021,50,0
Indiana,Jun 16 2021,56,0
Indiana,Jun  9 2021,69,0
Indiana,Jun  2 2021,65,0
Indiana,May 26 2021,53,0
Indiana,May 19 2021,74,0
Indiana,May 12 2021,71,0
Indiana,May  5 2021,62,0
Indiana,Apr 28 2021,65,0
Indiana,Apr 21 2021,60,0
Indiana,Apr 14 2021,88,0
Indiana,Apr  7 2021,60,0
Indiana,Mar 31 2021,65,0
Indiana,Mar 24 2021,83,0
Indiana,Mar 17 2021,113,0
Indiana,Mar 10 2021,144,0
Indiana,Mar  3 2021,166,0
Indiana,Feb 24 2021,219,0
Indiana,Feb 17 2021,248,0
Indiana,Feb 10 2021,597,0
Indiana,Feb  3 2021,266,0
Indiana,Jan 27 2021,352,0
Indiana,Jan 20 2021,451,0
Indiana,Jan 13 2021,451,0
Indiana,Jan  6 2021,569,0
Indiana,Dec 30 2020,656,0
Indiana,Dec 23 2020,678,0
Indiana,Dec 16 2020,691,0
Indiana,Dec  9 2020,672,0
Indiana,Dec  2 2020,596,0
Indiana,Nov 25 2020,541,0
Indiana,Nov 18 2020,429,0
Indiana,Nov 11 2020,371,0
Indiana,Nov  4 2020,298,0
Indiana,Oct 28 2020,239,0
Indiana,Oct 21 2020,220,0
Indiana,Oct 14 2020,159,0
Indiana,Oct  7 2020,121,0
Indiana,Sep 30 2020,112,0
Indiana,Sep 23 2020,90,0
Indiana,Sep 16 2020,79,0
Indiana,Sep  9 2020,84,0
Indiana,Sep  2 2020,76,0
Indiana,Aug 26 2020,78,0
Indiana,Aug 19 2020,103,0
Indiana,Aug 12 2020,92,0
Indiana,Aug  5 2020,65,0
Indiana,Jul 29 2020,71,0
Indiana,Jul 22 2020,73,0
Indiana,Jul 15 2020,68,0
Indiana,Jul  8 2020,71,0
Indiana,Jul  1 2020,77,0
Indiana,Jun 24 2020,86,0
Indiana,Jun 17 2020,111,0
Indiana,Jun 10 2020,130,0
Indiana,Jun  3 2020,144,0
Indiana,May 27 2020,155,0
Indiana,May 20 2020,241,0
Indiana,May 13 2020,216,0
Indiana,May  6 2020,306,0
Indiana,Apr 29 2020,278,0
Indiana,Apr 22 2020,270,0
Indiana,Apr 15 2020,229,0
Indiana,Apr  8 2020,204,0
Indiana,Apr  1 2020,100,0
Indiana,Mar 25 2020,30,0
Indiana,Mar 18 2020,4,0
Indiana,Mar 11 2020,0,0
Indiana,Mar  4 2020,0,0
Indiana,Feb 26 2020,0,0
Indiana,Feb 19 2020,0,0
Indiana,Feb 12 2020,0,0
Indiana,Feb  5 2020,0,0
Indiana,Jan 29 2020,0,0
