Data Table for Weekly Death Trends - Kentucky
Date generated: Mon Dec 05 2022 12:41:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Kentucky,Nov 30 2022,43,0
Kentucky,Nov 23 2022,49,0
Kentucky,Nov 16 2022,49,0
Kentucky,Nov  9 2022,40,0
Kentucky,Nov  2 2022,60,0
Kentucky,Oct 26 2022,70,0
Kentucky,Oct 19 2022,80,0
Kentucky,Oct 12 2022,81,0
Kentucky,Oct  5 2022,61,0
Kentucky,Sep 28 2022,67,0
Kentucky,Sep 21 2022,80,0
Kentucky,Sep 14 2022,65,0
Kentucky,Sep  7 2022,78,0
Kentucky,Aug 31 2022,76,0
Kentucky,Aug 24 2022,63,0
Kentucky,Aug 17 2022,76,0
Kentucky,Aug 10 2022,68,0
Kentucky,Aug  3 2022,45,0
Kentucky,Jul 27 2022,59,0
Kentucky,Jul 20 2022,49,0
Kentucky,Jul 13 2022,61,0
Kentucky,Jul  6 2022,38,0
Kentucky,Jun 29 2022,30,0
Kentucky,Jun 22 2022,51,0
Kentucky,Jun 15 2022,59,0
Kentucky,Jun  8 2022,63,0
Kentucky,Jun  1 2022,37,0
Kentucky,May 25 2022,78,0
Kentucky,May 18 2022,93,0
Kentucky,May 11 2022,165,0
Kentucky,May  4 2022,155,0
Kentucky,Apr 27 2022,385,0
Kentucky,Apr 20 2022,0,0
Kentucky,Apr 13 2022,0,0
Kentucky,Apr  6 2022,133,0
Kentucky,Mar 30 2022,236,0
Kentucky,Mar 23 2022,279,0
Kentucky,Mar 16 2022,283,0
Kentucky,Mar  9 2022,197,0
Kentucky,Mar  2 2022,236,0
Kentucky,Feb 23 2022,215,0
Kentucky,Feb 16 2022,267,0
Kentucky,Feb  9 2022,208,0
Kentucky,Feb  2 2022,188,0
Kentucky,Jan 26 2022,172,0
Kentucky,Jan 19 2022,180,0
Kentucky,Jan 12 2022,179,0
Kentucky,Jan  5 2022,158,0
Kentucky,Dec 29 2021,214,0
Kentucky,Dec 22 2021,207,0
Kentucky,Dec 15 2021,329,0
Kentucky,Dec  8 2021,404,0
Kentucky,Dec  1 2021,183,0
Kentucky,Nov 24 2021,442,0
Kentucky,Nov 17 2021,256,0
Kentucky,Nov 10 2021,229,0
Kentucky,Nov  3 2021,168,0
Kentucky,Oct 27 2021,240,0
Kentucky,Oct 20 2021,243,0
Kentucky,Oct 13 2021,263,0
Kentucky,Oct  6 2021,286,0
Kentucky,Sep 29 2021,265,0
Kentucky,Sep 22 2021,276,0
Kentucky,Sep 15 2021,192,0
Kentucky,Sep  8 2021,139,0
Kentucky,Sep  1 2021,188,0
Kentucky,Aug 25 2021,116,0
Kentucky,Aug 18 2021,66,0
Kentucky,Aug 11 2021,43,0
Kentucky,Aug  4 2021,28,0
Kentucky,Jul 28 2021,19,0
Kentucky,Jul 21 2021,34,0
Kentucky,Jul 14 2021,25,0
Kentucky,Jul  7 2021,29,0
Kentucky,Jun 30 2021,24,0
Kentucky,Jun 23 2021,23,0
Kentucky,Jun 16 2021,62,0
Kentucky,Jun  9 2021,45,0
Kentucky,Jun  2 2021,338,0
Kentucky,May 26 2021,53,0
Kentucky,May 19 2021,53,0
Kentucky,May 12 2021,87,0
Kentucky,May  5 2021,55,0
Kentucky,Apr 28 2021,113,0
Kentucky,Apr 21 2021,101,0
Kentucky,Apr 14 2021,78,0
Kentucky,Apr  7 2021,117,0
Kentucky,Mar 31 2021,250,0
Kentucky,Mar 24 2021,785,0
Kentucky,Mar 17 2021,179,0
Kentucky,Mar 10 2021,179,0
Kentucky,Mar  3 2021,195,0
