Data Table for Weekly Death Trends - Maryland
Date generated: Mon Dec 05 2022 12:42:06 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Maryland,Nov 30 2022,44,0
Maryland,Nov 23 2022,39,0
Maryland,Nov 16 2022,48,0
Maryland,Nov  9 2022,25,0
Maryland,Nov  2 2022,47,0
Maryland,Oct 26 2022,34,0
Maryland,Oct 19 2022,42,0
Maryland,Oct 12 2022,36,0
Maryland,Oct  5 2022,33,0
Maryland,Sep 28 2022,46,0
Maryland,Sep 21 2022,55,0
Maryland,Sep 14 2022,58,0
Maryland,Sep  7 2022,39,0
Maryland,Aug 31 2022,52,0
Maryland,Aug 24 2022,43,0
Maryland,Aug 17 2022,52,0
Maryland,Aug 10 2022,35,0
Maryland,Aug  3 2022,44,0
Maryland,Jul 27 2022,65,0
Maryland,Jul 20 2022,35,0
Maryland,Jul 13 2022,36,0
Maryland,Jul  6 2022,42,0
Maryland,Jun 29 2022,32,0
Maryland,Jun 22 2022,50,0
Maryland,Jun 15 2022,48,0
Maryland,Jun  8 2022,42,0
Maryland,Jun  1 2022,32,0
Maryland,May 25 2022,36,0
Maryland,May 18 2022,35,0
Maryland,May 11 2022,30,0
Maryland,May  4 2022,39,0
Maryland,Apr 27 2022,29,0
Maryland,Apr 20 2022,20,0
Maryland,Apr 13 2022,27,0
Maryland,Apr  6 2022,20,0
Maryland,Mar 30 2022,34,0
Maryland,Mar 23 2022,30,0
Maryland,Mar 16 2022,62,0
Maryland,Mar  9 2022,71,0
Maryland,Mar  2 2022,85,0
Maryland,Feb 23 2022,97,0
Maryland,Feb 16 2022,138,0
Maryland,Feb  9 2022,255,0
Maryland,Feb  2 2022,292,0
Maryland,Jan 26 2022,414,0
Maryland,Jan 19 2022,451,0
Maryland,Jan 12 2022,422,0
Maryland,Jan  5 2022,290,0
Maryland,Dec 29 2021,448,0
Maryland,Dec 22 2021,0,0
Maryland,Dec 15 2021,0,0
Maryland,Dec  8 2021,35,0
Maryland,Dec  1 2021,72,0
Maryland,Nov 24 2021,62,0
Maryland,Nov 17 2021,72,0
Maryland,Nov 10 2021,89,0
Maryland,Nov  3 2021,84,0
Maryland,Oct 27 2021,83,0
Maryland,Oct 20 2021,114,0
Maryland,Oct 13 2021,109,0
Maryland,Oct  6 2021,109,0
Maryland,Sep 29 2021,94,0
Maryland,Sep 22 2021,115,0
Maryland,Sep 15 2021,102,0
Maryland,Sep  8 2021,91,0
Maryland,Sep  1 2021,58,0
Maryland,Aug 25 2021,59,0
Maryland,Aug 18 2021,37,0
Maryland,Aug 11 2021,30,0
Maryland,Aug  4 2021,27,0
Maryland,Jul 28 2021,21,0
Maryland,Jul 21 2021,23,0
Maryland,Jul 14 2021,15,0
Maryland,Jul  7 2021,13,0
Maryland,Jun 30 2021,19,0
Maryland,Jun 23 2021,27,0
Maryland,Jun 16 2021,37,0
Maryland,Jun  9 2021,36,0
Maryland,Jun  2 2021,585,0
Maryland,May 26 2021,80,0
Maryland,May 19 2021,78,0
Maryland,May 12 2021,66,0
Maryland,May  5 2021,104,0
Maryland,Apr 28 2021,104,0
Maryland,Apr 21 2021,112,0
Maryland,Apr 14 2021,104,0
Maryland,Apr  7 2021,103,0
Maryland,Mar 31 2021,72,0
Maryland,Mar 24 2021,115,0
Maryland,Mar 17 2021,97,0
Maryland,Mar 10 2021,84,0
Maryland,Mar  3 2021,129,0
Maryland,Feb 24 2021,158,0
Maryland,Feb 17 2021,186,0
Maryland,Feb 10 2021,225,0
Maryland,Feb  3 2021,224,0
Maryland,Jan 27 2021,306,0
Maryland,Jan 20 2021,287,0
Maryland,Jan 13 2021,271,0
Maryland,Jan  6 2021,282,0
Maryland,Dec 30 2020,282,0
Maryland,Dec 23 2020,298,0
Maryland,Dec 16 2020,308,0
Maryland,Dec  9 2020,245,0
Maryland,Dec  2 2020,199,0
Maryland,Nov 25 2020,168,0
Maryland,Nov 18 2020,102,0
Maryland,Nov 11 2020,78,0
Maryland,Nov  4 2020,55,0
Maryland,Oct 28 2020,57,0
Maryland,Oct 21 2020,36,0
Maryland,Oct 14 2020,48,0
Maryland,Oct  7 2020,26,0
Maryland,Sep 30 2020,47,0
Maryland,Sep 23 2020,46,0
Maryland,Sep 16 2020,39,0
Maryland,Sep  9 2020,48,0
Maryland,Sep  2 2020,52,0
Maryland,Aug 26 2020,55,0
Maryland,Aug 19 2020,49,0
Maryland,Aug 12 2020,76,0
Maryland,Aug  5 2020,59,0
Maryland,Jul 29 2020,74,0
Maryland,Jul 22 2020,64,0
Maryland,Jul 15 2020,63,0
Maryland,Jul  8 2020,71,0
Maryland,Jul  1 2020,98,0
Maryland,Jun 24 2020,114,0
Maryland,Jun 17 2020,148,0
Maryland,Jun 10 2020,205,0
Maryland,Jun  3 2020,248,0
Maryland,May 27 2020,269,0
Maryland,May 20 2020,315,0
Maryland,May 13 2020,371,0
Maryland,May  6 2020,360,0
Maryland,Apr 29 2020,378,0
Maryland,Apr 22 2020,393,0
Maryland,Apr 15 2020,182,0
Maryland,Apr  8 2020,93,0
Maryland,Apr  1 2020,27,0
Maryland,Mar 25 2020,4,0
Maryland,Mar 18 2020,0,0
Maryland,Mar 11 2020,0,0
Maryland,Mar  4 2020,0,0
Maryland,Feb 26 2020,0,0
Maryland,Feb 19 2020,0,0
Maryland,Feb 12 2020,0,0
Maryland,Feb  5 2020,0,0
Maryland,Jan 29 2020,0,0
