Data Table for Weekly Death Trends - Michigan
Date generated: Mon Dec 05 2022 12:42:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Michigan,Nov 30 2022,113,0
Michigan,Nov 23 2022,275,0
Michigan,Nov 16 2022,123,0
Michigan,Nov  9 2022,168,0
Michigan,Nov  2 2022,157,0
Michigan,Oct 26 2022,157,0
Michigan,Oct 19 2022,173,0
Michigan,Oct 12 2022,152,0
Michigan,Oct  5 2022,144,0
Michigan,Sep 28 2022,159,0
Michigan,Sep 21 2022,147,0
Michigan,Sep 14 2022,196,0
Michigan,Sep  7 2022,83,0
Michigan,Aug 31 2022,131,0
Michigan,Aug 24 2022,133,0
Michigan,Aug 17 2022,104,0
Michigan,Aug 10 2022,137,0
Michigan,Aug  3 2022,107,0
Michigan,Jul 27 2022,136,0
Michigan,Jul 20 2022,153,0
Michigan,Jul 13 2022,157,0
Michigan,Jul  6 2022,67,0
Michigan,Jun 29 2022,169,0
Michigan,Jun 22 2022,74,0
Michigan,Jun 15 2022,134,0
Michigan,Jun  8 2022,132,0
Michigan,Jun  1 2022,53,0
Michigan,May 25 2022,136,0
Michigan,May 18 2022,78,0
Michigan,May 11 2022,81,0
Michigan,May  4 2022,60,0
Michigan,Apr 27 2022,76,0
Michigan,Apr 20 2022,78,0
Michigan,Apr 13 2022,81,0
Michigan,Apr  6 2022,109,0
Michigan,Mar 30 2022,127,0
Michigan,Mar 23 2022,178,0
Michigan,Mar 16 2022,218,0
Michigan,Mar  9 2022,364,0
Michigan,Mar  2 2022,396,0
Michigan,Feb 23 2022,499,0
Michigan,Feb 16 2022,584,0
Michigan,Feb  9 2022,650,0
Michigan,Feb  2 2022,651,0
Michigan,Jan 26 2022,711,0
Michigan,Jan 19 2022,863,0
Michigan,Jan 12 2022,752,0
Michigan,Jan  5 2022,639,0
Michigan,Dec 29 2021,675,0
Michigan,Dec 22 2021,886,0
Michigan,Dec 15 2021,811,0
Michigan,Dec  8 2021,853,0
Michigan,Dec  1 2021,552,0
Michigan,Nov 24 2021,559,0
Michigan,Nov 17 2021,466,0
Michigan,Nov 10 2021,340,0
Michigan,Nov  3 2021,351,0
Michigan,Oct 27 2021,359,0
Michigan,Oct 20 2021,305,0
Michigan,Oct 13 2021,253,0
Michigan,Oct  6 2021,254,0
Michigan,Sep 29 2021,227,0
Michigan,Sep 22 2021,211,0
Michigan,Sep 15 2021,171,0
Michigan,Sep  8 2021,134,0
Michigan,Sep  1 2021,168,0
Michigan,Aug 25 2021,95,0
Michigan,Aug 18 2021,99,0
Michigan,Aug 11 2021,45,0
Michigan,Aug  4 2021,49,0
Michigan,Jul 28 2021,42,0
Michigan,Jul 21 2021,30,0
Michigan,Jul 14 2021,62,0
Michigan,Jul  7 2021,34,0
Michigan,Jun 30 2021,78,0
Michigan,Jun 23 2021,91,0
Michigan,Jun 16 2021,152,0
Michigan,Jun  9 2021,252,0
Michigan,Jun  2 2021,175,0
Michigan,May 26 2021,311,0
Michigan,May 19 2021,395,0
Michigan,May 12 2021,436,0
Michigan,May  5 2021,498,0
Michigan,Apr 28 2021,471,0
Michigan,Apr 21 2021,436,0
Michigan,Apr 14 2021,322,0
Michigan,Apr  7 2021,252,0
Michigan,Mar 31 2021,173,0
Michigan,Mar 24 2021,137,0
Michigan,Mar 17 2021,112,0
Michigan,Mar 10 2021,146,0
Michigan,Mar  3 2021,163,0
Michigan,Feb 24 2021,229,0
Michigan,Feb 17 2021,221,0
Michigan,Feb 10 2021,294,0
Michigan,Feb  3 2021,328,0
Michigan,Jan 27 2021,552,0
Michigan,Jan 20 2021,433,0
Michigan,Jan 13 2021,668,0
Michigan,Jan  6 2021,650,0
Michigan,Dec 30 2020,601,0
Michigan,Dec 23 2020,825,0
Michigan,Dec 16 2020,882,0
Michigan,Dec  9 2020,857,0
Michigan,Dec  2 2020,679,0
Michigan,Nov 25 2020,598,0
Michigan,Nov 18 2020,435,0
Michigan,Nov 11 2020,354,0
Michigan,Nov  4 2020,181,0
Michigan,Oct 28 2020,186,0
Michigan,Oct 21 2020,147,0
Michigan,Oct 14 2020,102,0
Michigan,Oct  7 2020,89,0
Michigan,Sep 30 2020,69,0
Michigan,Sep 23 2020,71,0
Michigan,Sep 16 2020,70,0
Michigan,Sep  9 2020,88,0
Michigan,Sep  2 2020,92,0
Michigan,Aug 26 2020,72,0
Michigan,Aug 19 2020,78,0
Michigan,Aug 12 2020,65,0
Michigan,Aug  5 2020,54,0
Michigan,Jul 29 2020,39,0
Michigan,Jul 22 2020,54,0
Michigan,Jul 15 2020,65,0
Michigan,Jul  8 2020,64,0
Michigan,Jul  1 2020,83,0
Michigan,Jun 24 2020,79,0
Michigan,Jun 17 2020,85,0
Michigan,Jun 10 2020,138,0
Michigan,Jun  3 2020,239,0
Michigan,May 27 2020,278,0
Michigan,May 20 2020,351,0
Michigan,May 13 2020,480,0
Michigan,May  6 2020,595,0
Michigan,Apr 29 2020,882,0
Michigan,Apr 22 2020,932,0
Michigan,Apr 15 2020,1018,0
Michigan,Apr  8 2020,667,0
Michigan,Apr  1 2020,319,0
Michigan,Mar 25 2020,49,0
Michigan,Mar 18 2020,2,0
Michigan,Mar 11 2020,0,0
Michigan,Mar  4 2020,0,0
Michigan,Feb 26 2020,0,0
Michigan,Feb 19 2020,0,0
Michigan,Feb 12 2020,0,0
Michigan,Feb  5 2020,0,0
Michigan,Jan 29 2020,0,0
