Data Table for Weekly Death Trends - Nebraska
Date generated: Mon Dec 05 2022 12:46:55 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Nebraska,Nov 30 2022,10,0
Nebraska,Nov 23 2022,31,0
Nebraska,Nov 16 2022,16,0
Nebraska,Nov  9 2022,44,0
Nebraska,Nov  2 2022,12,0
Nebraska,Oct 26 2022,4,0
Nebraska,Oct 19 2022,7,0
Nebraska,Oct 12 2022,3,0
Nebraska,Oct  5 2022,12,0
Nebraska,Sep 28 2022,44,0
Nebraska,Sep 21 2022,87,0
Nebraska,Sep 14 2022,1,0
Nebraska,Sep  7 2022,0,0
Nebraska,Aug 31 2022,1,0
Nebraska,Aug 24 2022,2,0
Nebraska,Aug 17 2022,4,0
Nebraska,Aug 10 2022,2,0
Nebraska,Aug  3 2022,6,0
Nebraska,Jul 27 2022,6,0
Nebraska,Jul 20 2022,7,0
Nebraska,Jul 13 2022,4,0
Nebraska,Jul  6 2022,7,0
Nebraska,Jun 29 2022,10,0
Nebraska,Jun 22 2022,3,0
Nebraska,Jun 15 2022,4,0
Nebraska,Jun  8 2022,5,0
Nebraska,Jun  1 2022,4,0
Nebraska,May 25 2022,4,0
Nebraska,May 18 2022,1,0
Nebraska,May 11 2022,4,0
Nebraska,May  4 2022,1,0
Nebraska,Apr 27 2022,6,0
Nebraska,Apr 20 2022,3,0
Nebraska,Apr 13 2022,1,0
Nebraska,Apr  6 2022,1,0
Nebraska,Mar 30 2022,3,0
Nebraska,Mar 23 2022,3,0
Nebraska,Mar 16 2022,6,0
Nebraska,Mar  9 2022,3,0
Nebraska,Mar  2 2022,5,0
Nebraska,Feb 23 2022,17,0
Nebraska,Feb 16 2022,20,0
Nebraska,Feb  9 2022,28,0
Nebraska,Feb  2 2022,61,0
Nebraska,Jan 26 2022,76,0
Nebraska,Jan 19 2022,89,0
Nebraska,Jan 12 2022,69,0
Nebraska,Jan  5 2022,69,0
Nebraska,Dec 29 2021,47,0
Nebraska,Dec 22 2021,50,0
Nebraska,Dec 15 2021,61,0
Nebraska,Dec  8 2021,81,0
Nebraska,Dec  1 2021,64,0
Nebraska,Nov 24 2021,77,0
Nebraska,Nov 17 2021,61,0
Nebraska,Nov 10 2021,57,0
Nebraska,Nov  3 2021,50,0
Nebraska,Oct 27 2021,45,0
Nebraska,Oct 20 2021,34,0
Nebraska,Oct 13 2021,35,0
Nebraska,Oct  6 2021,50,0
Nebraska,Sep 29 2021,52,0
Nebraska,Sep 22 2021,55,0
Nebraska,Sep 15 2021,41,0
Nebraska,Sep  8 2021,38,0
Nebraska,Sep  1 2021,36,0
Nebraska,Aug 25 2021,35,0
Nebraska,Aug 18 2021,36,0
Nebraska,Aug 11 2021,26,0
Nebraska,Aug  4 2021,25,0
Nebraska,Jul 28 2021,20,0
Nebraska,Jul 21 2021,15,0
Nebraska,Jul 14 2021,10,0
Nebraska,Jul  7 2021,10,0
Nebraska,Jun 30 2021,8,0
Nebraska,Jun 23 2021,2,0
Nebraska,Jun 16 2021,2,0
Nebraska,Jun  9 2021,2,0
Nebraska,Jun  2 2021,3,0
Nebraska,May 26 2021,19,0
Nebraska,May 19 2021,4,0
Nebraska,May 12 2021,14,0
Nebraska,May  5 2021,9,0
Nebraska,Apr 28 2021,10,0
Nebraska,Apr 21 2021,18,0
Nebraska,Apr 14 2021,13,0
Nebraska,Apr  7 2021,16,0
Nebraska,Mar 31 2021,9,0
Nebraska,Mar 24 2021,18,0
Nebraska,Mar 17 2021,9,0
Nebraska,Mar 10 2021,11,0
Nebraska,Mar  3 2021,17,0
Nebraska,Feb 24 2021,19,0
Nebraska,Feb 17 2021,17,0
Nebraska,Feb 10 2021,7,0
Nebraska,Feb  3 2021,30,0
Nebraska,Jan 27 2021,45,0
Nebraska,Jan 20 2021,55,0
Nebraska,Jan 13 2021,69,0
Nebraska,Jan  6 2021,73,0
Nebraska,Dec 30 2020,75,0
Nebraska,Dec 23 2020,70,0
Nebraska,Dec 16 2020,88,0
Nebraska,Dec  9 2020,139,0
Nebraska,Dec  2 2020,134,0
Nebraska,Nov 25 2020,185,0
Nebraska,Nov 18 2020,208,0
Nebraska,Nov 11 2020,187,0
Nebraska,Nov  4 2020,140,0
Nebraska,Oct 28 2020,121,0
Nebraska,Oct 21 2020,97,0
Nebraska,Oct 14 2020,64,0
Nebraska,Oct  7 2020,55,0
Nebraska,Sep 30 2020,34,0
Nebraska,Sep 23 2020,40,0
Nebraska,Sep 16 2020,38,0
Nebraska,Sep  9 2020,16,0
Nebraska,Sep  2 2020,24,0
Nebraska,Aug 26 2020,23,0
Nebraska,Aug 19 2020,22,0
Nebraska,Aug 12 2020,23,0
Nebraska,Aug  5 2020,37,0
Nebraska,Jul 29 2020,14,0
Nebraska,Jul 22 2020,26,0
Nebraska,Jul 15 2020,11,0
Nebraska,Jul  8 2020,16,0
Nebraska,Jul  1 2020,12,0
Nebraska,Jun 24 2020,17,0
Nebraska,Jun 17 2020,29,0
Nebraska,Jun 10 2020,9,0
Nebraska,Jun  3 2020,19,0
Nebraska,May 27 2020,34,0
Nebraska,May 20 2020,44,0
Nebraska,May 13 2020,47,0
Nebraska,May  6 2020,31,0
Nebraska,Apr 29 2020,45,0
Nebraska,Apr 22 2020,20,0
Nebraska,Apr 15 2020,25,0
Nebraska,Apr  8 2020,16,0
Nebraska,Apr  1 2020,12,0
Nebraska,Mar 25 2020,0,0
Nebraska,Mar 18 2020,0,0
Nebraska,Mar 11 2020,0,0
Nebraska,Mar  4 2020,0,0
Nebraska,Feb 26 2020,0,0
Nebraska,Feb 19 2020,0,0
Nebraska,Feb 12 2020,0,0
Nebraska,Feb  5 2020,0,0
Nebraska,Jan 29 2020,0,0
