Data Table for Weekly Death Trends - Nevada
Date generated: Mon Dec 05 2022 12:47:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Nevada,Nov 30 2022,6,0
Nevada,Nov 23 2022,24,0
Nevada,Nov 16 2022,20,0
Nevada,Nov  9 2022,10,0
Nevada,Nov  2 2022,15,0
Nevada,Oct 26 2022,11,0
Nevada,Oct 19 2022,13,0
Nevada,Oct 12 2022,16,0
Nevada,Oct  5 2022,14,0
Nevada,Sep 28 2022,26,0
Nevada,Sep 21 2022,45,0
Nevada,Sep 14 2022,13,0
Nevada,Sep  7 2022,17,0
Nevada,Aug 31 2022,25,0
Nevada,Aug 24 2022,22,0
Nevada,Aug 17 2022,56,0
Nevada,Aug 10 2022,40,0
Nevada,Aug  3 2022,36,0
Nevada,Jul 27 2022,32,0
Nevada,Jul 20 2022,48,0
Nevada,Jul 13 2022,67,0
Nevada,Jul  6 2022,35,0
Nevada,Jun 29 2022,33,0
Nevada,Jun 22 2022,39,0
Nevada,Jun 15 2022,32,0
Nevada,Jun  8 2022,39,0
Nevada,Jun  1 2022,24,0
Nevada,May 25 2022,48,0
Nevada,May 18 2022,27,0
Nevada,May 11 2022,18,0
Nevada,May  4 2022,28,0
Nevada,Apr 27 2022,68,0
Nevada,Apr 20 2022,182,0
Nevada,Apr 13 2022,365,0
Nevada,Apr  6 2022,45,0
Nevada,Mar 30 2022,60,0
Nevada,Mar 23 2022,83,0
Nevada,Mar 16 2022,74,0
Nevada,Mar  9 2022,122,0
Nevada,Mar  2 2022,179,0
Nevada,Feb 23 2022,128,0
Nevada,Feb 16 2022,176,0
Nevada,Feb  9 2022,220,0
Nevada,Feb  2 2022,213,0
Nevada,Jan 26 2022,149,0
Nevada,Jan 19 2022,105,0
Nevada,Jan 12 2022,95,0
Nevada,Jan  5 2022,81,0
Nevada,Dec 29 2021,53,0
Nevada,Dec 22 2021,110,0
Nevada,Dec 15 2021,98,0
Nevada,Dec  8 2021,114,0
Nevada,Dec  1 2021,60,0
Nevada,Nov 24 2021,89,0
Nevada,Nov 17 2021,87,0
Nevada,Nov 10 2021,119,0
Nevada,Nov  3 2021,77,0
Nevada,Oct 27 2021,116,0
Nevada,Oct 20 2021,117,0
Nevada,Oct 13 2021,120,0
Nevada,Oct  6 2021,139,0
Nevada,Sep 29 2021,159,0
Nevada,Sep 22 2021,159,0
Nevada,Sep 15 2021,152,0
Nevada,Sep  8 2021,99,0
Nevada,Sep  1 2021,162,0
Nevada,Aug 25 2021,128,0
Nevada,Aug 18 2021,152,0
Nevada,Aug 11 2021,143,0
Nevada,Aug  4 2021,79,0
Nevada,Jul 28 2021,85,0
Nevada,Jul 21 2021,52,0
Nevada,Jul 14 2021,32,0
Nevada,Jul  7 2021,24,0
Nevada,Jun 30 2021,27,0
Nevada,Jun 23 2021,20,0
Nevada,Jun 16 2021,18,0
Nevada,Jun  9 2021,23,0
Nevada,Jun  2 2021,23,0
Nevada,May 26 2021,25,0
Nevada,May 19 2021,30,0
Nevada,May 12 2021,28,0
Nevada,May  5 2021,39,0
Nevada,Apr 28 2021,60,0
Nevada,Apr 21 2021,36,0
Nevada,Apr 14 2021,44,0
Nevada,Apr  7 2021,59,0
Nevada,Mar 31 2021,46,0
Nevada,Mar 24 2021,56,0
Nevada,Mar 17 2021,80,0
Nevada,Mar 10 2021,80,0
Nevada,Mar  3 2021,67,0
Nevada,Feb 24 2021,147,0
Nevada,Feb 17 2021,192,0
Nevada,Feb 10 2021,208,0
Nevada,Feb  3 2021,239,0
Nevada,Jan 27 2021,271,0
Nevada,Jan 20 2021,267,0
Nevada,Jan 13 2021,301,0
Nevada,Jan  6 2021,232,0
Nevada,Dec 30 2020,193,0
Nevada,Dec 23 2020,219,0
Nevada,Dec 16 2020,267,0
Nevada,Dec  9 2020,181,0
Nevada,Dec  2 2020,132,0
Nevada,Nov 25 2020,124,0
Nevada,Nov 18 2020,70,0
Nevada,Nov 11 2020,63,0
Nevada,Nov  4 2020,48,0
Nevada,Oct 28 2020,34,0
Nevada,Oct 21 2020,41,0
Nevada,Oct 14 2020,55,0
Nevada,Oct  7 2020,36,0
Nevada,Sep 30 2020,44,0
Nevada,Sep 23 2020,62,0
Nevada,Sep 16 2020,82,0
Nevada,Sep  9 2020,76,0
Nevada,Sep  2 2020,86,0
Nevada,Aug 26 2020,116,0
Nevada,Aug 19 2020,138,0
Nevada,Aug 12 2020,106,0
Nevada,Aug  5 2020,110,0
Nevada,Jul 29 2020,76,0
Nevada,Jul 22 2020,86,0
Nevada,Jul 15 2020,65,0
Nevada,Jul  8 2020,42,0
Nevada,Jul  1 2020,17,0
Nevada,Jun 24 2020,21,0
Nevada,Jun 17 2020,24,0
Nevada,Jun 10 2020,18,0
Nevada,Jun  3 2020,29,0
Nevada,May 27 2020,25,0
Nevada,May 20 2020,46,0
Nevada,May 13 2020,42,0
Nevada,May  6 2020,59,0
Nevada,Apr 29 2020,59,0
Nevada,Apr 22 2020,40,0
Nevada,Apr 15 2020,59,0
Nevada,Apr  8 2020,41,0
Nevada,Apr  1 2020,25,0
Nevada,Mar 25 2020,5,0
Nevada,Mar 18 2020,1,0
Nevada,Mar 11 2020,0,0
Nevada,Mar  4 2020,0,0
Nevada,Feb 26 2020,0,0
Nevada,Feb 19 2020,0,0
Nevada,Feb 12 2020,0,0
Nevada,Feb  5 2020,0,0
Nevada,Jan 29 2020,0,0
