Data Table for Weekly Death Trends - New Jersey
Date generated: Mon Dec 05 2022 12:47:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
New Jersey,Nov 30 2022,52,0
New Jersey,Nov 23 2022,61,0
New Jersey,Nov 16 2022,59,0
New Jersey,Nov  9 2022,39,0
New Jersey,Nov  2 2022,52,0
New Jersey,Oct 26 2022,25,0
New Jersey,Oct 19 2022,40,0
New Jersey,Oct 12 2022,36,0
New Jersey,Oct  5 2022,34,0
New Jersey,Sep 28 2022,42,0
New Jersey,Sep 21 2022,50,0
New Jersey,Sep 14 2022,48,0
New Jersey,Sep  7 2022,41,0
New Jersey,Aug 31 2022,64,0
New Jersey,Aug 24 2022,67,0
New Jersey,Aug 17 2022,50,0
New Jersey,Aug 10 2022,67,0
New Jersey,Aug  3 2022,53,0
New Jersey,Jul 27 2022,61,0
New Jersey,Jul 20 2022,56,0
New Jersey,Jul 13 2022,50,0
New Jersey,Jul  6 2022,47,0
New Jersey,Jun 29 2022,70,0
New Jersey,Jun 22 2022,70,0
New Jersey,Jun 15 2022,86,0
New Jersey,Jun  8 2022,83,0
New Jersey,Jun  1 2022,76,0
New Jersey,May 25 2022,66,0
New Jersey,May 18 2022,68,0
New Jersey,May 11 2022,50,0
New Jersey,May  4 2022,56,0
New Jersey,Apr 27 2022,64,0
New Jersey,Apr 20 2022,43,0
New Jersey,Apr 13 2022,32,0
New Jersey,Apr  6 2022,47,0
New Jersey,Mar 30 2022,37,0
New Jersey,Mar 23 2022,55,0
New Jersey,Mar 16 2022,78,0
New Jersey,Mar  9 2022,89,0
New Jersey,Mar  2 2022,166,0
New Jersey,Feb 23 2022,692,0
New Jersey,Feb 16 2022,261,0
New Jersey,Feb  9 2022,380,0
New Jersey,Feb  2 2022,438,0
New Jersey,Jan 26 2022,719,0
New Jersey,Jan 19 2022,573,0
New Jersey,Jan 12 2022,528,0
New Jersey,Jan  5 2022,242,0
New Jersey,Dec 29 2021,177,0
New Jersey,Dec 22 2021,147,0
New Jersey,Dec 15 2021,125,0
