Data Table for Weekly Death Trends - New Mexico
Date generated: Mon Dec 05 2022 12:48:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
New Mexico,Nov 30 2022,0,0
New Mexico,Nov 23 2022,13,0
New Mexico,Nov 16 2022,14,0
New Mexico,Nov  9 2022,30,0
New Mexico,Nov  2 2022,14,0
New Mexico,Oct 26 2022,24,0
New Mexico,Oct 19 2022,8,0
New Mexico,Oct 12 2022,13,0
New Mexico,Oct  5 2022,23,0
New Mexico,Sep 28 2022,29,0
New Mexico,Sep 21 2022,37,0
New Mexico,Sep 14 2022,22,0
New Mexico,Sep  7 2022,28,0
New Mexico,Aug 31 2022,61,0
New Mexico,Aug 24 2022,52,0
New Mexico,Aug 17 2022,31,0
New Mexico,Aug 10 2022,36,0
New Mexico,Aug  3 2022,43,0
New Mexico,Jul 27 2022,86,0
New Mexico,Jul 20 2022,132,0
New Mexico,Jul 13 2022,49,0
New Mexico,Jul  6 2022,29,0
New Mexico,Jun 29 2022,37,0
New Mexico,Jun 22 2022,22,0
New Mexico,Jun 15 2022,13,0
New Mexico,Jun  8 2022,60,0
New Mexico,Jun  1 2022,65,0
New Mexico,May 25 2022,81,0
New Mexico,May 18 2022,56,0
New Mexico,May 11 2022,58,0
New Mexico,May  4 2022,71,0
New Mexico,Apr 27 2022,31,0
New Mexico,Apr 20 2022,43,0
New Mexico,Apr 13 2022,58,0
New Mexico,Apr  6 2022,78,0
New Mexico,Mar 30 2022,75,0
New Mexico,Mar 23 2022,64,0
New Mexico,Mar 16 2022,90,0
New Mexico,Mar  9 2022,86,0
New Mexico,Mar  2 2022,89,0
New Mexico,Feb 23 2022,122,0
New Mexico,Feb 16 2022,132,0
New Mexico,Feb  9 2022,109,0
New Mexico,Feb  2 2022,131,0
New Mexico,Jan 26 2022,152,0
New Mexico,Jan 19 2022,132,0
New Mexico,Jan 12 2022,140,0
New Mexico,Jan  5 2022,104,0
New Mexico,Dec 29 2021,128,0
New Mexico,Dec 22 2021,185,0
New Mexico,Dec 15 2021,71,0
New Mexico,Dec  8 2021,66,0
New Mexico,Dec  1 2021,69,0
New Mexico,Nov 24 2021,95,0
New Mexico,Nov 17 2021,67,0
New Mexico,Nov 10 2021,63,0
New Mexico,Nov  3 2021,58,0
New Mexico,Oct 27 2021,61,0
New Mexico,Oct 20 2021,67,0
New Mexico,Oct 13 2021,59,0
New Mexico,Oct  6 2021,52,0
New Mexico,Sep 29 2021,69,0
New Mexico,Sep 22 2021,70,0
New Mexico,Sep 15 2021,72,0
New Mexico,Sep  8 2021,48,0
New Mexico,Sep  1 2021,41,0
New Mexico,Aug 25 2021,29,0
New Mexico,Aug 18 2021,22,0
New Mexico,Aug 11 2021,20,0
New Mexico,Aug  4 2021,10,0
New Mexico,Jul 28 2021,15,0
New Mexico,Jul 21 2021,30,0
New Mexico,Jul 14 2021,15,0
New Mexico,Jul  7 2021,7,0
New Mexico,Jun 30 2021,8,0
New Mexico,Jun 23 2021,27,0
New Mexico,Jun 16 2021,13,0
New Mexico,Jun  9 2021,24,0
New Mexico,Jun  2 2021,14,0
New Mexico,May 26 2021,142,0
New Mexico,May 19 2021,8,0
New Mexico,May 12 2021,25,0
New Mexico,May  5 2021,31,0
New Mexico,Apr 28 2021,31,0
New Mexico,Apr 21 2021,24,0
New Mexico,Apr 14 2021,32,0
New Mexico,Apr  7 2021,26,0
New Mexico,Mar 31 2021,28,0
New Mexico,Mar 24 2021,37,0
New Mexico,Mar 17 2021,34,0
