Data Table for Weekly Death Trends - North Carolina
Date generated: Mon Dec 05 2022 12:58:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
North Carolina,Nov 30 2022,27,0
North Carolina,Nov 23 2022,45,0
North Carolina,Nov 16 2022,43,0
North Carolina,Nov  9 2022,32,0
North Carolina,Nov  2 2022,275,0
North Carolina,Oct 26 2022,27,0
North Carolina,Oct 19 2022,41,0
North Carolina,Oct 12 2022,34,0
North Carolina,Oct  5 2022,326,0
North Carolina,Sep 28 2022,69,0
North Carolina,Sep 21 2022,47,0
North Carolina,Sep 14 2022,54,0
North Carolina,Sep  7 2022,31,0
North Carolina,Aug 31 2022,479,0
North Carolina,Aug 24 2022,82,0
North Carolina,Aug 17 2022,37,0
North Carolina,Aug 10 2022,42,0
North Carolina,Aug  3 2022,198,0
North Carolina,Jul 27 2022,49,0
North Carolina,Jul 20 2022,40,0
North Carolina,Jul 13 2022,135,0
North Carolina,Jul  6 2022,53,0
North Carolina,Jun 29 2022,49,0
North Carolina,Jun 22 2022,10,0
North Carolina,Jun 15 2022,29,0
North Carolina,Jun  8 2022,27,0
North Carolina,Jun  1 2022,33,0
North Carolina,May 25 2022,30,0
North Carolina,May 18 2022,32,0
North Carolina,May 11 2022,34,0
North Carolina,May  4 2022,38,0
North Carolina,Apr 27 2022,38,0
North Carolina,Apr 20 2022,31,0
North Carolina,Apr 13 2022,44,0
North Carolina,Apr  6 2022,40,0
North Carolina,Mar 30 2022,68,0
North Carolina,Mar 23 2022,109,0
North Carolina,Mar 16 2022,134,0
North Carolina,Mar  9 2022,223,0
North Carolina,Mar  2 2022,255,0
North Carolina,Feb 23 2022,392,0
North Carolina,Feb 16 2022,522,0
North Carolina,Feb  9 2022,666,0
North Carolina,Feb  2 2022,644,0
North Carolina,Jan 26 2022,681,0
North Carolina,Jan 19 2022,554,0
North Carolina,Jan 12 2022,454,0
North Carolina,Jan  5 2022,296,0
North Carolina,Dec 29 2021,198,0
North Carolina,Dec 22 2021,187,0
North Carolina,Dec 15 2021,164,0
North Carolina,Dec  8 2021,141,0
North Carolina,Dec  1 2021,127,0
North Carolina,Nov 24 2021,131,0
North Carolina,Nov 17 2021,117,0
North Carolina,Nov 10 2021,133,0
North Carolina,Nov  3 2021,176,0
North Carolina,Oct 27 2021,218,0
