Data Table for Weekly Death Trends - North Dakota
Date generated: Mon Dec 05 2022 12:58:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
North Dakota,Nov 30 2022,0,0
North Dakota,Nov 23 2022,0,0
North Dakota,Nov 16 2022,0,0
North Dakota,Nov  9 2022,0,0
North Dakota,Nov  2 2022,0,0
North Dakota,Oct 26 2022,0,0
North Dakota,Oct 19 2022,0,0
North Dakota,Oct 12 2022,0,0
North Dakota,Oct  5 2022,0,0
North Dakota,Sep 28 2022,0,0
North Dakota,Sep 21 2022,0,0
North Dakota,Sep 14 2022,0,0
North Dakota,Sep  7 2022,0,0
North Dakota,Aug 31 2022,0,0
North Dakota,Aug 24 2022,0,0
North Dakota,Aug 17 2022,0,0
North Dakota,Aug 10 2022,0,0
North Dakota,Aug  3 2022,0,0
North Dakota,Jul 27 2022,0,0
North Dakota,Jul 20 2022,0,0
North Dakota,Jul 13 2022,0,0
North Dakota,Jul  6 2022,0,0
North Dakota,Jun 29 2022,0,0
North Dakota,Jun 22 2022,0,0
North Dakota,Jun 15 2022,0,0
North Dakota,Jun  8 2022,0,0
North Dakota,Jun  1 2022,0,0
North Dakota,May 25 2022,0,0
North Dakota,May 18 2022,0,0
North Dakota,May 11 2022,0,0
North Dakota,May  4 2022,0,0
North Dakota,Apr 27 2022,0,0
North Dakota,Apr 20 2022,0,0
North Dakota,Apr 13 2022,0,0
North Dakota,Apr  6 2022,0,0
North Dakota,Mar 30 2022,0,0
North Dakota,Mar 23 2022,3,0
North Dakota,Mar 16 2022,11,0
North Dakota,Mar  9 2022,19,0
North Dakota,Mar  2 2022,5,0
North Dakota,Feb 23 2022,0,0
North Dakota,Feb 16 2022,4,0
North Dakota,Feb  9 2022,28,0
North Dakota,Feb  2 2022,27,0
North Dakota,Jan 26 2022,33,0
North Dakota,Jan 19 2022,16,0
North Dakota,Jan 12 2022,18,0
North Dakota,Jan  5 2022,18,0
North Dakota,Dec 29 2021,14,0
North Dakota,Dec 22 2021,25,0
North Dakota,Dec 15 2021,33,0
North Dakota,Dec  8 2021,42,0
North Dakota,Dec  1 2021,32,0
North Dakota,Nov 24 2021,37,0
North Dakota,Nov 17 2021,29,0
North Dakota,Nov 10 2021,23,0
North Dakota,Nov  3 2021,33,0
North Dakota,Oct 27 2021,50,0
North Dakota,Oct 20 2021,40,0
North Dakota,Oct 13 2021,30,0
North Dakota,Oct  6 2021,18,0
North Dakota,Sep 29 2021,16,0
North Dakota,Sep 22 2021,16,0
North Dakota,Sep 15 2021,13,0
North Dakota,Sep  8 2021,6,0
