Data Table for Weekly Death Trends - Oregon
Date generated: Mon Dec 05 2022 12:59:34 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Oregon,Nov 30 2022,40,0
Oregon,Nov 23 2022,37,0
Oregon,Nov 16 2022,44,0
Oregon,Nov  9 2022,17,0
Oregon,Nov  2 2022,46,0
Oregon,Oct 26 2022,35,0
Oregon,Oct 19 2022,24,0
Oregon,Oct 12 2022,31,0
Oregon,Oct  5 2022,29,0
Oregon,Sep 28 2022,41,0
Oregon,Sep 21 2022,28,0
Oregon,Sep 14 2022,38,0
Oregon,Sep  7 2022,42,0
Oregon,Aug 31 2022,47,0
Oregon,Aug 24 2022,40,0
Oregon,Aug 17 2022,73,0
Oregon,Aug 10 2022,77,0
Oregon,Aug  3 2022,114,0
Oregon,Jul 27 2022,78,0
Oregon,Jul 20 2022,99,0
Oregon,Jul 13 2022,48,0
Oregon,Jul  6 2022,29,0
Oregon,Jun 29 2022,63,0
Oregon,Jun 22 2022,24,0
Oregon,Jun 15 2022,38,0
Oregon,Jun  8 2022,43,0
Oregon,Jun  1 2022,32,0
Oregon,May 25 2022,39,0
Oregon,May 18 2022,21,0
Oregon,May 11 2022,29,0
Oregon,May  4 2022,20,0
Oregon,Apr 27 2022,33,0
Oregon,Apr 20 2022,63,0
Oregon,Apr 13 2022,177,0
Oregon,Apr  6 2022,86,0
Oregon,Mar 30 2022,128,0
Oregon,Mar 23 2022,77,0
Oregon,Mar 16 2022,134,0
Oregon,Mar  9 2022,148,0
Oregon,Mar  2 2022,133,0
Oregon,Feb 23 2022,103,0
Oregon,Feb 16 2022,94,0
Oregon,Feb  9 2022,159,0
Oregon,Feb  2 2022,115,0
Oregon,Jan 26 2022,140,0
Oregon,Jan 19 2022,63,0
Oregon,Jan 12 2022,126,0
Oregon,Jan  5 2022,79,0
Oregon,Dec 29 2021,50,0
Oregon,Dec 22 2021,83,0
Oregon,Dec 15 2021,189,0
Oregon,Dec  8 2021,132,0
Oregon,Dec  1 2021,70,0
Oregon,Nov 24 2021,242,0
Oregon,Nov 17 2021,144,0
Oregon,Nov 10 2021,261,0
Oregon,Nov  3 2021,135,0
Oregon,Oct 27 2021,100,0
Oregon,Oct 20 2021,117,0
Oregon,Oct 13 2021,217,0
Oregon,Oct  6 2021,129,0
Oregon,Sep 29 2021,122,0
Oregon,Sep 22 2021,115,0
Oregon,Sep 15 2021,161,0
Oregon,Sep  8 2021,152,0
Oregon,Sep  1 2021,135,0
Oregon,Aug 25 2021,114,0
Oregon,Aug 18 2021,54,0
Oregon,Aug 11 2021,42,0
Oregon,Aug  4 2021,28,0
Oregon,Jul 28 2021,16,0
Oregon,Jul 21 2021,29,0
Oregon,Jul 14 2021,15,0
Oregon,Jul  7 2021,14,0
Oregon,Jun 30 2021,15,0
Oregon,Jun 23 2021,15,0
Oregon,Jun 16 2021,28,0
Oregon,Jun  9 2021,40,0
Oregon,Jun  2 2021,37,0
Oregon,May 26 2021,38,0
Oregon,May 19 2021,41,0
Oregon,May 12 2021,51,0
Oregon,May  5 2021,19,0
Oregon,Apr 28 2021,24,0
Oregon,Apr 21 2021,18,0
Oregon,Apr 14 2021,14,0
Oregon,Apr  7 2021,51,0
Oregon,Mar 31 2021,15,0
Oregon,Mar 24 2021,19,0
Oregon,Mar 17 2021,44,0
Oregon,Mar 10 2021,53,0
Oregon,Mar  3 2021,58,0
Oregon,Feb 24 2021,51,0
Oregon,Feb 17 2021,99,0
Oregon,Feb 10 2021,53,0
Oregon,Feb  3 2021,67,0
Oregon,Jan 27 2021,92,0
Oregon,Jan 20 2021,124,0
Oregon,Jan 13 2021,150,0
Oregon,Jan  6 2021,90,0
Oregon,Dec 30 2020,65,0
Oregon,Dec 23 2020,141,0
Oregon,Dec 16 2020,152,0
Oregon,Dec  9 2020,157,0
Oregon,Dec  2 2020,86,0
Oregon,Nov 25 2020,79,0
Oregon,Nov 18 2020,46,0
Oregon,Nov 11 2020,37,0
Oregon,Nov  4 2020,34,0
Oregon,Oct 28 2020,36,0
Oregon,Oct 21 2020,28,0
Oregon,Oct 14 2020,24,0
Oregon,Oct  7 2020,24,0
Oregon,Sep 30 2020,22,0
Oregon,Sep 23 2020,17,0
Oregon,Sep 16 2020,27,0
Oregon,Sep  9 2020,26,0
Oregon,Sep  2 2020,35,0
Oregon,Aug 26 2020,24,0
Oregon,Aug 19 2020,33,0
Oregon,Aug 12 2020,37,0
Oregon,Aug  5 2020,28,0
Oregon,Jul 29 2020,39,0
Oregon,Jul 22 2020,24,0
Oregon,Jul 15 2020,23,0
Oregon,Jul  8 2020,16,0
Oregon,Jul  1 2020,13,0
Oregon,Jun 24 2020,12,0
Oregon,Jun 17 2020,14,0
Oregon,Jun 10 2020,10,0
Oregon,Jun  3 2020,11,0
Oregon,May 27 2020,4,0
Oregon,May 20 2020,10,0
Oregon,May 13 2020,19,0
Oregon,May  6 2020,14,0
Oregon,Apr 29 2020,23,0
Oregon,Apr 22 2020,20,0
Oregon,Apr 15 2020,25,0
Oregon,Apr  8 2020,14,0
Oregon,Apr  1 2020,9,0
Oregon,Mar 25 2020,7,0
Oregon,Mar 18 2020,3,0
Oregon,Mar 11 2020,0,0
Oregon,Mar  4 2020,0,0
Oregon,Feb 26 2020,0,0
Oregon,Feb 19 2020,0,0
Oregon,Feb 12 2020,0,0
Oregon,Feb  5 2020,0,0
Oregon,Jan 29 2020,0,0
