Data Table for Weekly Death Trends - Rhode Island
Date generated: Mon Dec 05 2022 13:00:14 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Rhode Island,Nov 30 2022,0,0
Rhode Island,Nov 23 2022,18,0
Rhode Island,Nov 16 2022,20,0
Rhode Island,Nov  9 2022,9,0
Rhode Island,Nov  2 2022,10,0
Rhode Island,Oct 26 2022,5,0
Rhode Island,Oct 19 2022,7,0
Rhode Island,Oct 12 2022,5,0
Rhode Island,Oct  5 2022,2,0
Rhode Island,Sep 28 2022,6,0
Rhode Island,Sep 21 2022,9,0
Rhode Island,Sep 14 2022,7,0
Rhode Island,Sep  7 2022,2,0
Rhode Island,Aug 31 2022,7,0
Rhode Island,Aug 24 2022,4,0
Rhode Island,Aug 17 2022,0,0
Rhode Island,Aug 10 2022,2,0
Rhode Island,Aug  3 2022,0,0
Rhode Island,Jul 27 2022,6,0
Rhode Island,Jul 20 2022,5,0
Rhode Island,Jul 13 2022,6,0
Rhode Island,Jul  6 2022,4,0
Rhode Island,Jun 29 2022,6,0
Rhode Island,Jun 22 2022,8,0
Rhode Island,Jun 15 2022,11,0
Rhode Island,Jun  8 2022,5,0
Rhode Island,Jun  1 2022,14,0
Rhode Island,May 25 2022,4,0
Rhode Island,May 18 2022,20,0
Rhode Island,May 11 2022,0,0
Rhode Island,May  4 2022,9,0
Rhode Island,Apr 27 2022,5,0
Rhode Island,Apr 20 2022,2,0
Rhode Island,Apr 13 2022,1,0
Rhode Island,Apr  6 2022,2,0
Rhode Island,Mar 30 2022,89,0
Rhode Island,Mar 23 2022,6,0
Rhode Island,Mar 16 2022,8,0
Rhode Island,Mar  9 2022,6,0
Rhode Island,Mar  2 2022,9,0
Rhode Island,Feb 23 2022,10,0
Rhode Island,Feb 16 2022,25,0
Rhode Island,Feb  9 2022,35,0
Rhode Island,Feb  2 2022,59,0
Rhode Island,Jan 26 2022,60,0
Rhode Island,Jan 19 2022,64,0
Rhode Island,Jan 12 2022,44,0
Rhode Island,Jan  5 2022,45,0
Rhode Island,Dec 29 2021,47,0
Rhode Island,Dec 22 2021,35,0
Rhode Island,Dec 15 2021,31,0
Rhode Island,Dec  8 2021,14,0
Rhode Island,Dec  1 2021,20,0
Rhode Island,Nov 24 2021,13,0
Rhode Island,Nov 17 2021,15,0
Rhode Island,Nov 10 2021,6,0
Rhode Island,Nov  3 2021,4,0
Rhode Island,Oct 27 2021,8,0
Rhode Island,Oct 20 2021,12,0
Rhode Island,Oct 13 2021,9,0
Rhode Island,Oct  6 2021,12,0
Rhode Island,Sep 29 2021,18,0
Rhode Island,Sep 22 2021,9,0
Rhode Island,Sep 15 2021,39,0
Rhode Island,Sep  8 2021,8,0
Rhode Island,Sep  1 2021,12,0
Rhode Island,Aug 25 2021,12,0
Rhode Island,Aug 18 2021,4,0
Rhode Island,Aug 11 2021,1,0
Rhode Island,Aug  4 2021,4,0
Rhode Island,Jul 28 2021,1,0
Rhode Island,Jul 21 2021,6,0
Rhode Island,Jul 14 2021,2,0
Rhode Island,Jul  7 2021,0,0
Rhode Island,Jun 30 2021,3,0
Rhode Island,Jun 23 2021,3,0
Rhode Island,Jun 16 2021,1,0
Rhode Island,Jun  9 2021,10,0
Rhode Island,Jun  2 2021,4,0
Rhode Island,May 26 2021,5,0
Rhode Island,May 19 2021,7,0
Rhode Island,May 12 2021,14,0
Rhode Island,May  5 2021,13,0
Rhode Island,Apr 28 2021,10,0
Rhode Island,Apr 21 2021,17,0
Rhode Island,Apr 14 2021,7,0
Rhode Island,Apr  7 2021,15,0
Rhode Island,Mar 31 2021,11,0
Rhode Island,Mar 24 2021,18,0
Rhode Island,Mar 17 2021,28,0
Rhode Island,Mar 10 2021,23,0
Rhode Island,Mar  3 2021,33,0
Rhode Island,Feb 24 2021,24,0
Rhode Island,Feb 17 2021,37,0
Rhode Island,Feb 10 2021,57,0
Rhode Island,Feb  3 2021,77,0
Rhode Island,Jan 27 2021,80,0
Rhode Island,Jan 20 2021,103,0
Rhode Island,Jan 13 2021,96,0
Rhode Island,Jan  6 2021,113,0
Rhode Island,Dec 30 2020,104,0
Rhode Island,Dec 23 2020,105,0
Rhode Island,Dec 16 2020,145,0
Rhode Island,Dec  9 2020,115,0
Rhode Island,Dec  2 2020,68,0
Rhode Island,Nov 25 2020,65,0
Rhode Island,Nov 18 2020,43,0
Rhode Island,Nov 11 2020,35,0
Rhode Island,Nov  4 2020,27,0
Rhode Island,Oct 28 2020,20,0
Rhode Island,Oct 21 2020,16,0
Rhode Island,Oct 14 2020,29,0
Rhode Island,Oct  7 2020,14,0
Rhode Island,Sep 30 2020,7,0
Rhode Island,Sep 23 2020,13,0
Rhode Island,Sep 16 2020,13,0
Rhode Island,Sep  9 2020,10,0
Rhode Island,Sep  2 2020,13,0
Rhode Island,Aug 26 2020,10,0
Rhode Island,Aug 19 2020,17,0
Rhode Island,Aug 12 2020,8,0
Rhode Island,Aug  5 2020,10,0
Rhode Island,Jul 29 2020,6,0
Rhode Island,Jul 22 2020,13,0
Rhode Island,Jul 15 2020,11,0
Rhode Island,Jul  8 2020,16,0
Rhode Island,Jul  1 2020,20,0
Rhode Island,Jun 24 2020,30,0
Rhode Island,Jun 17 2020,33,0
Rhode Island,Jun 10 2020,42,0
Rhode Island,Jun  3 2020,61,0
Rhode Island,May 27 2020,87,0
Rhode Island,May 20 2020,105,0
Rhode Island,May 13 2020,122,0
Rhode Island,May  6 2020,138,0
Rhode Island,Apr 29 2020,108,0
Rhode Island,Apr 22 2020,107,0
Rhode Island,Apr 15 2020,73,0
Rhode Island,Apr  8 2020,40,0
Rhode Island,Apr  1 2020,11,0
Rhode Island,Mar 25 2020,1,0
Rhode Island,Mar 18 2020,0,0
Rhode Island,Mar 11 2020,0,0
Rhode Island,Mar  4 2020,0,0
Rhode Island,Feb 26 2020,0,0
Rhode Island,Feb 19 2020,0,0
Rhode Island,Feb 12 2020,0,0
Rhode Island,Feb  5 2020,0,0
Rhode Island,Jan 29 2020,0,0
