Data Table for Weekly Death Trends - South Carolina
Date generated: Mon Dec 05 2022 13:00:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
South Carolina,Nov 30 2022,4,0
South Carolina,Nov 23 2022,28,0
South Carolina,Nov 16 2022,19,0
South Carolina,Nov  9 2022,27,0
South Carolina,Nov  2 2022,55,0
South Carolina,Oct 26 2022,51,0
South Carolina,Oct 19 2022,59,0
South Carolina,Oct 12 2022,78,0
South Carolina,Oct  5 2022,25,0
South Carolina,Sep 28 2022,34,0
South Carolina,Sep 21 2022,15,0
South Carolina,Sep 14 2022,17,0
South Carolina,Sep  7 2022,36,0
South Carolina,Aug 31 2022,18,0
South Carolina,Aug 24 2022,18,0
South Carolina,Aug 17 2022,12,0
South Carolina,Aug 10 2022,7,0
South Carolina,Aug  3 2022,19,0
South Carolina,Jul 27 2022,58,0
South Carolina,Jul 20 2022,76,0
South Carolina,Jul 13 2022,12,0
South Carolina,Jul  6 2022,10,0
South Carolina,Jun 29 2022,26,0
South Carolina,Jun 22 2022,12,0
South Carolina,Jun 15 2022,25,0
South Carolina,Jun  8 2022,63,0
South Carolina,Jun  1 2022,2,0
South Carolina,May 25 2022,15,0
South Carolina,May 18 2022,22,0
South Carolina,May 11 2022,20,0
South Carolina,May  4 2022,81,0
South Carolina,Apr 27 2022,33,0
South Carolina,Apr 20 2022,36,0
South Carolina,Apr 13 2022,48,0
South Carolina,Apr  6 2022,63,0
South Carolina,Mar 30 2022,94,0
South Carolina,Mar 23 2022,113,0
South Carolina,Mar 16 2022,129,0
South Carolina,Mar  9 2022,323,0
South Carolina,Mar  2 2022,314,0
South Carolina,Feb 23 2022,207,0
South Carolina,Feb 16 2022,389,0
South Carolina,Feb  9 2022,409,0
South Carolina,Feb  2 2022,453,0
South Carolina,Jan 26 2022,127,0
South Carolina,Jan 19 2022,182,0
South Carolina,Jan 12 2022,132,0
South Carolina,Jan  5 2022,105,0
South Carolina,Dec 29 2021,84,0
South Carolina,Dec 22 2021,96,0
South Carolina,Dec 15 2021,96,0
South Carolina,Dec  8 2021,101,0
South Carolina,Dec  1 2021,80,0
South Carolina,Nov 24 2021,90,0
South Carolina,Nov 17 2021,142,0
South Carolina,Nov 10 2021,121,0
South Carolina,Nov  3 2021,196,0
South Carolina,Oct 27 2021,237,0
South Carolina,Oct 20 2021,273,0
South Carolina,Oct 13 2021,310,0
South Carolina,Oct  6 2021,412,0
South Carolina,Sep 29 2021,458,0
South Carolina,Sep 22 2021,431,0
South Carolina,Sep 15 2021,487,0
South Carolina,Sep  8 2021,312,0
South Carolina,Sep  1 2021,327,0
South Carolina,Aug 25 2021,216,0
South Carolina,Aug 18 2021,134,0
South Carolina,Aug 11 2021,77,0
South Carolina,Aug  4 2021,36,0
South Carolina,Jul 28 2021,25,0
South Carolina,Jul 21 2021,25,0
South Carolina,Jul 14 2021,13,0
South Carolina,Jul  7 2021,21,0
South Carolina,Jun 30 2021,18,0
South Carolina,Jun 23 2021,16,0
South Carolina,Jun 16 2021,29,0
South Carolina,Jun  9 2021,34,0
South Carolina,Jun  2 2021,26,0
South Carolina,May 26 2021,40,0
South Carolina,May 19 2021,58,0
South Carolina,May 12 2021,56,0
South Carolina,May  5 2021,64,0
South Carolina,Apr 28 2021,107,0
South Carolina,Apr 21 2021,63,0
South Carolina,Apr 14 2021,89,0
South Carolina,Apr  7 2021,65,0
South Carolina,Mar 31 2021,90,0
South Carolina,Mar 24 2021,126,0
South Carolina,Mar 17 2021,147,0
South Carolina,Mar 10 2021,163,0
South Carolina,Mar  3 2021,220,0
South Carolina,Feb 24 2021,283,0
South Carolina,Feb 17 2021,374,0
South Carolina,Feb 10 2021,347,0
South Carolina,Feb  3 2021,726,0
South Carolina,Jan 27 2021,342,0
South Carolina,Jan 20 2021,416,0
South Carolina,Jan 13 2021,328,0
South Carolina,Jan  6 2021,334,0
South Carolina,Dec 30 2020,221,0
South Carolina,Dec 23 2020,228,0
South Carolina,Dec 16 2020,188,0
South Carolina,Dec  9 2020,167,0
South Carolina,Dec  2 2020,128,0
South Carolina,Nov 25 2020,136,0
South Carolina,Nov 18 2020,105,0
South Carolina,Nov 11 2020,92,0
South Carolina,Nov  4 2020,110,0
South Carolina,Oct 28 2020,167,0
South Carolina,Oct 21 2020,115,0
South Carolina,Oct 14 2020,91,0
South Carolina,Oct  7 2020,125,0
South Carolina,Sep 30 2020,114,0
South Carolina,Sep 23 2020,132,0
South Carolina,Sep 16 2020,189,0
South Carolina,Sep  9 2020,147,0
South Carolina,Sep  2 2020,219,0
South Carolina,Aug 26 2020,217,0
South Carolina,Aug 19 2020,215,0
South Carolina,Aug 12 2020,249,0
South Carolina,Aug  5 2020,279,0
South Carolina,Jul 29 2020,330,0
South Carolina,Jul 22 2020,286,0
South Carolina,Jul 15 2020,117,0
South Carolina,Jul  8 2020,117,0
South Carolina,Jul  1 2020,81,0
South Carolina,Jun 24 2020,66,0
South Carolina,Jun 17 2020,43,0
South Carolina,Jun 10 2020,57,0
South Carolina,Jun  3 2020,52,0
South Carolina,May 27 2020,59,0
South Carolina,May 20 2020,46,0
South Carolina,May 13 2020,57,0
South Carolina,May  6 2020,73,0
South Carolina,Apr 29 2020,91,0
South Carolina,Apr 22 2020,35,0
South Carolina,Apr 15 2020,54,0
South Carolina,Apr  8 2020,25,0
South Carolina,Apr  1 2020,19,0
South Carolina,Mar 25 2020,6,0
South Carolina,Mar 18 2020,1,0
South Carolina,Mar 11 2020,0,0
South Carolina,Mar  4 2020,0,0
South Carolina,Feb 26 2020,0,0
South Carolina,Feb 19 2020,0,0
South Carolina,Feb 12 2020,0,0
South Carolina,Feb  5 2020,0,0
South Carolina,Jan 29 2020,0,0
