Data Table for Weekly Death Trends - South Dakota
Date generated: Mon Dec 05 2022 13:01:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
South Dakota,Nov 30 2022,3,0
South Dakota,Nov 23 2022,8,0
South Dakota,Nov 16 2022,10,0
South Dakota,Nov  9 2022,13,0
South Dakota,Nov  2 2022,6,0
South Dakota,Oct 26 2022,10,0
South Dakota,Oct 19 2022,3,0
South Dakota,Oct 12 2022,13,0
South Dakota,Oct  5 2022,12,0
South Dakota,Sep 28 2022,4,0
South Dakota,Sep 21 2022,3,0
South Dakota,Sep 14 2022,12,0
South Dakota,Sep  7 2022,9,0
South Dakota,Aug 31 2022,9,0
South Dakota,Aug 24 2022,5,0
South Dakota,Aug 17 2022,6,0
South Dakota,Aug 10 2022,10,0
South Dakota,Aug  3 2022,7,0
South Dakota,Jul 27 2022,9,0
South Dakota,Jul 20 2022,2,0
South Dakota,Jul 13 2022,5,0
South Dakota,Jul  6 2022,2,0
South Dakota,Jun 29 2022,2,0
South Dakota,Jun 22 2022,5,0
South Dakota,Jun 15 2022,3,0
South Dakota,Jun  8 2022,0,0
South Dakota,Jun  1 2022,3,0
South Dakota,May 25 2022,8,0
South Dakota,May 18 2022,2,0
South Dakota,May 11 2022,2,0
South Dakota,May  4 2022,3,0
South Dakota,Apr 27 2022,11,0
South Dakota,Apr 20 2022,3,0
South Dakota,Apr 13 2022,4,0
South Dakota,Apr  6 2022,10,0
South Dakota,Mar 30 2022,3,0
South Dakota,Mar 23 2022,11,0
South Dakota,Mar 16 2022,25,0
South Dakota,Mar  9 2022,30,0
South Dakota,Mar  2 2022,30,0
South Dakota,Feb 23 2022,26,0
South Dakota,Feb 16 2022,61,0
South Dakota,Feb  9 2022,37,0
South Dakota,Feb  2 2022,37,0
South Dakota,Jan 26 2022,50,0
South Dakota,Jan 19 2022,38,0
South Dakota,Jan 12 2022,27,0
South Dakota,Jan  5 2022,33,0
South Dakota,Dec 29 2021,24,0
South Dakota,Dec 22 2021,32,0
South Dakota,Dec 15 2021,36,0
South Dakota,Dec  8 2021,33,0
South Dakota,Dec  1 2021,29,0
South Dakota,Nov 24 2021,23,0
South Dakota,Nov 17 2021,21,0
South Dakota,Nov 10 2021,24,0
South Dakota,Nov  3 2021,22,0
South Dakota,Oct 27 2021,26,0
South Dakota,Oct 20 2021,28,0
South Dakota,Oct 13 2021,9,0
South Dakota,Oct  6 2021,33,0
South Dakota,Sep 29 2021,24,0
South Dakota,Sep 22 2021,16,0
South Dakota,Sep 15 2021,17,0
South Dakota,Sep  8 2021,7,0
South Dakota,Sep  1 2021,10,0
South Dakota,Aug 25 2021,3,0
South Dakota,Aug 18 2021,5,0
South Dakota,Aug 11 2021,1,0
South Dakota,Aug  4 2021,7,0
South Dakota,Jul 28 2021,2,0
South Dakota,Jul 21 2021,2,0
South Dakota,Jul 14 2021,2,0
South Dakota,Jul  7 2021,4,0
South Dakota,Jun 30 2021,5,0
South Dakota,Jun 23 2021,3,0
South Dakota,Jun 16 2021,3,0
South Dakota,Jun  9 2021,4,0
South Dakota,Jun  2 2021,16,0
South Dakota,May 26 2021,9,0
South Dakota,May 19 2021,6,0
South Dakota,May 12 2021,13,0
South Dakota,May  5 2021,14,0
South Dakota,Apr 28 2021,8,0
South Dakota,Apr 21 2021,7,0
South Dakota,Apr 14 2021,10,0
South Dakota,Apr  7 2021,3,0
South Dakota,Mar 31 2021,11,0
South Dakota,Mar 24 2021,8,0
South Dakota,Mar 17 2021,11,0
South Dakota,Mar 10 2021,11,0
South Dakota,Mar  3 2021,30,0
South Dakota,Feb 24 2021,20,0
South Dakota,Feb 17 2021,29,0
South Dakota,Feb 10 2021,35,0
South Dakota,Feb  3 2021,40,0
South Dakota,Jan 27 2021,72,0
South Dakota,Jan 20 2021,62,0
South Dakota,Jan 13 2021,86,0
South Dakota,Jan  6 2021,54,0
South Dakota,Dec 30 2020,75,0
South Dakota,Dec 23 2020,89,0
South Dakota,Dec 16 2020,153,0
South Dakota,Dec  9 2020,153,0
South Dakota,Dec  2 2020,145,0
South Dakota,Nov 25 2020,175,0
South Dakota,Nov 18 2020,107,0
South Dakota,Nov 11 2020,107,0
South Dakota,Nov  4 2020,76,0
South Dakota,Oct 28 2020,51,0
South Dakota,Oct 21 2020,42,0
South Dakota,Oct 14 2020,33,0
South Dakota,Oct  7 2020,35,0
South Dakota,Sep 30 2020,21,0
South Dakota,Sep 23 2020,10,0
South Dakota,Sep 16 2020,19,0
South Dakota,Sep  9 2020,4,0
South Dakota,Sep  2 2020,7,0
South Dakota,Aug 26 2020,7,0
South Dakota,Aug 19 2020,8,0
South Dakota,Aug 12 2020,10,0
South Dakota,Aug  5 2020,8,0
South Dakota,Jul 29 2020,10,0
South Dakota,Jul 22 2020,8,0
South Dakota,Jul 15 2020,13,0
South Dakota,Jul  8 2020,5,0
South Dakota,Jul  1 2020,9,0
South Dakota,Jun 24 2020,6,0
South Dakota,Jun 17 2020,9,0
South Dakota,Jun 10 2020,7,0
South Dakota,Jun  3 2020,8,0
South Dakota,May 27 2020,8,0
South Dakota,May 20 2020,7,0
South Dakota,May 13 2020,10,0
South Dakota,May  6 2020,16,0
South Dakota,Apr 29 2020,4,0
South Dakota,Apr 22 2020,3,0
South Dakota,Apr 15 2020,0,0
South Dakota,Apr  8 2020,4,0
South Dakota,Apr  1 2020,1,0
South Dakota,Mar 25 2020,0,0
South Dakota,Mar 18 2020,0,0
South Dakota,Mar 11 2020,1,0
South Dakota,Mar  4 2020,0,0
South Dakota,Feb 26 2020,0,0
South Dakota,Feb 19 2020,0,0
South Dakota,Feb 12 2020,0,0
South Dakota,Feb  5 2020,0,0
South Dakota,Jan 29 2020,0,0
