Data Table for Weekly Death Trends - Tennessee
Date generated: Mon Dec 05 2022 13:01:15 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Tennessee,Nov 30 2022,12,0
Tennessee,Nov 23 2022,75,0
Tennessee,Nov 16 2022,34,0
Tennessee,Nov  9 2022,69,0
Tennessee,Nov  2 2022,47,0
Tennessee,Oct 26 2022,60,0
Tennessee,Oct 19 2022,58,0
Tennessee,Oct 12 2022,78,0
Tennessee,Oct  5 2022,114,0
Tennessee,Sep 28 2022,125,0
Tennessee,Sep 21 2022,94,0
Tennessee,Sep 14 2022,16,0
Tennessee,Sep  7 2022,91,0
Tennessee,Aug 31 2022,113,0
Tennessee,Aug 24 2022,95,0
Tennessee,Aug 17 2022,100,0
Tennessee,Aug 10 2022,90,0
Tennessee,Aug  3 2022,81,0
Tennessee,Jul 27 2022,98,0
Tennessee,Jul 20 2022,79,0
Tennessee,Jul 13 2022,56,0
Tennessee,Jul  6 2022,91,0
Tennessee,Jun 29 2022,13,0
Tennessee,Jun 22 2022,77,0
Tennessee,Jun 15 2022,46,0
Tennessee,Jun  8 2022,17,0
Tennessee,Jun  1 2022,97,0
Tennessee,May 25 2022,115,0
Tennessee,May 18 2022,58,0
Tennessee,May 11 2022,36,0
Tennessee,May  4 2022,22,0
Tennessee,Apr 27 2022,38,0
Tennessee,Apr 20 2022,81,0
Tennessee,Apr 13 2022,357,0
Tennessee,Apr  6 2022,150,0
Tennessee,Mar 30 2022,74,0
Tennessee,Mar 23 2022,194,0
Tennessee,Mar 16 2022,540,0
Tennessee,Mar  9 2022,219,0
Tennessee,Mar  2 2022,131,0
Tennessee,Feb 23 2022,454,0
Tennessee,Feb 16 2022,720,0
Tennessee,Feb  9 2022,344,0
Tennessee,Feb  2 2022,534,0
Tennessee,Jan 26 2022,482,0
Tennessee,Jan 19 2022,596,0
Tennessee,Jan 12 2022,267,0
Tennessee,Jan  5 2022,185,0
Tennessee,Dec 29 2021,469,0
Tennessee,Dec 22 2021,2393,0
Tennessee,Dec 15 2021,237,0
Tennessee,Dec  8 2021,403,0
Tennessee,Dec  1 2021,315,0
Tennessee,Nov 24 2021,186,0
Tennessee,Nov 17 2021,138,0
Tennessee,Nov 10 2021,175,0
Tennessee,Nov  3 2021,159,0
Tennessee,Oct 27 2021,218,0
Tennessee,Oct 20 2021,336,0
Tennessee,Oct 13 2021,268,0
Tennessee,Oct  6 2021,356,0
Tennessee,Sep 29 2021,408,0
Tennessee,Sep 22 2021,448,0
Tennessee,Sep 15 2021,412,0
Tennessee,Sep  8 2021,324,0
Tennessee,Sep  1 2021,253,0
Tennessee,Aug 25 2021,212,0
Tennessee,Aug 18 2021,184,0
Tennessee,Aug 11 2021,113,0
Tennessee,Aug  4 2021,70,0
Tennessee,Jul 28 2021,67,0
Tennessee,Jul 21 2021,38,0
Tennessee,Jul 14 2021,38,0
Tennessee,Jul  7 2021,26,0
Tennessee,Jun 30 2021,26,0
Tennessee,Jun 23 2021,31,0
Tennessee,Jun 16 2021,43,0
Tennessee,Jun  9 2021,22,0
Tennessee,Jun  2 2021,35,0
Tennessee,May 26 2021,59,0
Tennessee,May 19 2021,54,0
Tennessee,May 12 2021,62,0
Tennessee,May  5 2021,59,0
Tennessee,Apr 28 2021,55,0
Tennessee,Apr 21 2021,89,0
Tennessee,Apr 14 2021,56,0
Tennessee,Apr  7 2021,76,0
Tennessee,Mar 31 2021,110,0
Tennessee,Mar 24 2021,116,0
Tennessee,Mar 17 2021,61,0
Tennessee,Mar 10 2021,130,0
Tennessee,Mar  3 2021,185,0
Tennessee,Feb 24 2021,277,0
Tennessee,Feb 17 2021,254,0
Tennessee,Feb 10 2021,700,0
Tennessee,Feb  3 2021,714,0
Tennessee,Jan 27 2021,759,0
Tennessee,Jan 20 2021,407,0
Tennessee,Jan 13 2021,763,0
Tennessee,Jan  6 2021,576,0
Tennessee,Dec 30 2020,430,0
Tennessee,Dec 23 2020,711,0
Tennessee,Dec 16 2020,496,0
Tennessee,Dec  9 2020,482,0
Tennessee,Dec  2 2020,226,0
Tennessee,Nov 25 2020,417,0
Tennessee,Nov 18 2020,290,0
Tennessee,Nov 11 2020,277,0
Tennessee,Nov  4 2020,239,0
Tennessee,Oct 28 2020,274,0
Tennessee,Oct 21 2020,140,0
Tennessee,Oct 14 2020,187,0
Tennessee,Oct  7 2020,188,0
Tennessee,Sep 30 2020,180,0
Tennessee,Sep 23 2020,128,0
Tennessee,Sep 16 2020,213,0
Tennessee,Sep  9 2020,137,0
Tennessee,Sep  2 2020,148,0
Tennessee,Aug 26 2020,193,0
Tennessee,Aug 19 2020,163,0
Tennessee,Aug 12 2020,146,0
Tennessee,Aug  5 2020,125,0
Tennessee,Jul 29 2020,131,0
Tennessee,Jul 22 2020,105,0
Tennessee,Jul 15 2020,98,0
Tennessee,Jul  8 2020,76,0
Tennessee,Jul  1 2020,53,0
Tennessee,Jun 24 2020,58,0
Tennessee,Jun 17 2020,61,0
Tennessee,Jun 10 2020,51,0
Tennessee,Jun  3 2020,33,0
Tennessee,May 27 2020,44,0
Tennessee,May 20 2020,37,0
Tennessee,May 13 2020,34,0
Tennessee,May  6 2020,43,0
Tennessee,Apr 29 2020,29,0
Tennessee,Apr 22 2020,32,0
Tennessee,Apr 15 2020,55,0
Tennessee,Apr  8 2020,55,0
Tennessee,Apr  1 2020,21,0
Tennessee,Mar 25 2020,3,0
Tennessee,Mar 18 2020,0,0
Tennessee,Mar 11 2020,0,0
Tennessee,Mar  4 2020,0,0
Tennessee,Feb 26 2020,0,0
Tennessee,Feb 19 2020,0,0
Tennessee,Feb 12 2020,0,0
Tennessee,Feb  5 2020,0,0
Tennessee,Jan 29 2020,0,0
