Data Table for Weekly Death Trends - Texas
Date generated: Mon Dec 05 2022 13:01:52 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Texas,Nov 30 2022,39,0
Texas,Nov 23 2022,71,0
Texas,Nov 16 2022,56,0
Texas,Nov  9 2022,59,0
Texas,Nov  2 2022,63,0
Texas,Oct 26 2022,96,0
Texas,Oct 19 2022,84,0
Texas,Oct 12 2022,105,0
Texas,Oct  5 2022,112,0
Texas,Sep 28 2022,133,0
Texas,Sep 21 2022,150,0
Texas,Sep 14 2022,144,0
Texas,Sep  7 2022,134,0
Texas,Aug 31 2022,198,0
Texas,Aug 24 2022,190,0
Texas,Aug 17 2022,207,0
Texas,Aug 10 2022,194,0
Texas,Aug  3 2022,226,0
Texas,Jul 27 2022,165,0
Texas,Jul 20 2022,131,0
Texas,Jul 13 2022,125,0
Texas,Jul  6 2022,101,0
Texas,Jun 29 2022,96,0
Texas,Jun 22 2022,70,0
Texas,Jun 15 2022,83,0
Texas,Jun  8 2022,54,0
Texas,Jun  1 2022,31,0
Texas,May 25 2022,59,0
Texas,May 18 2022,59,0
Texas,May 11 2022,78,0
Texas,May  4 2022,75,0
Texas,Apr 27 2022,106,0
Texas,Apr 20 2022,144,0
Texas,Apr 13 2022,209,0
Texas,Apr  6 2022,189,0
Texas,Mar 30 2022,483,0
Texas,Mar 23 2022,401,0
Texas,Mar 16 2022,513,0
Texas,Mar  9 2022,720,0
Texas,Mar  2 2022,994,0
Texas,Feb 23 2022,1230,0
Texas,Feb 16 2022,1436,0
Texas,Feb  9 2022,1325,0
Texas,Feb  2 2022,1399,0
Texas,Jan 26 2022,1181,0
Texas,Jan 19 2022,781,0
Texas,Jan 12 2022,694,0
Texas,Jan  5 2022,530,0
Texas,Dec 29 2021,408,0
Texas,Dec 22 2021,414,0
Texas,Dec 15 2021,412,0
Texas,Dec  8 2021,427,0
Texas,Dec  1 2021,317,0
Texas,Nov 24 2021,543,0
Texas,Nov 17 2021,713,0
Texas,Nov 10 2021,677,0
Texas,Nov  3 2021,760,0
Texas,Oct 27 2021,1093,0
Texas,Oct 20 2021,1300,0
Texas,Oct 13 2021,1524,0
Texas,Oct  6 2021,1797,0
Texas,Sep 29 2021,2049,0
Texas,Sep 22 2021,1963,0
Texas,Sep 15 2021,2060,0
Texas,Sep  8 2021,1595,0
Texas,Sep  1 2021,1626,0
Texas,Aug 25 2021,1209,0
Texas,Aug 18 2021,801,0
Texas,Aug 11 2021,534,0
Texas,Aug  4 2021,324,0
Texas,Jul 28 2021,264,0
Texas,Jul 21 2021,178,0
Texas,Jul 14 2021,184,0
Texas,Jul  7 2021,148,0
Texas,Jun 30 2021,160,0
Texas,Jun 23 2021,173,0
Texas,Jun 16 2021,185,0
Texas,Jun  9 2021,230,0
Texas,Jun  2 2021,218,0
Texas,May 26 2021,264,0
Texas,May 19 2021,273,0
Texas,May 12 2021,302,0
Texas,May  5 2021,367,0
Texas,Apr 28 2021,351,0
Texas,Apr 21 2021,373,0
Texas,Apr 14 2021,426,0
Texas,Apr  7 2021,643,0
Texas,Mar 31 2021,513,0
Texas,Mar 24 2021,804,0
Texas,Mar 17 2021,938,0
Texas,Mar 10 2021,1251,0
Texas,Mar  3 2021,1534,0
Texas,Feb 24 2021,1334,0
Texas,Feb 17 2021,1313,0
Texas,Feb 10 2021,2061,0
Texas,Feb  3 2021,2138,0
Texas,Jan 27 2021,2369,0
Texas,Jan 20 2021,2221,0
Texas,Jan 13 2021,2236,0
Texas,Jan  6 2021,1623,0
Texas,Dec 30 2020,1310,0
Texas,Dec 23 2020,1557,0
Texas,Dec 16 2020,1334,0
Texas,Dec  9 2020,1306,0
Texas,Dec  2 2020,932,0
Texas,Nov 25 2020,1104,0
Texas,Nov 18 2020,906,0
Texas,Nov 11 2020,712,0
Texas,Nov  4 2020,631,0
Texas,Oct 28 2020,539,0
Texas,Oct 21 2020,480,0
Texas,Oct 14 2020,528,0
Texas,Oct  7 2020,636,0
Texas,Sep 30 2020,631,0
Texas,Sep 23 2020,628,0
Texas,Sep 16 2020,796,0
Texas,Sep  9 2020,796,0
Texas,Sep  2 2020,929,0
Texas,Aug 26 2020,1182,0
Texas,Aug 19 2020,1384,0
Texas,Aug 12 2020,1233,0
Texas,Aug  5 2020,1297,0
Texas,Jul 29 2020,1951,0
Texas,Jul 22 2020,1082,0
Texas,Jul 15 2020,803,0
Texas,Jul  8 2020,568,0
Texas,Jul  1 2020,339,0
Texas,Jun 24 2020,205,0
Texas,Jun 17 2020,231,0
Texas,Jun 10 2020,167,0
Texas,Jun  3 2020,192,0
Texas,May 27 2020,162,0
Texas,May 20 2020,273,0
Texas,May 13 2020,206,0
Texas,May  6 2020,191,0
Texas,Apr 29 2020,194,0
Texas,Apr 22 2020,209,0
Texas,Apr 15 2020,212,0
Texas,Apr  8 2020,145,0
Texas,Apr  1 2020,74,0
Texas,Mar 25 2020,15,0
Texas,Mar 18 2020,5,0
Texas,Mar 11 2020,0,0
Texas,Mar  4 2020,0,0
Texas,Feb 26 2020,0,0
Texas,Feb 19 2020,0,0
Texas,Feb 12 2020,0,0
Texas,Feb  5 2020,0,0
Texas,Jan 29 2020,0,0
