Data Table for Weekly Death Trends - The United States
Date generated: Mon Dec 05 2022 12:34:29 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
United States,Nov 30 2022,1780,0
United States,Nov 23 2022,2634,0
United States,Nov 16 2022,2239,0
United States,Nov  9 2022,2327,5
United States,Nov  2 2022,2465,1
United States,Oct 26 2022,2563,562
United States,Oct 19 2022,2502,0
United States,Oct 12 2022,2549,0
United States,Oct  5 2022,3011,0
United States,Sep 28 2022,2901,469
United States,Sep 21 2022,3128,0
United States,Sep 14 2022,3206,0
United States,Sep  7 2022,2931,0
United States,Aug 31 2022,3943,0
United States,Aug 24 2022,3123,0
United States,Aug 17 2022,3247,0
United States,Aug 10 2022,3621,0
United States,Aug  3 2022,3535,0
United States,Jul 27 2022,3162,0
United States,Jul 20 2022,2831,0
United States,Jul 13 2022,2708,0
United States,Jul  6 2022,2405,0
United States,Jun 29 2022,2568,0
United States,Jun 22 2022,2051,0
United States,Jun 15 2022,2186,0
United States,Jun  8 2022,2327,0
United States,Jun  1 2022,2113,0
United States,May 25 2022,2655,0
United States,May 18 2022,2268,0
United States,May 11 2022,2374,0
United States,May  4 2022,2774,0
United States,Apr 27 2022,2931,0
United States,Apr 20 2022,3061,0
United States,Apr 13 2022,3756,0
United States,Apr  6 2022,3834,0
United States,Mar 30 2022,5024,0
United States,Mar 23 2022,5739,0
United States,Mar 16 2022,8065,0
United States,Mar  9 2022,9131,0
United States,Mar  2 2022,10658,0
United States,Feb 23 2022,12554,0
United States,Feb 16 2022,14889,0
United States,Feb  9 2022,16045,0
United States,Feb  2 2022,17260,0
United States,Jan 26 2022,16941,0
United States,Jan 19 2022,14228,0
United States,Jan 12 2022,13266,0
United States,Jan  5 2022,9616,0
United States,Dec 29 2021,10004,0
United States,Dec 22 2021,11648,0
United States,Dec 15 2021,9584,0
United States,Dec  8 2021,11250,0
United States,Dec  1 2021,7248,0
United States,Nov 24 2021,8058,0
United States,Nov 17 2021,7465,0
United States,Nov 10 2021,8273,0
United States,Nov  3 2021,8541,0
United States,Oct 27 2021,9618,0
United States,Oct 20 2021,11958,0
United States,Oct 13 2021,11180,0
United States,Oct  6 2021,12633,0
United States,Sep 29 2021,13989,0
United States,Sep 22 2021,14392,0
United States,Sep 15 2021,13861,0
United States,Sep  8 2021,10982,0
United States,Sep  1 2021,10210,0
United States,Aug 25 2021,7888,0
United States,Aug 18 2021,6139,0
United States,Aug 11 2021,4909,0
United States,Aug  4 2021,3049,0
United States,Jul 28 2021,2365,0
United States,Jul 21 2021,1977,0
United States,Jul 14 2021,1906,0
United States,Jul  7 2021,1679,0
United States,Jun 30 2021,1919,0
United States,Jun 23 2021,2024,0
United States,Jun 16 2021,2326,0
United States,Jun  9 2021,2744,0
United States,Jun  2 2021,3702,0
United States,May 26 2021,3963,0
United States,May 19 2021,4058,0
United States,May 12 2021,4363,0
United States,May  5 2021,5094,0
United States,Apr 28 2021,5049,0
United States,Apr 21 2021,5065,0
United States,Apr 14 2021,5311,0
United States,Apr  7 2021,7125,0
United States,Mar 31 2021,6329,0
United States,Mar 24 2021,7294,0
United States,Mar 17 2021,7514,0
United States,Mar 10 2021,9803,0
United States,Mar  3 2021,13633,0
United States,Feb 24 2021,13858,0
United States,Feb 17 2021,14337,0
United States,Feb 10 2021,19137,0
United States,Feb  3 2021,21184,0
United States,Jan 27 2021,22491,0
United States,Jan 20 2021,21562,0
United States,Jan 13 2021,23372,0
United States,Jan  6 2021,19327,0
United States,Dec 30 2020,16914,0
United States,Dec 23 2020,19314,0
United States,Dec 16 2020,18535,0
United States,Dec  9 2020,16572,0
United States,Dec  2 2020,12620,0
United States,Nov 25 2020,12695,0
United States,Nov 18 2020,9725,0
United States,Nov 11 2020,8360,0
United States,Nov  4 2020,7253,0
United States,Oct 28 2020,6271,0
United States,Oct 21 2020,5976,0
United States,Oct 14 2020,5310,0
United States,Oct  7 2020,5003,0
United States,Sep 30 2020,5158,0
United States,Sep 23 2020,5445,0
United States,Sep 16 2020,5774,0
United States,Sep  9 2020,5222,0
United States,Sep  2 2020,6105,0
United States,Aug 26 2020,6594,0
United States,Aug 19 2020,7016,0
United States,Aug 12 2020,7309,0
United States,Aug  5 2020,7374,0
United States,Jul 29 2020,7537,0
United States,Jul 22 2020,6113,0
United States,Jul 15 2020,5436,0
United States,Jul  8 2020,4471,0
United States,Jul  1 2020,3860,0
United States,Jun 24 2020,4083,0
United States,Jun 17 2020,4603,0
United States,Jun 10 2020,5085,0
United States,Jun  3 2020,6492,0
United States,May 27 2020,6795,0
United States,May 20 2020,9510,0
United States,May 13 2020,10381,0
United States,May  6 2020,12723,0
United States,Apr 29 2020,13825,0
United States,Apr 22 2020,15392,0
United States,Apr 15 2020,15527,0
United States,Apr  8 2020,12632,0
United States,Apr  1 2020,5437,0
United States,Mar 25 2020,1154,0
United States,Mar 18 2020,135,0
United States,Mar 11 2020,9,0
United States,Mar  4 2020,6,0
United States,Feb 26 2020,0,0
United States,Feb 19 2020,0,0
United States,Feb 12 2020,0,0
United States,Feb  5 2020,0,0
United States,Jan 29 2020,0,0
