Data Table for Weekly Death Trends - Utah
Date generated: Mon Dec 05 2022 13:02:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Utah,Nov 30 2022,21,0
Utah,Nov 23 2022,13,0
Utah,Nov 16 2022,10,0
Utah,Nov  9 2022,10,0
Utah,Nov  2 2022,16,0
Utah,Oct 26 2022,13,0
Utah,Oct 19 2022,0,0
Utah,Oct 12 2022,5,0
Utah,Oct  5 2022,11,0
Utah,Sep 28 2022,10,0
Utah,Sep 21 2022,12,0
Utah,Sep 14 2022,8,0
Utah,Sep  7 2022,13,0
Utah,Aug 31 2022,15,0
Utah,Aug 24 2022,13,0
Utah,Aug 17 2022,0,0
Utah,Aug 10 2022,56,0
Utah,Aug  3 2022,0,0
Utah,Jul 27 2022,16,0
Utah,Jul 20 2022,21,0
Utah,Jul 13 2022,14,0
Utah,Jul  6 2022,16,0
Utah,Jun 29 2022,11,0
Utah,Jun 22 2022,13,0
Utah,Jun 15 2022,9,0
Utah,Jun  8 2022,4,0
Utah,Jun  1 2022,12,0
Utah,May 25 2022,4,0
Utah,May 18 2022,0,0
Utah,May 11 2022,12,0
Utah,May  4 2022,9,0
Utah,Apr 27 2022,4,0
Utah,Apr 20 2022,2,0
Utah,Apr 13 2022,16,0
Utah,Apr  6 2022,8,0
Utah,Mar 30 2022,67,0
Utah,Mar 23 2022,89,0
Utah,Mar 16 2022,0,0
Utah,Mar  9 2022,117,0
Utah,Mar  2 2022,43,0
Utah,Feb 23 2022,55,0
Utah,Feb 16 2022,99,0
Utah,Feb  9 2022,87,0
Utah,Feb  2 2022,56,0
Utah,Jan 26 2022,94,0
Utah,Jan 19 2022,61,0
Utah,Jan 12 2022,80,0
Utah,Jan  5 2022,73,0
Utah,Dec 29 2021,31,0
Utah,Dec 22 2021,70,0
Utah,Dec 15 2021,69,0
Utah,Dec  8 2021,79,0
Utah,Dec  1 2021,74,0
Utah,Nov 24 2021,71,0
Utah,Nov 17 2021,73,0
Utah,Nov 10 2021,64,0
Utah,Nov  3 2021,84,0
Utah,Oct 27 2021,72,0
Utah,Oct 20 2021,65,0
Utah,Oct 13 2021,69,0
Utah,Oct  6 2021,53,0
Utah,Sep 29 2021,81,0
Utah,Sep 22 2021,78,0
Utah,Sep 15 2021,69,0
Utah,Sep  8 2021,53,0
Utah,Sep  1 2021,35,0
Utah,Aug 25 2021,56,0
Utah,Aug 18 2021,30,0
Utah,Aug 11 2021,39,0
Utah,Aug  4 2021,41,0
Utah,Jul 28 2021,20,0
Utah,Jul 21 2021,15,0
Utah,Jul 14 2021,15,0
Utah,Jul  7 2021,16,0
Utah,Jun 30 2021,33,0
Utah,Jun 23 2021,13,0
Utah,Jun 16 2021,5,0
Utah,Jun  9 2021,13,0
Utah,Jun  2 2021,13,0
Utah,May 26 2021,17,0
Utah,May 19 2021,26,0
Utah,May 12 2021,29,0
Utah,May  5 2021,28,0
Utah,Apr 28 2021,14,0
Utah,Apr 21 2021,15,0
Utah,Apr 14 2021,22,0
Utah,Apr  7 2021,17,0
Utah,Mar 31 2021,40,0
Utah,Mar 24 2021,48,0
Utah,Mar 17 2021,43,0
Utah,Mar 10 2021,40,0
Utah,Mar  3 2021,74,0
Utah,Feb 24 2021,73,0
Utah,Feb 17 2021,35,0
Utah,Feb 10 2021,72,0
Utah,Feb  3 2021,79,0
Utah,Jan 27 2021,103,0
Utah,Jan 20 2021,78,0
Utah,Jan 13 2021,108,0
Utah,Jan  6 2021,73,0
Utah,Dec 30 2020,61,0
Utah,Dec 23 2020,98,0
Utah,Dec 16 2020,105,0
Utah,Dec  9 2020,87,0
Utah,Dec  2 2020,71,0
Utah,Nov 25 2020,91,0
Utah,Nov 18 2020,62,0
Utah,Nov 11 2020,57,0
Utah,Nov  4 2020,46,0
Utah,Oct 28 2020,27,0
Utah,Oct 21 2020,28,0
Utah,Oct 14 2020,29,0
Utah,Oct  7 2020,40,0
Utah,Sep 30 2020,15,0
Utah,Sep 23 2020,7,0
Utah,Sep 16 2020,10,0
Utah,Sep  9 2020,17,0
Utah,Sep  2 2020,7,0
Utah,Aug 26 2020,24,0
Utah,Aug 19 2020,25,0
Utah,Aug 12 2020,36,0
Utah,Aug  5 2020,33,0
Utah,Jul 29 2020,33,0
Utah,Jul 22 2020,26,0
Utah,Jul 15 2020,30,0
Utah,Jul  8 2020,26,0
Utah,Jul  1 2020,10,0
Utah,Jun 24 2020,12,0
Utah,Jun 17 2020,20,0
Utah,Jun 10 2020,11,0
Utah,Jun  3 2020,13,0
Utah,May 27 2020,14,0
Utah,May 20 2020,14,0
Utah,May 13 2020,17,0
Utah,May  6 2020,12,0
Utah,Apr 29 2020,13,0
Utah,Apr 22 2020,12,0
Utah,Apr 15 2020,7,0
Utah,Apr  8 2020,8,0
Utah,Apr  1 2020,4,0
Utah,Mar 25 2020,1,0
Utah,Mar 18 2020,0,0
Utah,Mar 11 2020,0,0
Utah,Mar  4 2020,0,0
Utah,Feb 26 2020,0,0
Utah,Feb 19 2020,0,0
Utah,Feb 12 2020,0,0
Utah,Feb  5 2020,0,0
Utah,Jan 29 2020,0,0
