Data Table for Weekly Death Trends - Virgin Islands
Date generated: Mon Dec 05 2022 13:02:31 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Virgin Islands,Nov 30 2022,1,0
Virgin Islands,Nov 23 2022,0,0
Virgin Islands,Nov 16 2022,0,0
Virgin Islands,Nov  9 2022,0,0
Virgin Islands,Nov  2 2022,0,0
Virgin Islands,Oct 26 2022,1,0
Virgin Islands,Oct 19 2022,0,0
Virgin Islands,Oct 12 2022,0,0
Virgin Islands,Oct  5 2022,0,0
Virgin Islands,Sep 28 2022,0,0
Virgin Islands,Sep 21 2022,0,0
Virgin Islands,Sep 14 2022,1,0
Virgin Islands,Sep  7 2022,0,0
Virgin Islands,Aug 31 2022,0,0
Virgin Islands,Aug 24 2022,0,0
Virgin Islands,Aug 17 2022,0,0
Virgin Islands,Aug 10 2022,1,0
Virgin Islands,Aug  3 2022,1,0
Virgin Islands,Jul 27 2022,0,0
Virgin Islands,Jul 20 2022,0,0
Virgin Islands,Jul 13 2022,2,0
Virgin Islands,Jul  6 2022,0,0
Virgin Islands,Jun 29 2022,0,0
Virgin Islands,Jun 22 2022,1,0
Virgin Islands,Jun 15 2022,2,0
Virgin Islands,Jun  8 2022,2,0
Virgin Islands,Jun  1 2022,0,0
Virgin Islands,May 25 2022,0,0
Virgin Islands,May 18 2022,0,0
Virgin Islands,May 11 2022,0,0
Virgin Islands,May  4 2022,2,0
Virgin Islands,Apr 27 2022,0,0
Virgin Islands,Apr 20 2022,0,0
Virgin Islands,Apr 13 2022,0,0
Virgin Islands,Apr  6 2022,0,0
Virgin Islands,Mar 30 2022,1,0
Virgin Islands,Mar 23 2022,1,0
Virgin Islands,Mar 16 2022,0,0
Virgin Islands,Mar  9 2022,0,0
Virgin Islands,Mar  2 2022,0,0
Virgin Islands,Feb 23 2022,1,0
Virgin Islands,Feb 16 2022,4,0
Virgin Islands,Feb  9 2022,2,0
Virgin Islands,Feb  2 2022,4,0
Virgin Islands,Jan 26 2022,4,0
Virgin Islands,Jan 19 2022,4,0
Virgin Islands,Jan 12 2022,1,0
Virgin Islands,Jan  5 2022,1,0
Virgin Islands,Dec 29 2021,0,0
Virgin Islands,Dec 22 2021,0,0
Virgin Islands,Dec 15 2021,1,0
Virgin Islands,Dec  8 2021,0,0
Virgin Islands,Dec  1 2021,2,0
Virgin Islands,Nov 24 2021,1,0
Virgin Islands,Nov 17 2021,0,0
Virgin Islands,Nov 10 2021,2,0
Virgin Islands,Nov  3 2021,1,0
Virgin Islands,Oct 27 2021,3,0
Virgin Islands,Oct 20 2021,3,0
Virgin Islands,Oct 13 2021,3,0
Virgin Islands,Oct  6 2021,1,0
Virgin Islands,Sep 29 2021,2,0
Virgin Islands,Sep 22 2021,2,0
Virgin Islands,Sep 15 2021,4,0
Virgin Islands,Sep  8 2021,7,0
Virgin Islands,Sep  1 2021,5,0
Virgin Islands,Aug 25 2021,10,0
Virgin Islands,Aug 18 2021,0,0
Virgin Islands,Aug 11 2021,2,0
Virgin Islands,Aug  4 2021,3,0
Virgin Islands,Jul 28 2021,3,0
Virgin Islands,Jul 21 2021,1,0
Virgin Islands,Jul 14 2021,0,0
Virgin Islands,Jul  7 2021,2,0
Virgin Islands,Jun 30 2021,0,0
Virgin Islands,Jun 23 2021,0,0
Virgin Islands,Jun 16 2021,2,0
Virgin Islands,Jun  9 2021,0,0
Virgin Islands,Jun  2 2021,1,0
Virgin Islands,May 26 2021,0,0
Virgin Islands,May 19 2021,0,0
Virgin Islands,May 12 2021,0,0
Virgin Islands,May  5 2021,0,0
Virgin Islands,Apr 28 2021,0,0
Virgin Islands,Apr 21 2021,1,0
Virgin Islands,Apr 14 2021,0,0
Virgin Islands,Apr  7 2021,0,0
Virgin Islands,Mar 31 2021,1,0
Virgin Islands,Mar 24 2021,0,0
Virgin Islands,Mar 17 2021,0,0
Virgin Islands,Mar 10 2021,0,0
Virgin Islands,Mar  3 2021,0,0
Virgin Islands,Feb 24 2021,0,0
Virgin Islands,Feb 17 2021,0,0
Virgin Islands,Feb 10 2021,1,0
Virgin Islands,Feb  3 2021,0,0
Virgin Islands,Jan 27 2021,0,0
Virgin Islands,Jan 20 2021,0,0
Virgin Islands,Jan 13 2021,0,0
Virgin Islands,Jan  6 2021,1,0
Virgin Islands,Dec 30 2020,0,0
Virgin Islands,Dec 23 2020,0,0
Virgin Islands,Dec 16 2020,0,0
Virgin Islands,Dec  9 2020,0,0
Virgin Islands,Dec  2 2020,0,0
Virgin Islands,Nov 25 2020,0,0
Virgin Islands,Nov 18 2020,0,0
Virgin Islands,Nov 11 2020,0,0
Virgin Islands,Nov  4 2020,2,0
Virgin Islands,Oct 28 2020,0,0
