Data Table for Weekly Death Trends - West Virginia
Date generated: Mon Dec 05 2022 13:03:11 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
West Virginia,Nov 30 2022,17,0
West Virginia,Nov 23 2022,37,0
West Virginia,Nov 16 2022,19,0
West Virginia,Nov  9 2022,4,0
West Virginia,Nov  2 2022,32,0
West Virginia,Oct 26 2022,23,0
West Virginia,Oct 19 2022,24,0
West Virginia,Oct 12 2022,19,0
West Virginia,Oct  5 2022,30,0
West Virginia,Sep 28 2022,27,0
West Virginia,Sep 21 2022,28,0
West Virginia,Sep 14 2022,50,0
West Virginia,Sep  7 2022,15,0
West Virginia,Aug 31 2022,29,0
West Virginia,Aug 24 2022,34,0
West Virginia,Aug 17 2022,23,0
West Virginia,Aug 10 2022,31,0
West Virginia,Aug  3 2022,40,0
West Virginia,Jul 27 2022,14,0
West Virginia,Jul 20 2022,16,0
West Virginia,Jul 13 2022,30,0
West Virginia,Jul  6 2022,10,0
West Virginia,Jun 29 2022,41,0
West Virginia,Jun 22 2022,2,0
West Virginia,Jun 15 2022,19,0
West Virginia,Jun  8 2022,35,0
West Virginia,Jun  1 2022,29,0
West Virginia,May 25 2022,28,0
West Virginia,May 18 2022,19,0
West Virginia,May 11 2022,14,0
West Virginia,May  4 2022,21,0
West Virginia,Apr 27 2022,44,0
West Virginia,Apr 20 2022,30,0
West Virginia,Apr 13 2022,34,0
West Virginia,Apr  6 2022,24,0
West Virginia,Mar 30 2022,69,0
West Virginia,Mar 23 2022,43,0
West Virginia,Mar 16 2022,125,0
West Virginia,Mar  9 2022,104,0
West Virginia,Mar  2 2022,128,0
West Virginia,Feb 23 2022,147,0
West Virginia,Feb 16 2022,165,0
West Virginia,Feb  9 2022,124,0
West Virginia,Feb  2 2022,140,0
West Virginia,Jan 26 2022,98,0
West Virginia,Jan 19 2022,94,0
West Virginia,Jan 12 2022,110,0
West Virginia,Jan  5 2022,67,0
West Virginia,Dec 29 2021,63,0
West Virginia,Dec 22 2021,100,0
West Virginia,Dec 15 2021,106,0
West Virginia,Dec  8 2021,141,0
West Virginia,Dec  1 2021,79,0
West Virginia,Nov 24 2021,118,0
West Virginia,Nov 17 2021,106,0
West Virginia,Nov 10 2021,102,0
West Virginia,Nov  3 2021,144,0
West Virginia,Oct 27 2021,127,0
West Virginia,Oct 20 2021,221,0
West Virginia,Oct 13 2021,159,0
West Virginia,Oct  6 2021,199,0
West Virginia,Sep 29 2021,175,0
West Virginia,Sep 22 2021,169,0
West Virginia,Sep 15 2021,127,0
West Virginia,Sep  8 2021,64,0
West Virginia,Sep  1 2021,69,0
West Virginia,Aug 25 2021,39,0
West Virginia,Aug 18 2021,23,0
West Virginia,Aug 11 2021,18,0
West Virginia,Aug  4 2021,17,0
West Virginia,Jul 28 2021,19,0
West Virginia,Jul 21 2021,4,0
West Virginia,Jul 14 2021,15,0
West Virginia,Jul  7 2021,11,0
West Virginia,Jun 30 2021,18,0
West Virginia,Jun 23 2021,11,0
West Virginia,Jun 16 2021,16,0
West Virginia,Jun  9 2021,47,0
West Virginia,Jun  2 2021,10,0
West Virginia,May 26 2021,21,0
West Virginia,May 19 2021,20,0
West Virginia,May 12 2021,41,0
West Virginia,May  5 2021,35,0
West Virginia,Apr 28 2021,14,0
West Virginia,Apr 21 2021,12,0
West Virginia,Apr 14 2021,13,0
West Virginia,Apr  7 2021,26,0
West Virginia,Mar 31 2021,33,0
West Virginia,Mar 24 2021,42,0
West Virginia,Mar 17 2021,214,0
West Virginia,Mar 10 2021,21,0
West Virginia,Mar  3 2021,22,0
West Virginia,Feb 24 2021,59,0
West Virginia,Feb 17 2021,50,0
West Virginia,Feb 10 2021,113,0
West Virginia,Feb  3 2021,102,0
West Virginia,Jan 27 2021,118,0
West Virginia,Jan 20 2021,161,0
West Virginia,Jan 13 2021,190,0
West Virginia,Jan  6 2021,163,0
West Virginia,Dec 30 2020,124,0
West Virginia,Dec 23 2020,156,0
West Virginia,Dec 16 2020,138,0
West Virginia,Dec  9 2020,121,0
West Virginia,Dec  2 2020,85,0
West Virginia,Nov 25 2020,82,0
West Virginia,Nov 18 2020,60,0
West Virginia,Nov 11 2020,80,0
West Virginia,Nov  4 2020,36,0
West Virginia,Oct 28 2020,24,0
West Virginia,Oct 21 2020,21,0
West Virginia,Oct 14 2020,21,0
West Virginia,Oct  7 2020,19,0
West Virginia,Sep 30 2020,31,0
West Virginia,Sep 23 2020,29,0
West Virginia,Sep 16 2020,38,0
West Virginia,Sep  9 2020,23,0
West Virginia,Sep  2 2020,40,0
West Virginia,Aug 26 2020,24,0
West Virginia,Aug 19 2020,13,0
West Virginia,Aug 12 2020,29,0
West Virginia,Aug  5 2020,13,0
West Virginia,Jul 29 2020,10,0
West Virginia,Jul 22 2020,3,0
West Virginia,Jul 15 2020,3,0
West Virginia,Jul  8 2020,2,0
West Virginia,Jul  1 2020,1,0
West Virginia,Jun 24 2020,4,0
West Virginia,Jun 17 2020,3,0
West Virginia,Jun 10 2020,8,0
West Virginia,Jun  3 2020,4,0
West Virginia,May 27 2020,5,0
West Virginia,May 20 2020,11,0
West Virginia,May 13 2020,8,0
West Virginia,May  6 2020,11,0
West Virginia,Apr 29 2020,11,0
West Virginia,Apr 22 2020,17,0
West Virginia,Apr 15 2020,6,0
West Virginia,Apr  8 2020,3,0
West Virginia,Apr  1 2020,1,0
West Virginia,Mar 25 2020,0,0
West Virginia,Mar 18 2020,0,0
West Virginia,Mar 11 2020,0,0
West Virginia,Mar  4 2020,0,0
West Virginia,Feb 26 2020,0,0
West Virginia,Feb 19 2020,0,0
West Virginia,Feb 12 2020,0,0
West Virginia,Feb  5 2020,0,0
West Virginia,Jan 29 2020,0,0
