Data Table for Weekly Death Trends - Wisconsin
Date generated: Mon Dec 05 2022 13:03:35 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Wisconsin,Nov 30 2022,20,0
Wisconsin,Nov 23 2022,34,0
Wisconsin,Nov 16 2022,48,0
Wisconsin,Nov  9 2022,28,0
Wisconsin,Nov  2 2022,63,0
Wisconsin,Oct 26 2022,39,0
Wisconsin,Oct 19 2022,54,0
Wisconsin,Oct 12 2022,42,0
Wisconsin,Oct  5 2022,28,0
Wisconsin,Sep 28 2022,39,0
Wisconsin,Sep 21 2022,55,0
Wisconsin,Sep 14 2022,56,0
Wisconsin,Sep  7 2022,32,0
Wisconsin,Aug 31 2022,45,0
Wisconsin,Aug 24 2022,31,0
Wisconsin,Aug 17 2022,31,0
Wisconsin,Aug 10 2022,23,0
Wisconsin,Aug  3 2022,31,0
Wisconsin,Jul 27 2022,47,0
Wisconsin,Jul 20 2022,19,0
Wisconsin,Jul 13 2022,23,0
Wisconsin,Jul  6 2022,33,0
Wisconsin,Jun 29 2022,47,0
Wisconsin,Jun 22 2022,34,0
Wisconsin,Jun 15 2022,39,0
Wisconsin,Jun  8 2022,54,0
Wisconsin,Jun  1 2022,46,0
Wisconsin,May 25 2022,57,0
Wisconsin,May 18 2022,23,0
Wisconsin,May 11 2022,48,0
Wisconsin,May  4 2022,32,0
Wisconsin,Apr 27 2022,11,0
Wisconsin,Apr 20 2022,18,0
Wisconsin,Apr 13 2022,45,0
Wisconsin,Apr  6 2022,41,0
Wisconsin,Mar 30 2022,191,0
Wisconsin,Mar 23 2022,234,0
Wisconsin,Mar 16 2022,252,0
Wisconsin,Mar  9 2022,216,0
Wisconsin,Mar  2 2022,245,0
Wisconsin,Feb 23 2022,164,0
Wisconsin,Feb 16 2022,207,0
Wisconsin,Feb  9 2022,275,0
Wisconsin,Feb  2 2022,355,0
Wisconsin,Jan 26 2022,329,0
Wisconsin,Jan 19 2022,267,0
Wisconsin,Jan 12 2022,239,0
Wisconsin,Jan  5 2022,201,0
Wisconsin,Dec 29 2021,224,0
Wisconsin,Dec 22 2021,350,0
Wisconsin,Dec 15 2021,284,0
Wisconsin,Dec  8 2021,213,0
Wisconsin,Dec  1 2021,126,0
Wisconsin,Nov 24 2021,145,0
Wisconsin,Nov 17 2021,137,0
Wisconsin,Nov 10 2021,144,0
Wisconsin,Nov  3 2021,125,0
Wisconsin,Oct 27 2021,163,0
Wisconsin,Oct 20 2021,83,0
Wisconsin,Oct 13 2021,154,0
Wisconsin,Oct  6 2021,102,0
Wisconsin,Sep 29 2021,114,0
Wisconsin,Sep 22 2021,88,0
Wisconsin,Sep 15 2021,112,0
Wisconsin,Sep  8 2021,60,0
Wisconsin,Sep  1 2021,82,0
Wisconsin,Aug 25 2021,60,0
Wisconsin,Aug 18 2021,39,0
Wisconsin,Aug 11 2021,17,0
Wisconsin,Aug  4 2021,17,0
Wisconsin,Jul 28 2021,50,0
Wisconsin,Jul 21 2021,33,0
Wisconsin,Jul 14 2021,42,0
Wisconsin,Jul  7 2021,26,0
Wisconsin,Jun 30 2021,51,0
Wisconsin,Jun 23 2021,42,0
Wisconsin,Jun 16 2021,41,0
Wisconsin,Jun  9 2021,101,0
Wisconsin,Jun  2 2021,128,0
Wisconsin,May 26 2021,33,0
Wisconsin,May 19 2021,46,0
Wisconsin,May 12 2021,91,0
Wisconsin,May  5 2021,62,0
Wisconsin,Apr 28 2021,104,0
Wisconsin,Apr 21 2021,28,0
Wisconsin,Apr 14 2021,46,0
Wisconsin,Apr  7 2021,46,0
Wisconsin,Mar 31 2021,48,0
Wisconsin,Mar 24 2021,64,0
Wisconsin,Mar 17 2021,56,0
Wisconsin,Mar 10 2021,75,0
Wisconsin,Mar  3 2021,136,0
Wisconsin,Feb 24 2021,135,0
Wisconsin,Feb 17 2021,94,0
Wisconsin,Feb 10 2021,209,0
Wisconsin,Feb  3 2021,192,0
Wisconsin,Jan 27 2021,268,0
Wisconsin,Jan 20 2021,355,0
Wisconsin,Jan 13 2021,243,0
Wisconsin,Jan  6 2021,243,0
Wisconsin,Dec 30 2020,238,0
Wisconsin,Dec 23 2020,460,0
Wisconsin,Dec 16 2020,348,0
Wisconsin,Dec  9 2020,442,0
Wisconsin,Dec  2 2020,359,0
