Data Table for Weekly Death Trends - Wyoming
Date generated: Mon Dec 05 2022 13:03:42 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,New Historic Deaths
Wyoming,Nov 30 2022,7,0
Wyoming,Nov 23 2022,7,0
Wyoming,Nov 16 2022,7,0
Wyoming,Nov  9 2022,3,0
Wyoming,Nov  2 2022,6,0
Wyoming,Oct 26 2022,2,0
Wyoming,Oct 19 2022,2,0
Wyoming,Oct 12 2022,5,0
Wyoming,Oct  5 2022,5,0
Wyoming,Sep 28 2022,3,0
Wyoming,Sep 21 2022,3,0
Wyoming,Sep 14 2022,4,0
Wyoming,Sep  7 2022,3,0
Wyoming,Aug 31 2022,4,0
Wyoming,Aug 24 2022,6,0
Wyoming,Aug 17 2022,6,0
Wyoming,Aug 10 2022,9,0
Wyoming,Aug  3 2022,0,0
Wyoming,Jul 27 2022,7,0
Wyoming,Jul 20 2022,4,0
Wyoming,Jul 13 2022,11,0
Wyoming,Jul  6 2022,0,0
Wyoming,Jun 29 2022,5,0
Wyoming,Jun 22 2022,5,0
Wyoming,Jun 15 2022,0,0
Wyoming,Jun  8 2022,4,0
Wyoming,Jun  1 2022,0,0
Wyoming,May 25 2022,0,0
Wyoming,May 18 2022,3,0
Wyoming,May 11 2022,3,0
Wyoming,May  4 2022,2,0
Wyoming,Apr 27 2022,5,0
Wyoming,Apr 20 2022,6,0
Wyoming,Apr 13 2022,5,0
Wyoming,Apr  6 2022,5,0
Wyoming,Mar 30 2022,8,0
Wyoming,Mar 23 2022,14,0
Wyoming,Mar 16 2022,20,0
Wyoming,Mar  9 2022,8,0
Wyoming,Mar  2 2022,23,0
Wyoming,Feb 23 2022,29,0
Wyoming,Feb 16 2022,22,0
Wyoming,Feb  9 2022,17,0
Wyoming,Feb  2 2022,25,0
Wyoming,Jan 26 2022,24,0
Wyoming,Jan 19 2022,13,0
Wyoming,Jan 12 2022,16,0
Wyoming,Jan  5 2022,46,0
Wyoming,Dec 29 2021,0,0
Wyoming,Dec 22 2021,24,0
Wyoming,Dec 15 2021,30,0
Wyoming,Dec  8 2021,45,0
Wyoming,Dec  1 2021,80,0
Wyoming,Nov 24 2021,0,0
Wyoming,Nov 17 2021,49,0
Wyoming,Nov 10 2021,55,0
Wyoming,Nov  3 2021,69,0
Wyoming,Oct 27 2021,38,0
Wyoming,Oct 20 2021,56,0
Wyoming,Oct 13 2021,39,0
Wyoming,Oct  6 2021,45,0
Wyoming,Sep 29 2021,41,0
Wyoming,Sep 22 2021,37,0
Wyoming,Sep 15 2021,39,0
Wyoming,Sep  8 2021,21,0
Wyoming,Sep  1 2021,23,0
Wyoming,Aug 25 2021,26,0
Wyoming,Aug 18 2021,16,0
